id,name,street,adress,pow_teryt,gmina_town,phone,url
point-26855,Podlasko-Mazurski Bank Spółdzielczy w Zabłudowie Filia w Białymstoku,ul. Jurowiecka 1 lok. 0.41,15-101 Białystok,2061,bialystok,Tel: 85 654-59-01,pmbank.pl
point-26397,HEXA Bank Spółdzielczy II Oddział w Białymstoku,ul. Fabryczna 4 lok 0d,15-483 Białystok,2061,bialystok,Tel: 572-709-902,hexabank.pl
point-26852,Podlasko-Mazurski Bank Spółdzielczy w Zabłudowie Oddział w Białymstoku,ul. Suraska 3A,15-093 Białystok,2061,bialystok,Tel: 85 676-06-53,pmbank.pl
point-27227,Bank Spółdzielczy w Brańsku Filia Nr 1 w Białymstoku,ul. Marii Skłodowskiej-Curie 19,15-275 Białystok,2061,bialystok,Tel: 85 663-29-21,bsbransk.pl
point-26702,Spółdzielczy Bank Rozwoju II Oddział w Białymstoku,ul. Legionowa 28 lok. 4,15-281 Białystok,2061,bialystok,Tel: 85 663-37-26,sbrbank.pl
point-10077,Bank Polskiej Spółdzielczości,Al. Piłsudskiego 11/3,15-443 Białystok,2061,bialystok,Tel: 85 663 86 80,bankbps.pl
point-26396,HEXA Bank Spółdzielczy Oddział w Białymstoku,ul. Grochowa 2 lok. 27-28,15-423 Białystok,2061,bialystok,Tel: 514-953-988,hexabank.pl
point-27226,Bank Spółdzielczy w Brańsku Oddział w Białymstoku,ul. Radzymińska 16,15-863 Białystok,2061,bialystok,Tel: 85 652-78-50,bsbransk.pl
point-26826,Bank Spółdzielczy w Wysokiem Mazowieckiem Oddział w Białymstoku,ul. Wiejska 71 lok.3,15-351 Białystok,2061,bialystok,Tel: 85 746-20-11,bswysokiemazowieckie.pl
point-26703,Spółdzielczy Bank Rozwoju Oddział w Białymstoku,Aleja Jana Pawła II 59,15-704 Białystok,2061,bialystok,Tel: 85 831-13-79,sbrbank.pl
point-25852,Bank Spółdzielczy w Juchnowcu Górnym Filia w Kleosinie,ul. Ojca Tarasiuka 20A,16-001 Kleosin,2061,bialystok,Tel: 85 663-13-19,bsjuchnowiec.pl
