id,name,street,adress,pow_teryt,gmina_town,phone,url
point-24632,Bank Spółdzielczy w Sokółce,ul. Ściegiennego 16,16-100 Sokółka,2002,czarna bialostocka,Tel: 85 711-20-82,bs-sokolka.pl
point-26616,Bank Spółdzielczy w Sokółce Oddział w Janowie,ul. Sokólska 4,16-130 Janów,2002,czarna bialostocka,Tel: 85 711-20-82,bs-sokolka.pl
point-27023,Podlaski Bank Spółdzielczy w Knyszynie Oddział w Jasionówce,ul. Rynek 21,19-122 Jasionówka,2002,czarna bialostocka,Tel: 85 716-00-48,pbsknyszyn.pl
point-27226,Bank Spółdzielczy w Brańsku Oddział w Białymstoku,ul. Radzymińska 16,15-863 Białystok,2002,czarna bialostocka,Tel: 85 652-78-50,bsbransk.pl
point-26397,HEXA Bank Spółdzielczy II Oddział w Białymstoku,ul. Fabryczna 4 lok 0d,15-483 Białystok,2002,czarna bialostocka,Tel: 572-709-902,hexabank.pl
point-26855,Podlasko-Mazurski Bank Spółdzielczy w Zabłudowie Filia w Białymstoku,ul. Jurowiecka 1 lok. 0.41,15-101 Białystok,2002,czarna bialostocka,Tel: 85 654-59-01,pmbank.pl
point-10077,Bank Polskiej Spółdzielczości,Al. Piłsudskiego 11/3,15-443 Białystok,2002,czarna bialostocka,Tel: 85 663 86 80,bankbps.pl
point-23992,Bank Spółdzielczy w Korycinie,ul. Rynek 11,16-140 Korycin,2002,czarna bialostocka,Tel: 85 721-90-11,bskorycin.pl
point-26396,HEXA Bank Spółdzielczy Oddział w Białymstoku,ul. Grochowa 2 lok. 27-28,15-423 Białystok,2002,czarna bialostocka,Tel: 514-953-988,hexabank.pl
point-26852,Podlasko-Mazurski Bank Spółdzielczy w Zabłudowie Oddział w Białymstoku,ul. Suraska 3A,15-093 Białystok,2002,czarna bialostocka,Tel: 85 676-06-53,pmbank.pl
point-26702,Spółdzielczy Bank Rozwoju II Oddział w Białymstoku,ul. Legionowa 28 lok. 4,15-281 Białystok,2002,czarna bialostocka,Tel: 85 663-37-26,sbrbank.pl
point-27227,Bank Spółdzielczy w Brańsku Filia Nr 1 w Białymstoku,ul. Marii Skłodowskiej-Curie 19,15-275 Białystok,2002,czarna bialostocka,Tel: 85 663-29-21,bsbransk.pl
point-26703,Spółdzielczy Bank Rozwoju Oddział w Białymstoku,Aleja Jana Pawła II 59,15-704 Białystok,2002,czarna bialostocka,Tel: 85 831-13-79,sbrbank.pl
point-26826,Bank Spółdzielczy w Wysokiem Mazowieckiem Oddział w Białymstoku,ul. Wiejska 71 lok.3,15-351 Białystok,2002,czarna bialostocka,Tel: 85 746-20-11,bswysokiemazowieckie.pl
point-26614,Bank Spółdzielczy w Sokółce Filia w Szudziałowie,ul. Bankowa 1,16-113 Szudziałowo,2002,czarna bialostocka,Tel: 85 711-20-82,bs-sokolka.pl
point-21015,Podlaski Bank Spółdzielczy w Knyszynie,ul. Jagiellońska 2,19-120 Knyszyn,2002,czarna bialostocka,Tel: 85 716-70-16,pbsknyszyn.pl
point-25852,Bank Spółdzielczy w Juchnowcu Górnym Filia w Kleosinie,ul. Ojca Tarasiuka 20A,16-001 Kleosin,2002,czarna bialostocka,Tel: 85 663-13-19,bsjuchnowiec.pl
point-27024,Podlaski Bank Spółdzielczy w Knyszynie Oddział w Krypnie,Krypno,19-111 Krypno,2002,czarna bialostocka,Tel: 85 716-90-06,pbsknyszyn.pl
point-26231,Bank Spółdzielczy w Mońkach Oddział w Jaświłach,Jaświły 128,19-124 Jaświły,2002,czarna bialostocka,Tel: 85 716-87-22,bsmonki.pl
