id,name,street,adress,pow_teryt,gmina_town,phone,url
point-26204,Bank Spółdzielczy w Międzyrzecu Podlaskim Oddział w Drelowie,Plac Bankowy 2,21-570 Drelów,0601,drelow,Tel: 83 372-00-05,bsmiedzyrzec.pl
point-26207,Bank Spółdzielczy w Międzyrzecu Podlaskim Punkt Kasowy nr 2 w Międzyrzecu Podlaskim,ul. Partyzantów 59D,21-560 Międzyrzec Podlaski,0601,drelow,Tel: 83 371-75-83,bsmiedzyrzec.pl
point-26206,Bank Spółdzielczy w Międzyrzecu Podlaskim Punkt Kasowy nr 1 w Międzyrzecu Podlaskim,ul. Prymasa Stefana Wyszyńskiego 7,21-560 Międzyrzec Podlaski,0601,drelow,Tel: 83 371-73-68,bsmiedzyrzec.pl
point-24222,Bank Spółdzielczy w Międzyrzecu Podlaskim,ul. Warszawska 22,21-560 Międzyrzec Podlaski,0601,drelow,Tel: 83 371-42-58,bsmiedzyrzec.pl
point-25507,Bank Spółdzielczy w Białej Podlaskiej Oddział w Rossoszu,ul. Batalionów Chłopskich 53a,21-533 Rossosz,0601,drelow,Tel: 83 378-45-20,bsbialapodlaska.com
point-20141,Bank Spółdzielczy w Łomazach,Plac Jagielloński 7,21-532 Łomazy,0601,drelow,Tel: 83 341-70-05,bslomazy.pl
point-23523,Bank Spółdzielczy w Białej Podlaskiej,ul. Kolejowa 5,21-500 Biała Podlaska,0601,drelow,Tel: 83 344-71-00,bsbialapodlaska.com
point-25516,Bank Spółdzielczy w Białej Podlaskiej Oddział w Białej Podlaskiej,ul. Kolejowa 5,21-500 Biała Podlaska,0601,drelow,Tel: 83 344-71-12,bsbialapodlaska.com
point-26153,Bank Spółdzielczy w Łomazach Filia w Białej Podlaskiej,ul. Handlowa 1,21-500 Biała Podlaska,0601,drelow,Tel: 83 342-02-71,bslomazy.pl
point-25510,Bank Spółdzielczy w Białej Podlaskiej Ekspozytura w Białej Podlaskiej,ul. Orzechowa 34,21-500 Biała Podlaska,0601,drelow,Tel: 83 344-71-60,bsbialapodlaska.com
