id,name,street,adress,pow_teryt,gmina_town,phone,url
point-25808,Bank Spółdzielczy w Jastrzębiu Zdroju Punkt Kasowy w Jastrzębiu Zdroju,ul. Warmińska 2B,44-335 Jastrzębie-Zdrój,2467,jastrzebie-zdroj,Tel: 32 478-95-28,bsjastrzebie.pl
point-25806,Bank Spółdzielczy w Jastrzębiu Zdroju Punkt Kasowy w Jastrzębiu Zdroju,Aleja Piłsudskiego 60,44-335 Jastrzębie-Zdrój,2467,jastrzebie-zdroj,Tel: 32 478-95-36,bsjastrzebie.pl
point-25820,Bank Spółdzielczy w Jastrzębiu Zdroju Punkt Kasowy w Jastrzębiu Zdroju,ul. Wielkopolska 5a,44-335 Jastrzębie-Zdrój,2467,jastrzebie-zdroj,Tel: 32 478-95-21,bsjastrzebie.pl
point-25807,Bank Spółdzielczy w Jastrzębiu Zdroju Punkt Kasowy w Jastrzębiu Zdroju,ul. Warszawska 1,44-335 Jastrzębie-Zdrój,2467,jastrzebie-zdroj,Tel: 32 478-95-30,bsjastrzebie.pl
point-23823,Bank Spółdzielczy w Jastrzębiu Zdroju,ul. 1 Maja 10,44-330 Jastrzębie-Zdrój,2467,jastrzebie-zdroj,Tel: 32 476-30-67,bsjastrzebie.pl
point-25816,Bank Spółdzielczy w Jastrzębiu Zdroju Punkt Kasowy w Jastrzębiu Szeroka,ul. Powstańców Śląskich 82,44-268 Jastrzębie-Zdrój,2467,jastrzebie-zdroj,Tel: 32 478-95-35,bsjastrzebie.pl
point-26391,Bank Spółdzielczy w Pawłowicach Punkt Kasowy w Pielgrzymowicach,ul. Golasowicka 4,43-253 Pielgrzymowice,2467,jastrzebie-zdroj,Tel: 32 472-94-01,bspawlowice.pl
point-25809,Bank Spółdzielczy w Jastrzębiu Zdroju Oddział w Mszanie,ul. 1 Maja 81,44-325 Mszana,2467,jastrzebie-zdroj,Tel: 32 478-95-32,bsjastrzebie.pl
point-26390,Bank Spółdzielczy w Pawłowicach Punkt Kasowy w Pawłowicach-Osiedlu,ul. Górnicza Pawilon XV,43-251 Pawłowice-Osiedle,2467,jastrzebie-zdroj,Tel: 32 472-29-72,bspawlowice.pl
point-24408,Bank Spółdzielczy w Pawłowicach,ul. Zjednoczenia 62b,43-250 Pawłowice,2467,jastrzebie-zdroj,Tel: 32 472-19-24,bspawlowice.pl
point-26986,Mikołowski Bank Spółdzielczy w Mikołowie Filia w Wilchwach,os. 1 Maja 27,44-304 Wilchwy,2467,jastrzebie-zdroj,Tel: 32 456-98-33,bankmbs.pl
