id,name,street,adress,pow_teryt,gmina_town,phone,url
point-26715,Bank Spółdzielczy w Świdnicy Oddział w Głuszycy,ul. Grunwaldzka 55,58-340 Głuszyca,0221,jedlina-zdroj,Tel: 74 845-63-96,bsswidnica.pl
point-25863,Bank Spółdzielczy w Kamiennej Górze Punkt Obsługi Klienta w Mieroszowie,ul. M.Kopernika 31-32,58-350 Mieroszów,0221,jedlina-zdroj,Tel: 74 844-38-39,bskamgora.pl
point-26964,Gospodarczy Bank Spółdzielczy Radków z/s w Nowej Rudzie POK w Jugowie,ul. Główna 83,57-450 Jugów,0221,jedlina-zdroj,Tel: 74 865-64-37,gbsradkow.pl
point-25867,Bank Spółdzielczy w Kamiennej Górze Punkt Obsługi Klienta w Czarnym Borze,ul. Główna 18,58-379 Czarny Bór,0221,jedlina-zdroj,Tel: 74 848-38-79,bskamgora.pl
point-24730,Bank Spółdzielczy w Świdnicy,ul. Długa 9,58-100 Świdnica,0221,jedlina-zdroj,Tel: 74 852-22-11,bsswidnica.pl
point-26718,Bank Spółdzielczy w Świdnicy Punkt Obsługi Klienta w Świdnicy,ul. Spółdzielcza 33,58-100 Świdnica,0221,jedlina-zdroj,Tel: 74 851-23-66,bsswidnica.pl
point-26713,Bank Spółdzielczy w Świdnicy Punkt Obsługi Klienta w Świdnicy,ul. Długa 44,58-100 Świdnica,0221,jedlina-zdroj,Tel: 74 856-86-50,bsswidnica.pl
point-26963,Gospodarczy Bank Spółdzielczy Radków z/s w Nowej Rudzie POK w Nowej Rudzie-Drogosław,ul. Świdnicka 55,57-401 Nowa Ruda,0221,jedlina-zdroj,Tel: 74 872-94-34,gbsradkow.pl
point-26961,Gospodarczy Bank Spółdzielczy Radków z/s w Nowej Rudzie Punkt Obsługi Klienta w Nowej Rudzie,ul. Teatralna 11,57-400 Nowa Ruda,0221,jedlina-zdroj,Tel: 74 872-96-19,gbsradkow.pl
point-26960,Gospodarczy Bank Spółdzielczy Radków z/s w Nowej Rudzie POK w Nowej Rudzie - Centrum,ul. Rynek 14,57-400 Nowa Ruda,0221,jedlina-zdroj,Tel: 74 872-24-66,gbsradkow.pl
point-26714,Bank Spółdzielczy w Świdnicy Punkt Kasowy w Jaworzynie Śląskiej,ul. Polna 2,58-140 Jaworzyna Śląska,0221,jedlina-zdroj,Tel: 74 858-81-11,bsswidnica.pl
point-25864,Bank Spółdzielczy w Kamiennej Górze Punkt Kasowy w Kamiennej Górze,ul. Skłodowskiej 12,58-400 Kamienna Góra,0221,jedlina-zdroj,Tel: 75 742-89-31,bskamgora.pl
point-23879,Bank Spółdzielczy w Kamiennej Górze,ul. Waryńskiego 11,58-400 Kamienna Góra,0221,jedlina-zdroj,Tel: 75 754-67-00,bskamgora.pl
point-26716,Bank Spółdzielczy w Świdnicy Oddział w Marcinowicach,ul. Tuwima 4,58-124 Marcinowice,0221,jedlina-zdroj,Tel: 74 858-52-14,bsswidnica.pl
point-25862,Bank Spółdzielczy w Kamiennej Górze Oddział w Lubawce,Plac Wolności 19,58-420 Lubawka,0221,jedlina-zdroj,Tel: 75 741-15-11,bskamgora.pl
point-20952,Gospodarczy Bank Spółdzielczy Radków z/s w Nowej Rudzie,ul. Radkowska 4,57-402 Nowa Ruda,0221,jedlina-zdroj,Tel: 74 872-80-43,gbsradkow.pl
point-26717,Bank Spółdzielczy w Świdnicy Oddział w Żarowie,ul. Armii Krajowej 48,58-130 Żarów,0221,jedlina-zdroj,Tel: 74 858-05-41,bsswidnica.pl
point-25821,Bank Spółdzielczy w Jaworze Oddział w Bolkowie,Rynek - Ratusz 1,59-420 Bolków,0221,jedlina-zdroj,Tel: 75 741-33-22,bs-jawor.pl
point-26876,Bank Spółdzielczy w Ząbkowicach Śląskich Oddział Budzów z siedzibą w Stoszowicach 92,Stoszowice 92,57-213 Stoszowice,0221,jedlina-zdroj,Tel: 74 818-10-08,bs-zabkowicesl.pl
point-25883,Bank Spółdzielczy w Kątach Wrocławskich Oddział w Sobótce,ul. Mickiewicza 19,55-050 Sobótka,0221,jedlina-zdroj,Tel: 71 364-69-44,bskw.pl
