id,name,street,adress,pow_teryt,gmina_town,phone,url
point-24585,Bank Spółdzielczy w Skawinie,Rynek 19,32-050 Skawina,1206,liszki,Tel: 12 276-38-16,bs-skawina.com.pl
point-26569,Bank Spółdzielczy w Skawinie Filia nr 4 w Skawinie,ul. Ogrody 101,32-050 Skawina,1206,liszki,Tel: 12 276-84-50,bs-skawina.com.pl
point-26568,Bank Spółdzielczy w Skawinie Filia nr 1 w Skawinie,ul. Ogrody 78,32-050 Skawina,1206,liszki,Tel: 12 276-83-89,bs-skawina.com.pl
point-10080,Bank Polskiej Spółdzielczości,Tadeusza Kościuszki 53,30-114 Kraków,1206,liszki,Tel: 12 618 17 00,bankbps.pl
point-26634,Nadsański Bank Spółdzielczy Oddział w Krakowie,ul. Stawowa 10,31-346 Kraków,1206,liszki,Tel: 12 446-92-01,sanbank.pl
point-26571,Bank Spółdzielczy w Skawinie Punkt Kasowy nr 2 w Radziszowie,ul. Jana Pawła II 18,32-052 Radziszów,1206,liszki,Tel: 12 256-13-01,bs-skawina.com.pl
point-25584,Bank Spółdzielczy w Brzeźnicy Punkt Obsługi Klienta w Paszkówce,ul. Pobiedr 20,34-113 Paszkówka,1206,liszki,Tel: 33 879-05-00,bsbrzeznica.pl
point-23601,Bank Spółdzielczy w Brzeźnicy,ul. Kalwaryjska 5,34-114 Brzeźnica,1206,liszki,Tel: 33 879-20-04,bsbrzeznica.pl
point-26137,Łącki Bank Spółdzielczy Punkt Obsługi Klienta w Krakowie,ul. Szlak 65,31-153 Kraków,1206,liszki,Tel: 18 545-04-06,bslacko.pl
point-26800,Małopolski Bank Spółdzielczy Oddział w Krakowie,ul. Wysłouchów 4,30-611 Kraków,1206,liszki,Tel: 12 654-56-16,mbsw.pl
point-26570,Bank Spółdzielczy w Skawinie Filia nr 5 w Zielonkach,ul. Krakowskie Przedmieście 114,32-087 Zielonki,1206,liszki,Tel: 12 665-03-00,bs-skawina.com.pl
point-26076,Bank Spółdzielczy w Limanowej Oddział w Krakowie,ul. Kamieńskiego 47,30-644 Kraków,1206,liszki,Tel: 12 357-77-77,bs.limanowa.pl
point-26244,Bank Spółdzielczy w Mszanie Dolnej Punkt Obsługi Klienta w Krakowie,ul. Wielicka 57/4,35-552 Kraków,1206,liszki,Tel: 12 261-15-50,bsmszana.pl
point-24041,Bank Spółdzielczy w Krzeszowicach,ul. Krakowska 6,32-065 Krzeszowice,1206,liszki,Tel: 12 627-73-00,bs-krzeszowice.pl
point-27005,Nadwiślański Bank Spółdzielczy w Solcu-Zdroju Oddział w Krakowie,ul. Bajeczna 2B/4,31-566 Kraków,1206,liszki,Tel: 12 414-00-00,nbsbank.pl
point-25621,Bank Spółdzielczy w Chrzanowie Oddział w Alwerni,ul. Gęsikowskiego 7,32-566 Alwernia,1206,liszki,Tel: 12 257-94-11,bschrzanow.pl
