id,name,street,adress,pow_teryt,gmina_town,phone,url
point-24171,Bank Spółdzielczy w Łomży,Aleja Legionów 5,18-400 Łomża,2062,lomza,Tel: 86 218-33-33,bslomza.pl
point-26159,Bank Spółdzielczy w Łomży Oddział w Łomży,Aleja Legionów 5,18-400 Łomża,2062,lomza,Tel: 86 218-33-33,bslomza.pl
point-26161,Bank Spółdzielczy w Łomży Filia nr 2 w Łomży,ul. Kardynała Stefana Wyszyńskiego 20,18-400 Łomża,2062,lomza,Tel: 86 218-25-77,bslomza.pl
point-26699,Spółdzielczy Bank Rozwoju Punkt Obsługi Klienta w Łomży,ul. Zjazd 21,18-400 Łomża,2062,lomza,Tel: 609-201-542,sbrbank.pl
point-26698,Spółdzielczy Bank Rozwoju Oddział w Łomży,Aleja Piłsudskiego 75,18-400 Łomża,2062,lomza,Tel: 86 219-80-23,sbrbank.pl
point-26395,HEXA Bank Spółdzielczy Oddział w Łomży,ul. Zawadzka 52 lok. 7,18-400 Łomża,2062,lomza,Tel: 86 218-27-53,hexabank.pl
point-26163,Bank Spółdzielczy w Łomży Punkt Kasowy w Łomży,ul. Kazańska 1,18-400 Łomża,2062,lomza,Tel: 86 218-53-15,bslomza.pl
point-26160,Bank Spółdzielczy w Łomży Filia nr 1 w Łomży,ul. Sybiraków 22/3a,18-400 Łomża,2062,lomza,Tel: 86 211-52-97,bslomza.pl
point-24411,HEXA Bank Spółdzielczy,ul. Stawiskowska 30,18-421 Piątnica Poduchowna,2062,lomza,Tel: 86 219-13-70,hexabank.pl
point-26398,HEXA Bank Spółdzielczy Oddział w Piątnicy,ul. Stawiskowska 30,18-421 Piątnica Poduchowna,2062,lomza,Tel: 86 219-13-70,hexabank.pl
