id,name,street,adress,pow_teryt,gmina_town,phone,url
point-24047,Bank Spółdzielczy w Legnicy,ul. Wjazdowa 2,59-220 Legnica,0211,lubin,Tel: 76 876-30-10,bslegnica.pl
point-27090,Powiatowy Bank Spółdzielczy w Złotoryi Oddział w Legnicy,ul. Złotoryjska 15,59-220 Legnica,0211,lubin,Tel: 76 862-57-80,pbszlotoryja.pl
point-26903,Bank Spółdzielczy w Żmigrodzie Punkt Kasowy w Lubiążu,ul. Mickiewicza 1,56-100 Lubiąż,0211,lubin,Tel: 71 389-71-01,bszmigrod.com.pl
point-21820,Bank Spółdzielczy w Chojnowie,Rynek 18/19,59-225 Chojnów,0211,lubin,Tel: 76 818-85-76,bs-chojnow.pl
point-25698,Bank Spółdzielczy w Głogowie Filia w Jerzmanowej,ul. Lipowa 4,67-222 Jerzmanowa,0211,lubin,Tel: 76 835-74-19,bsglogow.pl
point-26030,Bank Spółdzielczy w Legnicy Filia w Radwanicach,ul. Głogowska 17,59-160 Radwanice,0211,lubin,Tel: 76 831-14-22,bslegnica.pl
point-26708,Bank Spółdzielczy w Środzie Śląskiej Oddział w Malczycach,ul. Mickiewicza 2,55-320 Malczyce,0211,lubin,Tel: 71 317-91-69,bssrodasl.pl
point-26901,Bank Spółdzielczy w Żmigrodzie Oddział w Wińsku,ul. Adama Mickiewicza 16,56-160 Wińsko,0211,lubin,Tel: 71 389-80-02,bszmigrod.com.pl
point-26902,Bank Spółdzielczy w Żmigrodzie Oddział w Wołowie,ul. Józefa Piłsudskiego 27,56-100 Wołów,0211,lubin,Tel: 71 389-24-50,bszmigrod.com.pl
point-25613,Bank Spółdzielczy w Chojnowie Oddział w Gromadce,ul. 11 Listopada 38,59-706 Gromadka,0211,lubin,Tel: 75 738-22-96,bs-chojnow.pl
point-26332,Bank Spółdzielczy w Obornikach Śląskich Filia w Wołowie,Plac Piastowski 2,56-100 Wołów,0211,lubin,Tel: 71 380-91-18,bsobornikisl.com
point-25103,Powiatowy Bank Spółdzielczy w Złotoryi Filia w Zagrodnie,Zagrodno 55a,59-516 Zagrodno,0211,lubin,Tel: 76 877-33-91,pbszlotoryja.pl
