id,name,street,adress,pow_teryt,gmina_town,phone,url
point-10081,Bank Polskiej Spółdzielczości,ul. Mieczysława Karłowicza 4,20-027 Lublin,0663,lublin,Tel: 81 531 95 00,bankbps.pl
point-25515,Bank Spółdzielczy w Białej Podlaskiej Oddział w Lublinie,ul. Ewangelicka 4,20-075 Lublin,0663,lublin,Tel: 81 534-67-75,bsbialapodlaska.com
point-27115,Rejonowy Bank Spółdzielczy w Bychawie Filia w Lublinie,ul. Wolska 8A,20-411 Lublin,0663,lublin,Tel: 81 532-81-78,rbsbychawa.pl
point-26388,Bank Spółdzielczy w Parczewie Oddział Lublin,ul. Chodźki 17/3,20-093 Lublin,0663,lublin,Tel: 81 741-14-88,bs.com.pl
point-26514,Bank Spółdzielczy w Radzyniu Podlaskim Filia Łabędzia w Lublinie,ul. Łabędzia 17,20-335 Lublin,0663,lublin,Tel: 81 444-48-40,bsradzyn.pl
point-26296,Bank Spółdzielczy w Niemcach I Oddział w Lublinie,ul. Ceramiczna 1,20-150 Lublin,0663,lublin,Tel: 81 438-22-65,bsniemce.pl
point-27126,Spółdzielczy Bank Powiatowy w Piaskach Oddział Lublin,ul. Z. Krasińskiego 2,20-709 Lublin,0663,lublin,Tel: 81 525-00-04,sbppiaski.pl
point-26437,Bank Spółdzielczy w Poniatowej Oddział w Lublinie,ul. Nałęczowska 18,20-701 Lublin,0663,lublin,Tel: 81 533-71-79,bsponiatowa.pl
point-27048,Bank Spółdzielczy w Lubartowie Oddział w Lublinie,ul. Willowa 29,20-819 Lublin,0663,lublin,Tel: 81 466-78-80,bslubartow.pl
point-26513,Bank Spółdzielczy w Radzyniu Podlaskim Oddział w Lublinie,ul. Kawaleryjska 10 lok. 8,20-552 Lublin,0663,lublin,Tel: 81 442-78-10,bsradzyn.pl
point-27130,Spółdzielczy Bank Powiatowy w Piaskach Oddział Wólka,ul. Turystyczna 134,20-230 Lublin,0663,lublin,Tel: 81 746-31-15,sbppiaski.pl
point-25969,Lubelski Bank Spółdzielczy Filia w Lublinie,ul. Gęsia 5/9,20-719 Lublin,0663,lublin,Tel: 695-636-944,lubelskibs.pl
