id,name,street,adress,pow_teryt,gmina_town,phone,url
point-24300,Bank Spółdzielczy w Narwi,ul. Dąbrowskiego 1,17-210 Narew,2002,michalowo,Tel: 85 681-60-36,bsnarew.pl
point-24868,Podlasko-Mazurski Bank Spółdzielczy w Zabłudowie,ul. Surażska 2,16-060 Zabłudów,2002,michalowo,Tel: 85 676-00-07,pmbank.pl
point-26854,Podlasko-Mazurski Bank Spółdzielczy w Zabłudowie Oddział w Zabłudowie,ul. Surażska 2,16-060 Zabłudów,2002,michalowo,Tel: 85 718-80-17,pmbank.pl
point-27222,Bank Spółdzielczy w Brańsku Oddział w Narewce,ul. Hajnowska 30,17-220 Narewka,2002,michalowo,Tel: 85 731-94-60,bsbransk.pl
point-27227,Bank Spółdzielczy w Brańsku Filia Nr 1 w Białymstoku,ul. Marii Skłodowskiej-Curie 19,15-275 Białystok,2002,michalowo,Tel: 85 663-29-21,bsbransk.pl
point-26397,HEXA Bank Spółdzielczy II Oddział w Białymstoku,ul. Fabryczna 4 lok 0d,15-483 Białystok,2002,michalowo,Tel: 572-709-902,hexabank.pl
point-26855,Podlasko-Mazurski Bank Spółdzielczy w Zabłudowie Filia w Białymstoku,ul. Jurowiecka 1 lok. 0.41,15-101 Białystok,2002,michalowo,Tel: 85 654-59-01,pmbank.pl
point-26826,Bank Spółdzielczy w Wysokiem Mazowieckiem Oddział w Białymstoku,ul. Wiejska 71 lok.3,15-351 Białystok,2002,michalowo,Tel: 85 746-20-11,bswysokiemazowieckie.pl
point-26852,Podlasko-Mazurski Bank Spółdzielczy w Zabłudowie Oddział w Białymstoku,ul. Suraska 3A,15-093 Białystok,2002,michalowo,Tel: 85 676-06-53,pmbank.pl
point-26702,Spółdzielczy Bank Rozwoju II Oddział w Białymstoku,ul. Legionowa 28 lok. 4,15-281 Białystok,2002,michalowo,Tel: 85 663-37-26,sbrbank.pl
point-10077,Bank Polskiej Spółdzielczości,Al. Piłsudskiego 11/3,15-443 Białystok,2002,michalowo,Tel: 85 663 86 80,bankbps.pl
point-26396,HEXA Bank Spółdzielczy Oddział w Białymstoku,ul. Grochowa 2 lok. 27-28,15-423 Białystok,2002,michalowo,Tel: 514-953-988,hexabank.pl
point-27226,Bank Spółdzielczy w Brańsku Oddział w Białymstoku,ul. Radzymińska 16,15-863 Białystok,2002,michalowo,Tel: 85 652-78-50,bsbransk.pl
