id,name,street,adress,pow_teryt,gmina_town,phone,url
point-25537,Bank Spółdzielczy w Białej Rawskiej Filia Nr 1 w Warszawie,Aleje Jerozolimskie 85/ lok. U1,02-001 Warszawa,1430,mirow,Tel: 22 623-84-21,bsbr.pl
point-10076,Bank Polskiej Spółdzielczości,Grzybowska 81,00-844 Warszawa,1430,mirow,Tel: 22 578 14 95,bankbps.pl
point-26837,Polski Bank Spółdzielczy w Wyszkowie Oddział w Warszawie,ul. Solec 38,00-394 Warszawa,1430,mirow,Tel: 22 745-25-60,bankpbs.pl
point-27204,Warszawski Bank Spółdzielczy Oddział w Warszawie - Mokotów,ul. Racławicka 10,02-601 Warszawa,1430,mirow,Tel: 22 540-02-00,bank-wbs.pl
point-26704,Spółdzielczy Bank Rozwoju Oddział w Warszawie,ul. Zamojskiego 47A,03-801 Warszawa,1430,mirow,Tel: 22 28-09-220,sbrbank.pl
point-27200,Warszawski Bank Spółdzielczy Oddział w Warszawie - Jelonki,ul. Świętochowskiego 2,01-318 Warszawa,1430,mirow,Tel: 22 664-85-08,bank-wbs.pl
point-27194,Warszawski Bank Spółdzielczy,ul. Fieldorfa 5a,03-984 Warszawa,1430,mirow,Tel: 22 514-89-40,bank-wbs.pl
point-27203,Warszawski Bank Spółdzielczy Oddział w Warszawie - Bielany,ul. Conrada 15A,01-922 Warszawa,1430,mirow,Tel: 22 864-99-25,bank-wbs.pl
point-27207,Warszawski Bank Spółdzielczy Oddział w Warszawie - Gocław,ul. Gen. Tadeusza Bora Komorowskiego 21,03-982 Warszawa,1430,mirow,Tel: 22 613-40-63,bank-wbs.pl
point-25198,Bank Spółdzielczy w Piasecznie Filia w Warszawie,ul. Wincentego Rzymowskiego 33,02-679 Warszawa,1430,mirow,Tel: 22 852-01-40,psbank.pl
point-26592,Bank Spółdzielczy w Skierniewicach Punkt Obsługi Klienta w Warszawie,ul. Św. Bonifacego 92 /1,02-914 Warszawa,1430,mirow,Tel: 22 651-81-87,bsskierniewice.pl
point-26968,Mazowiecki Bank Spółdzielczy w Łomiankach - Oddział  Warszawa,ul. Przy Agorze 11A,01-960 Warszawa,1430,mirow,Tel: 22 864-72-84,mbsbank.pl
point-27181,Bank Spółdzielczy w Piasecznie Oddział w Ursusie,ul. Kolorowa 5,02-495 Warszawa,1430,mirow,Tel: 22 66-70-305,psbank.pl
point-27171,Bank Spółdzielczy w Ostrowi Mazowieckiej Oddział w Warszawie,ul. Jubilerska 10,04-190 Warszawa,1430,mirow,Tel: 22 611-63-19,bsostrowmaz.pl
point-25230,Bank Spółdzielczy w Raszynie,Aleja Krakowska 72,05-090 Raszyn,1430,mirow,Tel: 22 720-55-91,bsraszyn.pl
point-27217,Bank Spółdzielczy w Raszynie Oddział w Raszynie,Aleja Krakowska 72,05-090 Raszyn,1430,mirow,Tel: 22 720-55-91,bsraszyn.pl
point-27218,Bank Spółdzielczy w Raszynie Filia w Raszynie-Rynek,ul. Szkolna 11,05-090 Raszyn,1430,mirow,Tel: 22 720-11-93,bsraszyn.pl
point-27215,Bank Spółdzielczy w Raszynie Oddział w Michałowicach,ul. Parkowa 1B,05-816 Michałowice,1430,mirow,Tel: 22 723-87-05,bsraszyn.pl
point-27195,Warszawski Bank Spółdzielczy Oddział w Warszawie - Tarchomin,ul. Myśliborska 98G,03-185 Warszawa,1430,mirow,Tel: 22 747-18-40,bank-wbs.pl
point-27199,Warszawski Bank Spółdzielczy Oddział w Starych Babicach,ul. Warszawska 189,05-082 Babice Nowe,1430,mirow,Tel: 22 752-80-11,bank-wbs.pl
point-27202,Warszawski Bank Spółdzielczy Filia w Starych Babicach,Rynek 32,05-082 Stare Babice,1430,mirow,Tel: 22 752-82-74,bank-wbs.pl
point-27206,Warszawski Bank Spółdzielczy Oddział w Warszawie - Ursynów,Aleja KEN 51,02-797 Warszawa,1430,mirow,Tel: 22 894-70-45,bank-wbs.pl
point-26839,Polski Bank Spółdzielczy w Wyszkowie Oddział w Starych Babicach,ul. Warszawska 308,05-082 Stare Babice,1430,mirow,Tel: 22 722-90-70,bankpbs.pl
point-27216,Bank Spółdzielczy w Raszynie Filia w Falentach,Al. Hrabska 6,05-090 Raszyn,1430,mirow,Tel: 22 735-70-65,bsraszyn.pl
point-26849,Polski Bank Spółdzielczy w Wyszkowie Oddział w Piastowie,ul. Józefa Wybickiego 3/1,05-820 Piastów,1430,mirow,Tel: 22 723-64-09,bankpbs.pl
point-26845,Polski Bank Spółdzielczy w Wyszkowie Filia w Ożarowie Mazowieckim,ul. Floriana 2,05-850 Ożarów Mazowiecki,1430,mirow,Tel: 22 721-32-21,bankpbs.pl
point-25233,Bank Spółdzielczy w Raszynie Filia w Pruszkowie-Żbikowie,ul. Łączniczek AK 8,05-800 Pruszków,1430,mirow,Tel: 22 738-70-60,bsraszyn.pl
point-27173,Bank Spółdzielczy w Ostrowi Mazowieckiej Oddział w Zielonce,ul. Kolejowa 9,05-220 Zielonka,1430,mirow,Tel: 22 781-96-16,bsostrowmaz.pl
point-27197,Warszawski Bank Spółdzielczy Oddział w Markach,ul. Piłsudskiego 138,05-270 Marki,1430,mirow,Tel: 22 781-20-20,bank-wbs.pl
point-26848,Polski Bank Spółdzielczy w Wyszkowie Oddział w Pruszkowie,ul. Fryderyka Chopina 2/4,05-800 Pruszków,1430,mirow,Tel: 22 758-69-17,bankpbs.pl
point-26847,Polski Bank Spółdzielczy w Wyszkowie Oddział w Pruszkowie,ul. Bolesława Prusa 88,05-800 Pruszków,1430,mirow,Tel: 22 728-50-70,bankpbs.pl
point-27214,Bank Spółdzielczy w Raszynie Filia w Komorowie,ul. Berylowa 34/róg M.Dąbrowski,05-806 Komorów,1430,mirow,Tel: 22 758-07-18,bsraszyn.pl
