id,name,street,adress,pow_teryt,gmina_town,phone,url
point-26880,Bank Spółdzielczy w Ząbkowicach Śląskich Oddział w Ziębicach,Rynek 10,57-220 Ziębice,1207,niedzwiedz,Tel: 74 819-10-43,bs-zabkowicesl.pl
point-26372,Bank Spółdzielczy w Otmuchowie Filia w Paczkowie,ul. Kołłątaja 7,48-370 Paczków,1207,niedzwiedz,Tel: 77 431-61-04,bsotmuchow.pl
point-26878,Bank Spółdzielczy w Ząbkowicach Śląskich Oddział w Kamieńcu Ząbkowickim,ul. Ząbkowicka 13,57-230 Kamieniec Ząbkowicki,1207,niedzwiedz,Tel: 74 817-34-73,bs-zabkowicesl.pl
point-26370,Bank Spółdzielczy w Otmuchowie Filia w Kamienniku,ul. 1 Maja 30,48-388 Kamiennik,1207,niedzwiedz,Tel: 77 431-21-45,bsotmuchow.pl
point-26885,Bank Spółdzielczy w Ząbkowicach Śląskich Oddział w Ząbkowicach Śląskich,ul. Jasna 2A,57-200 Ząbkowice Śląskie,1207,niedzwiedz,Tel: 74 815-23-09,bs-zabkowicesl.pl
point-26881,Bank Spółdzielczy w Ząbkowicach Śląskich Oddział w Złotym Stoku,ul. Wojska Polskiego 14,57-250 Złoty Stok,1207,niedzwiedz,Tel: 74 817-52-83,bs-zabkowicesl.pl
point-26883,Bank Spółdzielczy w Ząbkowicach Śląskich Punkt Kasowy w Ząbkowicach Śląskich,ul. B.Prusa 5,57-200 Ząbkowice Śląskie,1207,niedzwiedz,Tel: 74 816-28-35,bs-zabkowicesl.pl
point-24387,Bank Spółdzielczy w Otmuchowie,ul. Rynek 1B,48-385 Otmuchów,1207,niedzwiedz,Tel: 77 431-53-95,bsotmuchow.pl
point-26882,Bank Spółdzielczy w Ząbkowicach Śląskich Punkt Obsługi Klienta w Ząbkowicach Śląskich,Osiedle XX lecia 16,57-200 Ząbkowice Śląskie,1207,niedzwiedz,Tel: 74 815-60-87,bs-zabkowicesl.pl
point-24891,Bank Spółdzielczy w Ząbkowicach Śląskich,Rynek 10,57-200 Ząbkowice Śląskie,1207,niedzwiedz,Tel: 74 816-44-44,bs-zabkowicesl.pl
point-26884,Bank Spółdzielczy w Ząbkowicach Śląskich Punkt Kasowy w Ząbkowicach Śląskich,ul. 1 Maja 15,57-200 Ząbkowice Śląskie,1207,niedzwiedz,Tel: 74 810-08-71,bs-zabkowicesl.pl
