id,name,street,adress,pow_teryt,gmina_town,phone,url
point-26321,Bank Spółdzielczy w Nowym Sączu Punkt Obsługi Klienta w Nowym Sączu,ul. Lwowska 104A,33-300 Nowy Sącz,1262,nowy sacz,Tel: 18 441-65-80,bsnowysacz.pl
point-26125,Łącki Bank Spółdzielczy Punkt Obsługi Klientów w Nowym Sączu,ul. Nawojowska 30,33-300 Nowy Sącz,1262,nowy sacz,Tel: 18 54-50-403,bslacko.pl
point-26322,Bank Spółdzielczy w Nowym Sączu Punkt Obsługi Klienta w Nowym Sączu,ul. I Brygady 6,33-300 Nowy Sącz,1262,nowy sacz,Tel: 18 440-08-16,bsnowysacz.pl
point-26129,Łącki Bank Spółdzielczy Punkt Obsługi Klientów w Nowym Sączu,ul. Barska 2,33-300 Nowy Sącz,1262,nowy sacz,Tel: 18 54-50-410,bslacko.pl
point-26127,Łącki Bank Spółdzielczy Punkt Obsługi Klientów w Nowym Sączu,ul. Freislera 2,33-300 Nowy Sącz,1262,nowy sacz,Tel: 18 54-50-409,bslacko.pl
point-26018,Pieniński Bank Spółdzielczy Oddział w Nowym Sączu,ul. Lwowska 61 lok.A,33-300 Nowy Sącz,1262,nowy sacz,Tel: 18 441-03-89,bsbank.com.pl
point-26323,Bank Spółdzielczy w Nowym Sączu Punkt Obsługi Klienta w Nowym Sączu,ul. Batalionów Chłopskich 31,33-300 Nowy Sącz,1262,nowy sacz,Tel: 18 449-05-36,bsnowysacz.pl
point-26326,Bank Spółdzielczy w Nowym Sączu Oddział w Nowym Sączu,Al. Wolności 19,33-300 Nowy Sącz,1262,nowy sacz,Tel: 509-652-796,bsnowysacz.pl
point-26317,Bank Spółdzielczy w Nowym Sączu Punkt Obsługi Klienta w Nowym Sączu,ul. Paderewskiego 66,33-300 Nowy Sącz,1262,nowy sacz,Tel: 18 444-31-38,bsnowysacz.pl
point-24333,Bank Spółdzielczy w Nowym Sączu,Aleja Stefana Batorego 78,33-300 Nowy Sącz,1262,nowy sacz,Tel: 18 443-56-30,bsnowysacz.pl
point-26128,Łącki Bank Spółdzielczy Punkt Obsługi Klientów w Nowym Sączu,ul. Jagiellońska 55,33-300 Nowy Sącz,1262,nowy sacz,Tel: 18 54-50-417,bslacko.pl
point-26134,Łącki Bank Spółdzielczy Punkt Obsługi Klientów w Nowym Sączu,ul. Sobieskiego 14A/4,33-300 Nowy Sącz,1262,nowy sacz,Tel: 18 54-50-419,bslacko.pl
point-26071,Bank Spółdzielczy w Limanowej Oddział w Nowym Sączu,ul. Długosza 43/1,33-300 Nowy Sącz,1262,nowy sacz,Tel: 18 444-44-78,bs.limanowa.pl
point-26130,Łącki Bank Spółdzielczy Punkt Obsługi Klientów w Nowym Sączu,ul. Agaty Konstanty 27,33-300 Nowy Sącz,1262,nowy sacz,Tel: 18 54-50-416,bslacko.pl
point-26131,Łącki Bank Spółdzielczy Punkt Obsługi Klientów w Nowym Sączu,ul. Krakowska 32,33-300 Nowy Sącz,1262,nowy sacz,Tel: 18 54-50-402,bslacko.pl
point-26315,Bank Spółdzielczy w Nowym Sączu Punkt Obsługi Klienta w Nowym Sączu,ul. Krakowska 91,33-300 Nowy Sącz,1262,nowy sacz,Tel: 18 440-81-05,bsnowysacz.pl
point-26122,Łącki Bank Spółdzielczy Punkt Obsługi Klientów w Świniarsku,Świniarsko 600,33-395 Chełmiec,1262,nowy sacz,Tel: 18 54-50-401,bslacko.pl
point-26126,Łącki Bank Spółdzielczy Punkt Obsługi Klientów w Nowym Sączu,ul. Tarnowska 169,33-300 Nowy Sącz,1262,nowy sacz,Tel: 18 54-50-405,bslacko.pl
point-26133,Łącki Bank Spółdzielczy Punkt Obsługi Klientów w Nowym Sączu,Mała Poręba 55,33-300 Nowy Sącz,1262,nowy sacz,Tel: 18 54-50-440,bslacko.pl
point-26319,Bank Spółdzielczy w Nowym Sączu Punkt Obsługi Klienta w Wielogłowach,Wielogłowy 95,33-311 Wielogłowy,1262,nowy sacz,Tel: 18 449-01-01,bsnowysacz.pl
point-26318,Bank Spółdzielczy w Nowym Sączu Punkt Obsługi Klienta w Kamionce Wielkiej,Kamionka Wielka 739,33-334 Kamionka Wielka,1262,nowy sacz,Tel: 18 333-38-19,bsnowysacz.pl
point-24657,Bank Spółdzielczy w Starym Sączu,ul. Daszyńskiego 11,33-340 Stary Sącz,1262,nowy sacz,Tel: 18 446-09-60,bsstarysacz.pl
point-26643,Bank Spółdzielczy w Starym Sączu Punkt Obsługi Klienta w Starym Sączu,Rynek 11,33-340 Stary Sącz,1262,nowy sacz,Tel: 18 446-05-25,bsstarysacz.pl
point-26132,Łącki Bank Spółdzielczy Punkt Obsługi Klientów w Starym Sączu,ul. Kazimierza Wielkiego 1,33-340 Stary Sącz,1262,nowy sacz,Tel: 18 54-50-414,bslacko.pl
point-26640,Bank Spółdzielczy w Starym Sączu Punkt Obsługi Klienta w Starym Sączu,Osiedle Słoneczne 9,33-340 Stary Sącz,1262,nowy sacz,Tel: 18 449-04-46,bsstarysacz.pl
point-26064,Bank Spółdzielczy w Limanowej Punkt Obsługi Klienta w Klęczanach,Klęczany 119,33-394 Klęczany,1262,nowy sacz,Tel: 18 443-34-02,bs.limanowa.pl
