id,name,street,adress,pow_teryt,gmina_town,phone,url
point-25676,Bank Spółdzielczy w Ełku Oddział w Starych Juchach,ul. Ełcka 18,19-330 Stare Juchy,2816,orzysz,Tel: 87 619-90-18,bselk.pl
point-26798,Bank Spółdzielczy w Węgorzewie Oddział Pisz,ul. W. Jagiełły 2A,12-200 Pisz,2816,orzysz,Tel: 87 423-58-98,bswegorzewo.pl
point-26235,Bank Spółdzielczy w Mrągowie Filia nr 3 w Mikołajkach,ul. Szkolna 4,11-730 Mikołajki,2816,orzysz,Tel: 87 421-98-05,bsmragowo.pl
point-26797,Bank Spółdzielczy w Węgorzewie Oddział Mikołajki,ul. M. Kajki 7,11-730 Mikołajki,2816,orzysz,Tel: 87 421-62-48,bswegorzewo.pl
point-26338,Bank Spółdzielczy w Olecku Oddział w Ełku,ul. Wojska Polskiego 71/U-1b,19-300 Ełk,2816,orzysz,Tel: 87 610-71-60,bsolecko.pl
point-23693,Bank Spółdzielczy w Ełku,ul. Adama Mickiewicza 15,19-300 Ełk,2816,orzysz,Tel: 87 621-03-00,bselk.pl
point-26853,Podlasko-Mazurski Bank Spółdzielczy w Zabłudowie Oddział w Ełku,ul. Słowackiego 21A,19-300 Ełk,2816,orzysz,Tel: 87 610-49-72,pmbank.pl
point-25477,Bank Spółdzielczy w Bargłowie Kościelnym Oddział w Ełku,ul. Orzeszkowej 7,19-300 Ełk,2816,orzysz,Tel: 87 621-55-03,bsbarglow.pl
point-25679,Bank Spółdzielczy w Ełku Punkt Kasowy nr 1 w Ełku,ul. Jana Pawła II 24,19-300 Ełk,2816,orzysz,Tel: 87 620-75-97,bselk.pl
point-25680,Bank Spółdzielczy w Ełku Punkt Kasowy nr 2 w Ełku,ul. Kilińskiego 40,19-300 Ełk,2816,orzysz,Tel: 87 610-36-53,bselk.pl
point-26976,Mazurski Bank Spółdzielczy w Giżycku Oddział w Rynie,ul. Kopernika 22,11-520 Ryn,2816,orzysz,Tel: 87 421-83-82,mbsgizycko.pl
point-26334,Bank Spółdzielczy w Olecku Oddział w Świętajnie,Świętajno 10,19-411 Świętajno,2816,orzysz,Tel: 87 521-54-16,bsolecko.pl
