id,name,street,adress,pow_teryt,gmina_town,phone,url
point-26548,Bank Spółdzielczy w Sejnach Ekspozytura w Gibach,Giby 74A,16-506 Giby,2001,plaska,Tel: 87 516-55-33,bssejny.pl
point-25469,Bank Spółdzielczy w Augustowie Punkt Kasowy w Nowince,Nowinka 41,16-304 Nowinka,2001,plaska,Tel: 87 641-90-05,bs.augustow.pl
point-23486,Bank Spółdzielczy w Augustowie,ul. 3 Maja 13,16-300 Augustów,2001,plaska,Tel: 87 643-30-29,bs.augustow.pl
point-26705,Spółdzielczy Bank Rozwoju Oddział w Augustowie,Rynek Zygmunta 16,16-300 Augustów,2001,plaska,Tel: 87 643-49-25,sbrbank.pl
point-25476,Bank Spółdzielczy w Bargłowie Kościelnym Oddział w Augustowie,ul. Żabia 3/2,16-300 Augustów,2001,plaska,Tel: 87 643-66-07,bsbarglow.pl
point-25471,Bank Spółdzielczy w Augustowie Punkt Kasowy w Krasnymborze,Krasnybór 59/2,16-310 Sztabin,2001,plaska,Tel: 87 641 40 02,bs.augustow.pl
point-26666,Bank Spółdzielczy w Suwałkach Oddział Operacyjny w Lipsku,ul. Żłobikowskiego 4,16-315 Lipsk,2001,plaska,Tel: 87 642-30-11,bssuwalki.pl
point-24563,Bank Spółdzielczy w Sejnach,ul. Powstańców Sejneńskich 1,16-500 Sejny,2001,plaska,Tel: 87 517-34-70,bssejny.pl
point-26551,Bank Spółdzielczy w Sejnach Oddział w Sejnach,ul. Powstańców Sejneńskich 1,16-500 Sejny,2001,plaska,Tel: 87 517-34-70,bssejny.pl
point-24681,Bank Spółdzielczy w Suwałkach,ul. Utrata 4,16-400 Suwałki,2001,plaska,Tel: 87 565-00-77,bssuwalki.pl
point-26701,Spółdzielczy Bank Rozwoju Oddział w Suwałkach,ul. Księdza Jerzego Jana Zawadzkiego 2 lok. 1,16-400 Suwałki,2001,plaska,Tel: 87 565-55-09,sbrbank.pl
point-26550,Bank Spółdzielczy w Sejnach Ekspozytura w Suwałkach,ul. Noniewicza 42,16-400 Suwałki,2001,plaska,Tel: 87 517-36-15,bssejny.pl
point-26340,Bank Spółdzielczy w Olecku Oddział w Suwałkach,ul. Muzyczna 10 lok. 20,16-400 Suwałki,2001,plaska,Tel: 572-776-819,bsolecko.pl
point-23493,Bank Spółdzielczy w Bargłowie Kościelnym,ul. Tysiąclecia 6a,16-320 Bargłów Kościelny,2001,plaska,Tel: 87 642-40-21,bsbarglow.pl
