id,name,street,adress,pow_teryt,gmina_town,phone,url
point-26240,Bank Spółdzielczy w Mszanie Dolnej Punkt Kasowy w Skomielnej Białej,Skomielna Biała 650,32-434 Skomielna Biała,1211,raba wyzna,Tel: 18 268-79-22,bsmszana.pl
point-25782,Bank Spółdzielczy w Jabłonce Filia w Podwilku,Podwilk 300,34-722 Podwilk,1211,raba wyzna,Tel: 18 285-27-27,bsjablonka.pl
point-23862,Bank Spółdzielczy w Jordanowie,Rynek 44,34-240 Jordanów,1211,raba wyzna,Tel: 18 267-55-20,bsjordanow.pl
point-25849,Bank Spółdzielczy w Jordanowie Filia w Bystrej Podhalańskiej,Bystra Podhalańska 373,34-235 Bystra Podhalańska,1211,raba wyzna,Tel: 18 26-23-772,bsjordanow.pl
point-25848,Bank Spółdzielczy w Jordanowie Filia w Sidzinie,Sidzina 362,34-236 Sidzina,1211,raba wyzna,Tel: 18 26-73-281,bsjordanow.pl
point-24345,Bank Spółdzielczy w Nowym Targu,ul. Rynek 11,34-400 Nowy Targ,1211,raba wyzna,Tel: 18 266-27-33,bsnowytarg.pl
point-26017,Pieniński Bank Spółdzielczy Oddział w Nowym Targu,ul. Szaflarska 8a,34-400 Nowy Targ,1211,raba wyzna,Tel: 18 265-79-66,bsbank.com.pl
point-25589,Bank Spółdzielczy Ziem Górskich KARPATIA Filia w Nowym Targu,ul. Szaflarska 93 D,34-400 Nowy Targ,1211,raba wyzna,Tel: 18 264-12-33,karpatiabs.pl
point-26238,Bank Spółdzielczy w Mszanie Dolnej Oddział  Niedźwiedź,Niedźwiedź 233 lok. 2,34-735 Niedźwiedź,1211,raba wyzna,Tel: 18 331-70-11,bsmszana.pl
point-23796,Bank Spółdzielczy w Jabłonce,ul. Krakowska 3,34-480 Jabłonka,1211,raba wyzna,Tel: 18 265-23-01,bsjablonka.pl
point-25781,Bank Spółdzielczy w Jabłonce Filia w Zubrzycy Górnej,Zubrzyca Górna 499,34-484 Zubrzyca Górna,1211,raba wyzna,Tel: 18 264-20-94,bsjablonka.pl
point-24255,Bank Spółdzielczy w Mszanie Dolnej,ul. Maksymiliana Marii Kolbego 13,34-730 Mszana Dolna,1211,raba wyzna,Tel: 18 26-93-100,bsmszana.pl
point-26072,Bank Spółdzielczy w Limanowej Punkt Obsługi Klienta w Mszanie Dolnej,ul. Starowiejska 4C,34-730 Mszana Dolna,1211,raba wyzna,Tel: 18 331-98-20,bs.limanowa.pl
point-26239,Bank Spółdzielczy w Mszanie Dolnej Punkt Obsługi Klienta w Mszanie Dolnej,ul. Starowiejska 2 R,34-730 Mszana Dolna,1211,raba wyzna,Tel: 18 26-93-632,bsmszana.pl
