id,name,street,adress,pow_teryt,gmina_town,phone,url
point-25737,Bank Spółdzielczy w Grybowie Punkt Obsługi Klienta w Siedliskach,Siedliska 259,38-324 Bobowa,1216,rzepiennik strzyzewski,Tel: 18 353-06-04,bsgrybow.pl
point-25548,Bank Spółdzielczy w Bieczu Filia w Tuchowie,Rynek 6,33-170 Tuchów,1216,rzepiennik strzyzewski,Tel: 14 628-50-65,bsbiecz.pl
point-25714,Bank Spółdzielczy w Gorlicach Stały Punkt Kasowy w Moszczenicy,ul. Samorządowa 4,38-321 Moszczenica,1216,rzepiennik strzyzewski,Tel: 18 353-00-90,bs.gorlice.pl
point-25717,Bank Spółdzielczy w Gorlicach Oddział w Łużnej,Łużna 634,38-322 Łużna,1216,rzepiennik strzyzewski,Tel: 18 354-38-25,bs.gorlice.pl
point-25550,Bank Spółdzielczy w Bieczu Punkt Obsługi Klienta w Rożnowicach,Rożnowice 356,38-323 Rożnowice,1216,rzepiennik strzyzewski,Tel: 13 447-60-14,bsbiecz.pl
point-25736,Bank Spółdzielczy w Grybowie Oddział w Bobowej,ul. Węgierska 19,38-350 Bobowa,1216,rzepiennik strzyzewski,Tel: 18 351-40-01,bsgrybow.pl
point-26401,Bank Spółdzielczy w Pilźnie Oddział w Szerzynach,Szerzyny 524,38-246 Szerzyny,1216,rzepiennik strzyzewski,Tel: 14 651-75-99,bspilzno.pl
point-25739,Bank Spółdzielczy w Grybowie Punkt Obsługi Klienta w Lipnicy Wielkiej,Lipnica Wielka 189,33-323 Lipnica Wielka,1216,rzepiennik strzyzewski,Tel: 18 441-70-20,bsgrybow.pl
point-23561,Bank Spółdzielczy w Bieczu,Rynek 15,38-340 Biecz,1216,rzepiennik strzyzewski,Tel: 13 447-12-81,bsbiecz.pl
point-25562,Bank Spółdzielczy w Bieczu Filia w Bieczu,ul. Kazimierza Wielkiego 18,38-340 Biecz,1216,rzepiennik strzyzewski,Tel: 13 447-15-22,bsbiecz.pl
