id,name,street,adress,pow_teryt,gmina_town,phone,url
point-10085,Bank Polskiej Spółdzielczości,ul. Zygmuntowska 14,35-025 Rzeszów,1863,rzeszow,Tel: 17 864 19 00,bankbps.pl
point-25794,Bank Spółdzielczy w Jarosławiu Oddział w Rzeszowie,ul. Grottgera 28,35-005 Rzeszów,1863,rzeszow,Tel: 17 853-42-22,bsjaroslaw.pl
point-24558,Bank Spółdzielczy w Rzeszowie,ul. płk Leopolda Lisa Kuli 16,35-025 Rzeszów,1863,rzeszow,Tel: 17 862-02-31,bs.rzeszow.pl
point-25660,Bank Spółdzielczy w Dynowie Filia Rzeszów,Plac Wolności 17,35-073 Rzeszów,1863,rzeszow,Tel: 17 850-01-71,bsdynow.pl
point-26632,Nadsański Bank Spółdzielczy Oddział w Rzeszowie,ul. Podwisłocze 33,35-309 Rzeszów,1863,rzeszow,Tel: 17 858-60-30,sanbank.pl
point-26108,Bank Spółdzielczy w Lubeni IV Oddział w Rzeszowie,ul. Dąbrowskiego 19,35-036 Rzeszów,1863,rzeszow,Tel: 17 850-99-50,bslubenia.pl
point-25578,Bank Spółdzielczy w Błażowej Oddział w Rzeszowie,ul. Bohaterów 4,35-112 Rzeszów,1863,rzeszow,Tel: 17 221-22-20,bs-blazowa.pl
point-26090,Bank Spółdzielczy w Lubaczowie Oddział w Rzeszowie,Aleje Kopisto 8B/502,35-315 Rzeszów,1863,rzeszow,Tel: 17 700-02-05,bslubaczow.pl
point-26107,Bank Spółdzielczy w Lubeni Filia w Rzeszowie przy I US,ul. Podwisłocze 42,35-309 Rzeszów,1863,rzeszow,Tel: 17 853-72-70,bslubenia.pl
point-26106,Bank Spółdzielczy w Lubeni III Oddział w Rzeszowie,ul. Solarza 9 A,35-118 Rzeszów,1863,rzeszow,Tel: 17 856-77-46,bslubenia.pl
point-26104,Bank Spółdzielczy w Lubeni I Oddział w Rzeszowie,ul. Krzywoustego 4A,35-077 Rzeszów,1863,rzeszow,Tel: 17 850-40-36,bslubenia.pl
point-26105,Bank Spółdzielczy w Lubeni II Oddział w Rzeszowie,ul. Ofiar Katynia 15,35-209 Rzeszów,1863,rzeszow,Tel: 17 860-05-88,bslubenia.pl
point-26775,Bank Spółdzielczy w Tyczynie I Oddział w Rzeszowie,ul. Pelczara 6,35-312 Rzeszów,1863,rzeszow,Tel: 17 852-15-39,bstyczyn.pl
point-25700,Bank Spółdzielczy w Głogowie Małopolskim Punkt Kasowy w Rzeszowie,ul. Myśliwska 2,35-212 Rzeszów,1863,rzeszow,Tel: 17 860-20-35,bsglogowmlp.pl
point-26543,Bank Spółdzielczy w Rzeszowie I Filia Rzeszów,ul. Łukasiewicza 88,35-604 Rzeszów,1863,rzeszow,Tel: 17 857-52-30,bs.rzeszow.pl
point-26287,Bank Spółdzielczy w Niechobrzu Ekspozytura w Rzeszowie,ul. Beskidzka 76a,35-083 Rzeszów,1863,rzeszow,Tel: 17 87-13-230,bsniechobrz.pl
point-26288,Bank Spółdzielczy w Niechobrzu Oddział w Kielanówce,Kielanówka 35F/1U,35-106 Rzeszów,1863,rzeszow,Tel: 17 740-10-44,bsniechobrz.pl
point-25803,Bank Spółdzielczy w Jasionce Punkt Kasowy w Trzebownisku,Trzebownisko,36-001 Trzebownisko,1863,rzeszow,Tel: 17 771-21-02,bsjasionka.pl
point-25802,Bank Spółdzielczy w Jasionce Punkt Kasowy w Zaczerniu,Zaczernie,36-062 Zaczernie,1863,rzeszow,Tel: 17 771-20-84,bsjasionka.pl
point-25702,Bank Spółdzielczy w Głogowie Małopolskim Oddział w Świlczy,Świlcza 162A,36-072 Świlcza,1863,rzeszow,Tel: 17 856-07-25,bsglogowmlp.pl
point-25801,Bank Spółdzielczy w Jasionce Punkt Kasowy w Łące,Łąka,36-004 Łąka,1863,rzeszow,Tel: 17 772-17-81,bsjasionka.pl
point-24303,Bank Spółdzielczy w Niechobrzu,Niechobrz 118,36-047 Niechobrz,1863,rzeszow,Tel: 17 859-14-00,bsniechobrz.pl
