id,name,street,adress,pow_teryt,gmina_town,phone,url
point-25675,Bank Spółdzielczy w Dynowie Punkt Obsługi Klienta Dydnia,Dydnia 224,36-204 Dydnia,1817,sanok,Tel: 13 440-20-08,bsdynow.pl
point-25666,Bank Spółdzielczy w Dynowie Punkt Obsługi Klienta Izdebki,Izdebki 377,36-203 Izdebki,1817,sanok,Tel: 13 439-90-07,bsdynow.pl
point-25665,Bank Spółdzielczy w Dynowie Filia Nozdrzec,Nozdrzec 234,36-245 Nozdrzec,1817,sanok,Tel: 13 439-85-15,bsdynow.pl
point-24550,Bank Spółdzielczy w Rymanowie,ul. Rynek 14,38-480 Rymanów,1817,sanok,Tel: 13 435-50-10,bsrymanow.pl
point-26912,Bank Spółdzielczy w Żurawicy Oddział w Birczy,ul. Rynek 6/8,37-740 Bircza,1817,sanok,Tel: 16 672-61-40,bszurawica.pl
point-26959,Bieszczadzki Bank Spółdzielczy w Ustrzykach Dolnych Punkt Obsługi Klienta w Polańczyku,ul. Wiejska 2,38-610 Polańczyk,1817,sanok,Tel: 13 469-26-41,bbsustrzyki.pl
point-26958,Bieszczadzki Bank Spółdzielczy w Ustrzykach Dolnych Punkt Obsługi Klienta w Starostwie Powiatowym w Ustrzykach Dolnych,ul. Bełska 22,38-700 Ustrzyki Dolne,1817,sanok,Tel: 13 461-21-23,bbsustrzyki.pl
point-24972,Bieszczadzki Bank Spółdzielczy w Ustrzykach Dolnych,ul. Bełska 12,38-700 Ustrzyki Dolne,1817,sanok,Tel: 13 461-12-96,bbsustrzyki.pl
point-26536,Bank Spółdzielczy w Rymanowie Oddział w Krośnie,ul. Bohaterów Westerplatte 20,38-400 Krosno,1817,sanok,Tel: 13 435-66-89,bsrymanow.pl
point-26539,Bank Spółdzielczy w Rymanowie Punkt Kasowy w Krośnie,ul. Bieszczadzka 1,38-400 Krosno,1817,sanok,Tel: 13 420-43-95,bsrymanow.pl
point-25546,Bank Spółdzielczy w Bieczu Filia w Krośnie,ul. Powstańców Warszawskich 13,38-400 Krosno,1817,sanok,Tel: 13 420-47-10,bsbiecz.pl
point-25547,Bank Spółdzielczy w Bieczu Filia w Krośnie,ul. Kisielewskiego 2,38-400 Krosno,1817,sanok,Tel: 13 432-35-90,bsbiecz.pl
point-25671,Bank Spółdzielczy w Dynowie Punkt Obsługi Klienta  Krasiczyn,Krasiczyn 177,37-741 Krasiczyn,1817,sanok,Tel: 16 671-83-51,bsdynow.pl
