id,name,street,adress,pow_teryt,gmina_town,phone,url
point-26801,Małopolski Bank Spółdzielczy Oddział w Myślenicach,Rynek 16,32-400 Myślenice,1209,siepraw,Tel: 12 272-02-24,mbsw.pl
point-26243,Bank Spółdzielczy w Mszanie Dolnej Punkt Obsługi Klienta w Myślenicach,ul. Drogowców 6,32-400 Myślenice,1209,siepraw,Tel: 18 269-36-00,bsmszana.pl
point-23671,Bank Spółdzielczy w Dobczycach,ul. Kilińskiego 2,32-410 Dobczyce,1209,siepraw,Tel: 12 372-79-01,bsdobczyce.pl
point-26568,Bank Spółdzielczy w Skawinie Filia nr 1 w Skawinie,ul. Ogrody 78,32-050 Skawina,1209,siepraw,Tel: 12 276-83-89,bs-skawina.com.pl
point-24816,Małopolski Bank Spółdzielczy,ul. Kilińskiego 2,32-020 Wieliczka,1209,siepraw,Tel: 12 278-14-66,mbsw.pl
point-26803,Małopolski Bank Spółdzielczy Oddział w Wieliczce,ul. Kilińskiego 2,32-020 Wieliczka,1209,siepraw,Tel: 12 278-13-95,mbsw.pl
point-26806,Małopolski Bank Spółdzielczy Filia nr 1 w Wieliczce,Pl. Kościuszki 1,32-020 Wieliczka,1209,siepraw,Tel: 12 289-01-65,mbsw.pl
point-26800,Małopolski Bank Spółdzielczy Oddział w Krakowie,ul. Wysłouchów 4,30-611 Kraków,1209,siepraw,Tel: 12 654-56-16,mbsw.pl
point-26811,Małopolski Bank Spółdzielczy Filia w Wieliczce,ul. J.Słowackiego 29,32-020 Wieliczka,1209,siepraw,,mbsw.pl
point-26571,Bank Spółdzielczy w Skawinie Punkt Kasowy nr 2 w Radziszowie,ul. Jana Pawła II 18,32-052 Radziszów,1209,siepraw,Tel: 12 256-13-01,bs-skawina.com.pl
point-26809,Małopolski Bank Spółdzielczy Filia nr 3 w Wieliczce,ul. Wincetego Pola 4b,32-020 Wieliczka,1209,siepraw,Tel: 12 288-33-80,mbsw.pl
point-26569,Bank Spółdzielczy w Skawinie Filia nr 4 w Skawinie,ul. Ogrody 101,32-050 Skawina,1209,siepraw,Tel: 12 276-84-50,bs-skawina.com.pl
point-24585,Bank Spółdzielczy w Skawinie,Rynek 19,32-050 Skawina,1209,siepraw,Tel: 12 276-38-16,bs-skawina.com.pl
point-25654,Bank Spółdzielczy w Dobczycach Oddział w Raciechowicach,Raciechowice 140,32-415 Raciechowice,1209,siepraw,Tel: 12 372-79-45,bsdobczyce.pl
point-26810,Małopolski Bank Spółdzielczy Filia w Węgrzcach Wielkich,Węgrzce Wielkie 266/1,32-002 Węgrzce Wielkie,1209,siepraw,Tel: 12 251-11-12,mbsw.pl
