id,name,street,adress,pow_teryt,gmina_town,phone,url
point-27248,Bank Spółdzielczy w Otwocku Oddział w Wiązownie,ul. Lubelska 47,05-462 Wiązowna,1412,sulejowek,Tel: 22 789-04-08,bsotwock.pl
point-27196,Warszawski Bank Spółdzielczy Oddział w Kobyłce,ul. Ręczajska 9c,05-230 Kobyłka,1412,sulejowek,Tel: 22 786-90-60,bank-wbs.pl
point-27173,Bank Spółdzielczy w Ostrowi Mazowieckiej Oddział w Zielonce,ul. Kolejowa 9,05-220 Zielonka,1412,sulejowek,Tel: 22 781-96-16,bsostrowmaz.pl
point-27171,Bank Spółdzielczy w Ostrowi Mazowieckiej Oddział w Warszawie,ul. Jubilerska 10,04-190 Warszawa,1412,sulejowek,Tel: 22 611-63-19,bsostrowmaz.pl
point-27176,Bank Spółdzielczy w Ostrowi Mazowieckiej Filia Wołomin,ul. Gdyńska 1/3,05-200 Wołomin,1412,sulejowek,Tel: 22 760-22-37,bsostrowmaz.pl
point-27207,Warszawski Bank Spółdzielczy Oddział w Warszawie - Gocław,ul. Gen. Tadeusza Bora Komorowskiego 21,03-982 Warszawa,1412,sulejowek,Tel: 22 613-40-63,bank-wbs.pl
point-27194,Warszawski Bank Spółdzielczy,ul. Fieldorfa 5a,03-984 Warszawa,1412,sulejowek,Tel: 22 514-89-40,bank-wbs.pl
point-26220,Bank Spółdzielczy w Mińsku Mazowieckim Oddział w Dębem Wielkim,ul. Strażacka 4,05-311 Dębe Wielkie,1412,sulejowek,Tel: 25 640-10-55,bsminskmaz.pl
point-26226,Bank Spółdzielczy w Mińsku Mazowieckim Oddział w Poświętnem,ul. Krótka 1,05-326 Poświętne,1412,sulejowek,Tel: 25 640-10-80,bsminskmaz.pl
point-27197,Warszawski Bank Spółdzielczy Oddział w Markach,ul. Piłsudskiego 138,05-270 Marki,1412,sulejowek,Tel: 22 781-20-20,bank-wbs.pl
point-26704,Spółdzielczy Bank Rozwoju Oddział w Warszawie,ul. Zamojskiego 47A,03-801 Warszawa,1412,sulejowek,Tel: 22 28-09-220,sbrbank.pl
point-26592,Bank Spółdzielczy w Skierniewicach Punkt Obsługi Klienta w Warszawie,ul. Św. Bonifacego 92 /1,02-914 Warszawa,1412,sulejowek,Tel: 22 651-81-87,bsskierniewice.pl
