id,name,street,adress,pow_teryt,gmina_town,phone,url
point-25474,Bank Spółdzielczy w Barcinie Punkt Kasowy w Barcinie,ul. Lotników 13,88-190 Barcin,3021,swarzedz,Tel: 52 383-30-19,bsbarcin.pl
point-23491,Bank Spółdzielczy w Barcinie,ul. Kościelna 8,88-190 Barcin,3021,swarzedz,Tel: 52 383-27-10,bsbarcin.pl
point-25475,Bank Spółdzielczy w Barcinie Punkt Kasowy w Piechcinie,ul. Wiertników 1,88-192 Piechcin,3021,swarzedz,Tel: 52 383-75-53,bsbarcin.pl
point-24840,Bank Spółdzielczy w Wysokiej,ul. Strzelecka 1,89-320 Wysoka,3021,swarzedz,Tel: 67 287-10-24,bswysoka.pl
point-26210,Bank Spółdzielczy w Miliczu Oddział w Cieszkowie,Pl. Rynek 6a,56-330 Cieszków,3021,swarzedz,Tel: 71 384-82-54,bsmilicz.com.pl
point-26302,Bank Spółdzielczy w Nowej Soli Filia w Sławie,ul. Odrodzonego Wojska Polskiego 7,67-410 Sława,3021,swarzedz,Tel: 68 356-61-65,bsnowasol.pl
point-26303,Bank Spółdzielczy w Nowej Soli Punkt Kasowy w Kolsku,ul. Piastowska 10/2,67-415 Kolsko,3021,swarzedz,Tel: 68 352-46-52,bsnowasol.pl
point-25974,Bank Spółdzielczy w Kożuchowie Oddział w Kargowej,ul. Rynek 2,66-120 Kargowa,3021,swarzedz,Tel: 68 320-76-52,bskozuchow.pl
point-26215,Bank Spółdzielczy w Miliczu POK w Gądkowicach,Gądkowice 45,56-300 Milicz,3021,swarzedz,Tel: 71 384-54-02,bsmilicz.com.pl
point-26301,Bank Spółdzielczy w Nowej Soli Filia w Bojadłach,ul. Sulechowska 11,66-130 Bojadła,3021,swarzedz,Tel: 68 352-33-70,bsnowasol.pl
point-25977,Bank Spółdzielczy w Kożuchowie Filia w Trzebiechowie,ul. Aleja Lipowa 2,66-132 Trzebiechów,3021,swarzedz,Tel: 68 351-42-22,bskozuchow.pl
point-27099,Powiślański Bank Spółdzielczy w Kwidzynie Filia w Bydgoszczy,ul. Kijowska 54,85-703 Bydgoszcz,3021,swarzedz,Tel: 52 321-11-48,powislanski.pl
point-25697,Bank Spółdzielczy w Głogowie Filia w Pęcławiu,Pęcław 28,67-221 Pęcław,3021,swarzedz,Tel: 76 831-70-04,bsglogow.pl
point-25696,Bank Spółdzielczy w Głogowie Oddział w Głogowie,ul. Grodzka 37,67-200 Głogów,3021,swarzedz,Tel: 76 835-74-23,bsglogow.pl
point-23713,Bank Spółdzielczy w Głogowie,ul. Sikorskiego 15,67-210 Głogów,3021,swarzedz,Tel: 76 835-74-14,bsglogow.pl
point-26305,Bank Spółdzielczy w Nowej Soli Punkt Kasowy w Otyniu,ul. Rynek 1,67-106 Otyń,3021,swarzedz,Tel: 68 378-24-96,bsnowasol.pl
point-26304,Bank Spółdzielczy w Nowej Soli Punkt Kasowy w Siedlisku,Plac Zamkowy 6,67-112 Siedlisko,3021,swarzedz,Tel: 68 388-32-19,bsnowasol.pl
point-26300,Bank Spółdzielczy w Nowej Soli Oddział w Bytomiu Odrzańskim,ul. Szkolna 1,67-115 Bytom Odrzański,3021,swarzedz,Tel: 68 388-40-44,bsnowasol.pl
point-25698,Bank Spółdzielczy w Głogowie Filia w Jerzmanowej,ul. Lipowa 4,67-222 Jerzmanowa,3021,swarzedz,Tel: 76 835-74-19,bsglogow.pl
point-24318,Bank Spółdzielczy w Nowej Soli,ul. Bankowa 1,67-100 Nowa Sól,3021,swarzedz,Tel: 68 387-52-71,bsnowasol.pl
point-25978,Bank Spółdzielczy w Kożuchowie Oddział w Nowej Soli,Os. Konstytucji 3 Maja 9D,67-100 Nowa Sól,3021,swarzedz,Tel: 68 387-61-01,bskozuchow.pl
point-25479,Gospodarczy Bank Spółdzielczy w Barlinku Oddział w Bierzwniku,ul. Kopernika 1,73-240 Bierzwnik,3021,swarzedz,Tel: 95 22 23 390,gbsbank.pl
point-26784,Bank Spółdzielczy w Warcie Punkt Obsługi Klienta w Goszczanowie,ul. Kaliska 15,98-215 Goszczanów,3021,swarzedz,Tel: 43 829-04-31,bs-warta.pl
point-26029,Bank Spółdzielczy w Legnicy Oddział w Gaworzycach,ul. Bankowa 189b,59-180 Gaworzyce,3021,swarzedz,Tel: 76 831-62-12,bslegnica.pl
point-26030,Bank Spółdzielczy w Legnicy Filia w Radwanicach,ul. Głogowska 17,59-160 Radwanice,3021,swarzedz,Tel: 76 831-14-22,bslegnica.pl
point-25975,Bank Spółdzielczy w Kożuchowie Oddział w Nowym Miasteczku,ul. Rynek 25,67-124 Nowe Miasteczko,3021,swarzedz,Tel: 68 388-80-19,bskozuchow.pl
point-25979,Bank Spółdzielczy w Kożuchowie Filia nr 2 w Kożuchowie,ul. 22 Lipca 1807 32,67-120 Kożuchów,3021,swarzedz,Tel: 68 355-35-26,bskozuchow.pl
point-23993,Bank Spółdzielczy w Kożuchowie,ul. Klasztorna 4,67-120 Kożuchów,3021,swarzedz,Tel: 68 355-20-24,bskozuchow.pl
point-25976,Bank Spółdzielczy w Kożuchowie Oddział w Kożuchowie,ul. Klasztorna 4,67-120 Kożuchów,3021,swarzedz,Tel: 68 355-75-22,bskozuchow.pl
point-26420,Bank Spółdzielczy w Poddębicach Oddział w Uniejowie,ul. Biskupa Wojciecha Owczarka 6,99-210 Uniejów,3021,swarzedz,Tel: 63 288-81-31,bspoddebice.pl
