id,name,street,adress,pow_teryt,gmina_town,phone,url
point-26093,Łużycki Bank Spółdzielczy w Lubaniu Oddział w Leśnej,ul. Baworowa 87,59-820 Leśna,0210,swieradow-zdroj,Tel: 75 722-75-75,banklbs.pl
point-26100,Łużycki Bank Spółdzielczy w Lubaniu Oddział w Olszynie,ul. Wolności 9,59-830 Olszyna,0210,swieradow-zdroj,Tel: 75 722-75-95,banklbs.pl
point-26099,Łużycki Bank Spółdzielczy w Lubaniu Oddział w Lubaniu,ul. Dąbrowskiego 1,59-800 Lubań,0210,swieradow-zdroj,Tel: 75 722-75-16,banklbs.pl
point-24109,Łużycki Bank Spółdzielczy w Lubaniu,ul. Spółdzielcza 10,59-800 Lubań,0210,swieradow-zdroj,Tel: 75 722-75-00,banklbs.pl
point-26094,Łużycki Bank Spółdzielczy w Lubaniu Oddział w Siekierczynie,Siekierczyn 267a,59-818 Siekierczyn,0210,swieradow-zdroj,Tel: 75 722-75-80,banklbs.pl
point-26095,Łużycki Bank Spółdzielczy w Lubaniu Punkt Obsługi Klienta w Bogatyni,ul. Słowiańska 8,59-920 Bogatynia,0210,swieradow-zdroj,Tel: 75 722-75-59,banklbs.pl
point-26097,Łużycki Bank Spółdzielczy w Lubaniu Oddział w Sulikowie,Plac Wolność 17,59-975 Sulików,0210,swieradow-zdroj,Tel: 75 722-75-40,banklbs.pl
point-26092,Łużycki Bank Spółdzielczy w Lubaniu Oddział w Bogatyni,ul. Daszyńskiego 17,59-920 Bogatynia,0210,swieradow-zdroj,Tel: 75 722-75-50,banklbs.pl
point-25866,Bank Spółdzielczy w Kamiennej Górze Punkt Obsługi Klienta w Jeleniej Górze,ul. Różyckiego 19,58-506 Jelenia Góra,0210,swieradow-zdroj,Tel: 75 761-59-28,bskamgora.pl
point-25865,Bank Spółdzielczy w Kamiennej Górze Punkt Obsługi Klienta w Jeleniej Górze,Aleja Jana Pawła II nr 24,58-506 Jelenia Góra,0210,swieradow-zdroj,Tel: 75 764-31-60,bskamgora.pl
