id,name,street,adress,pow_teryt,gmina_town,phone,url
point-26922,Bank Spółdzielczy w Żywcu Punkt Kasowy w Żywcu,ul. Dworcowa 23,34-300 Żywiec,2417,zywiec,Tel: 33 862-00-22,bs-zywiec.pl
point-25592,Bank Spółdzielczy Ziem Górskich KARPATIA Punkt Kasowy w Żywcu,ul. Dworcowa 36,34-300 Żywiec,2417,zywiec,Tel: 33 861-04-02,karpatiabs.pl
point-24938,Bank Spółdzielczy w Żywcu,ul. Rynek 23,34-300 Żywiec,2417,zywiec,Tel: 33 861-29-71,bs-zywiec.pl
point-26792,Bank Spółdzielczy w Węgierskiej Górce Punkt Kasowy w Żywcu,Osiedle 700-lecia 9,34-300 Żywiec,2417,zywiec,Tel: 33 861-02-22,bs.wegierskagorka.pl
point-25817,Bank Spółdzielczy w Jastrzębiu Zdroju Punkt Kasowy w Żywcu,ul. Jana 18,34-300 Żywiec,2417,zywiec,Tel: 33 478-95-38,bsjastrzebie.pl
point-26925,Bank Spółdzielczy w Żywcu Punkt Kasowy w Żywcu,ul. Południowa 16,34-300 Żywiec,2417,zywiec,Tel: 33 333-89-30,bs-zywiec.pl
point-26921,Bank Spółdzielczy w Żywcu Punkt Kasowy w Żywcu,ul. Browarna 88,34-300 Żywiec,2417,zywiec,Tel: 33 862-11-28,bs-zywiec.pl
point-25590,Bank Spółdzielczy Ziem Górskich KARPATIA III Oddział w Radziechowach - Wieprzu,Radziechowy Wieprz 700 lok. 1,34-381 Radziechowy,2417,zywiec,Tel: 33 867-66-46,karpatiabs.pl
point-26923,Bank Spółdzielczy w Żywcu Punkt Kasowy w Łodygowicach,ul. Piłsudskiego 75,34-325 Łodygowice,2417,zywiec,Tel: 33 863-13-27,bs-zywiec.pl
point-26924,Bank Spółdzielczy w Żywcu Punkt Kasowy w Lipowej,ul. Wiejska 40,34-324 Lipowa,2417,zywiec,Tel: 33 867-13-26,bs-zywiec.pl
point-25689,Bank Spółdzielczy w Gilowicach Punkt Kasowy w Łękawicy,ul. Żywiecka 23,34-321 Łękawica,2417,zywiec,Tel: 33 862-25-89,bs-gilowice.pl
point-25606,Bank Spółdzielczy w Bystrej Punkt Kasowo-Kredytowy w Buczkowicach,ul. Lipowska 730,43-374 Buczkowice,2417,zywiec,Tel: 33 817-71-68,bsbystra.pl
