id,name,position,club,value,points,type,captain
790,Frantisek Plach ,1,10,2.1,20,first,no
1573,Antonio Milic ,2,6,2.2,19,first,no
491,Mateusz Wieteska ,2,8,2.0,18,first,no
1386,Ariel Mosor ,2,10,1.8,24,first,no
1249,Kostas Triantafyllopoulos ,2,11,2.2,22,first,no
1702,Lukas Podolski ,3,4,2.2,24,first,no
20,Damian Dabrowski ,3,11,2.1,22,first,no
269,Kamil Drygas ,3,11,2.0,22,first,no
1539,Ivan Lopez ,3,13,3.7,35,first,yes
1128,Patryk Szysz ,3,18,2.3,29,first,no
279,Lukasz Zwolinski ,4,7,2.1,20,first,no
1847,Pawiel Pawluczenko ,1,1,1.8,18,sub,no
1614,Milosz Matysik ,2,5,0.6,11,sub,no
1755,Muris Mesanovic ,4,1,2.0,16,sub,no
1322,Maciej Rosolek ,4,8,1.8,16,sub,no
