id,name,position,club,value,points,type,captain
790,Frantisek Plach ,1,10,2.1,60,first,no
256,Jakub Czerwinski ,2,10,2.3,66,first,no
1386,Ariel Mosor ,2,10,1.8,60,first,no
1524,Dawid Abramowicz ,2,12,2.0,58,first,no
88,Dawid Szymonowicz ,2,15,1.7,60,first,no
1360,Kacper Chodyna ,2,18,1.7,58,first,no
480,Bartosz Nowak ,3,4,2.2,61,first,no
1060,João Amaral ,3,6,3.3,71,first,no
1799,Miguel Luis ,3,15,1.7,56,first,no
1128,Patryk Szysz ,3,18,2.5,85,first,yes
722,Karol Angielski ,4,12,2.2,58,first,no
558,Dusan Kuciak ,1,7,1.9,57,sub,no
1589,Lukasz Lakomy ,3,18,0.7,42,sub,no
1616,Adam Zrelak ,4,15,1.9,45,sub,no
128,Lukasz Sekulski ,4,17,2.2,56,sub,no
