id,name,position,club,value,points
3,Grzegorz Sandomierski ,1,4,1.8,42
5,Adam Wilk ,1,2,0.8,0
10,Kamil Pestka ,2,2,1.8,55
14,Jakub Wojcicki ,2,18,1.7,17
20,Damian Dabrowski ,3,11,2.0,49
22,Radoslaw Kanach ,3,2,0.9,3
23,Karol Niemczycki ,1,2,1.6,37
37,Damian Jakubik ,2,12,1.8,60
39,Messias Leandro ,2,3,1.7,39
45,Szymon Drewniak ,3,3,1.6,31
53,Bartosz Spiaczka ,4,3,2.0,74
57,Damian Weglarz ,1,17,1.6,0
63,Pawel Olszewski ,2,5,1.5,4
64,Kamil Pajnowski ,2,3,1.2,12
69,Piotr Tomasik ,2,17,1.8,49
71,Fedor Cernych ,3,5,2.0,65
79,Pawel Koncewicz-Zylka ,2,16,0.5,0
81,Przemyslaw Mystkowski ,3,5,1.6,26
88,Dawid Szymonowicz ,2,15,1.7,36
96,Maciej Gostomski ,1,3,1.7,49
107,Bartosz Rymaniak ,2,3,1.7,35
128,Lukasz Sekulski ,4,17,2.0,73
130,Jasmin Buric ,1,18,1.8,0
133,Matus Putnocky ,1,14,1.7,11
145,Maciej Gajos ,3,7,1.9,69
154,Lukasz Tralka ,3,15,1.8,40
156,Dawid Kownacki ,4,6,2.6,9
159,Lukasz Budzilek ,1,1,1.5,8
163,Adam Chrzanowski ,2,17,1.7,3
166,Rafal Janicki ,2,4,1.8,52
167,Mario Maloca ,2,7,1.8,67
168,Pawel Stolarski ,2,11,1.7,44
171,Michal Chrapek ,3,10,1.9,77
172,Flavio Paixao ,4,7,2.4,92
179,Michal Mak ,3,3,1.7,31
184,Rafal Wolski ,3,17,1.8,71
201,Michal Pazdan ,2,5,1.7,45
202,Jakub Rzezniczak ,2,17,1.6,40
210,Michal Kopczynski ,3,15,1.6,33
211,Michal Kucharczyk ,3,11,2.4,68
224,Jakub Szmatula ,1,10,1.6,0
231,Tomasz Mokwa ,2,10,1.5,4
239,Marcin Flis ,2,9,1.6,46
244,Radoslaw Murawski ,3,6,1.8,30
245,Igor Sapala ,3,13,1.8,6
248,Sasa Zivec ,3,18,1.9,42
256,Jakub Czerwinski ,2,10,2.0,49
260,Hubert Matynia ,2,11,1.8,2
269,Kamil Drygas ,3,11,2.0,39
271,Dawid Kort ,3,9,1.6,19
272,Mateusz Matras ,2,9,1.8,56
279,Lukasz Zwolinski ,4,7,2.0,69
282,Gonçalo Silva ,2,12,1.7,8
286,Martin Konczkowski ,2,10,1.9,69
289,Przemyslaw Bargiel ,3,14,0.8,0
293,Patryk Lipski ,3,10,1.7,29
299,Maciej Urbanczyk ,3,9,1.5,48
322,Robert Pich ,3,14,2.1,75
334,Artem Putiwcew ,2,1,1.6,15
339,Vlastimir Jovanovic ,3,1,1.3,1
340,Mateusz Kupczak ,3,15,1.8,42
344,Samuel Stefanik ,3,1,1.8,53
346,Vladislavs Gutkovskis ,4,13,2.1,66
351,Michal Buchalik ,1,7,1.6,0
351,Michal Buchalik ,1,16,1.6,0
361,Rafal Pietrzak ,2,7,1.8,35
362,Maciej Sadlok ,2,16,1.8,36
371,Krzysztof Maczynski ,3,14,2.0,46
378,Zdeněk Ondrasek ,4,16,1.9,4
382,Dominik Hladun ,1,18,1.7,56
386,Daniel Dziwniel ,2,3,1.6,15
391,Damian Zbozien ,2,17,1.6,20
395,Jaroslaw Kubicki ,3,7,1.8,63
404,Pawel Zyra ,3,1,1.4,7
412,Pavels Steinbors ,1,5,1.7,23
429,Michal Nalepa ,2,5,1.8,21
429,Michal Nalepa ,3,5,1.8,21
431,Mateusz Szwoch ,3,17,2.0,69
432,Grzegorz Tomasiewicz ,3,9,2.1,96
450,Dominik Furman ,3,17,1.9,24
461,Piotr Wlazlo ,3,1,1.8,75
480,Bartosz Nowak ,3,4,2.1,92
491,Mateusz Wieteska ,2,8,1.9,43
503,Roman Gergel ,3,1,1.8,29
508,Cornel Rapa ,2,2,1.9,77
514,Lukasz Bejger ,2,14,1.6,28
531,Jakub Zubrowski ,3,18,1.7,23
553,Jakub Bartkowski ,2,11,2.0,74
558,Dusan Kuciak ,1,7,1.9,51
563,Marcin Wasielewski ,2,1,1.6,18
580,Sebastian Kowalczyk ,3,11,2.3,94
583,Adrian Lyszczarz ,3,14,1.5,40
625,Filip Piszczek ,4,2,1.6,23
