id,name,position,value,club,club_abr,club_prev,country,popularity,status,round,opponent,time,goals,assists,own_goal,penalty,penalty_won,penalty_given,penalty_lost,penalty_defended,in_stat,yellow_card,red_card,points
3,Grzegorz Sandomierski ,,,Gornik Zabrze,GOR,CFR Cluj,Polska,3%,,1,POG,96,0,0,0,0,0,0,0,0,0.0,0,0,1
3,Grzegorz Sandomierski ,,,Gornik Zabrze,GOR,CFR Cluj,Polska,3%,,2,LPO,98,0,0,0,0,0,0,0,0,0.0,0,0,1
3,Grzegorz Sandomierski ,,,Gornik Zabrze,GOR,CFR Cluj,Polska,3%,,3,STM,99,0,0,0,0,0,0,0,0,0.0,0,0,6
3,Grzegorz Sandomierski ,,,Gornik Zabrze,GOR,CFR Cluj,Polska,3%,,4,JAG,95,0,0,0,0,0,0,0,0,0.0,0,0,3
3,Grzegorz Sandomierski ,,,Gornik Zabrze,GOR,CFR Cluj,Polska,3%,,6,PIA,97,0,0,0,0,0,0,0,0,0.0,0,0,2
3,Grzegorz Sandomierski ,,,Gornik Zabrze,GOR,CFR Cluj,Polska,3%,,7,CRA,101,0,0,0,0,0,0,0,0,0.0,0,0,2
3,Grzegorz Sandomierski ,,,Gornik Zabrze,GOR,CFR Cluj,Polska,3%,,8,WAR,94,0,0,0,0,0,0,0,0,0.0,0,0,6
3,Grzegorz Sandomierski ,,,Gornik Zabrze,GOR,CFR Cluj,Polska,3%,,9,BBT,100,0,0,0,0,0,0,0,0,0.0,0,0,0
3,Grzegorz Sandomierski ,,,Gornik Zabrze,GOR,CFR Cluj,Polska,3%,,10,WPL,107,0,0,0,0,0,0,0,0,0.0,0,0,2
3,Grzegorz Sandomierski ,,,Gornik Zabrze,GOR,CFR Cluj,Polska,3%,,11,WIS,95,0,0,0,0,0,0,0,0,0.0,0,0,2
3,Grzegorz Sandomierski ,,,Gornik Zabrze,GOR,CFR Cluj,Polska,3%,,12,LGD,94,0,0,0,0,0,0,0,0,0.0,0,0,2
3,Grzegorz Sandomierski ,,,Gornik Zabrze,GOR,CFR Cluj,Polska,3%,,13,ZAG,96,0,0,0,0,0,0,0,0,0.0,0,0,6
3,Grzegorz Sandomierski ,,,Gornik Zabrze,GOR,CFR Cluj,Polska,3%,,14,RAD,96,0,0,0,0,0,0,0,0,0.0,0,0,2
3,Grzegorz Sandomierski ,,,Gornik Zabrze,GOR,CFR Cluj,Polska,3%,,15,LEG,102,0,0,0,0,0,0,0,0,0.0,0,0,2
3,Grzegorz Sandomierski ,,,Gornik Zabrze,GOR,CFR Cluj,Polska,3%,,16,GKL,95,0,0,0,0,0,0,0,0,0.0,0,0,3
3,Grzegorz Sandomierski ,,,Gornik Zabrze,GOR,CFR Cluj,Polska,3%,,17,SLA,98,0,0,0,0,0,0,0,0,0.0,0,0,3
3,Grzegorz Sandomierski ,,,Gornik Zabrze,GOR,CFR Cluj,Polska,3%,,18,POG,98,0,0,0,0,0,1,0,0,0.0,0,0,-1
3,Grzegorz Sandomierski ,,,Gornik Zabrze,GOR,CFR Cluj,Polska,3%,,19,LPO,0,0,0,0,0,0,0,0,0,0.0,0,0,0
5,Adam Wilk ,,,Cracovia,CRA,-,Polska,1%,,1,GKL,0,0,0,0,0,0,0,0,0,0.0,0,0,0
5,Adam Wilk ,,,Cracovia,CRA,-,Polska,1%,,2,SLA,0,0,0,0,0,0,0,0,0,0.0,0,0,0
5,Adam Wilk ,,,Cracovia,CRA,-,Polska,1%,,3,LPO,0,0,0,0,0,0,0,0,0,0.0,0,0,0
5,Adam Wilk ,,,Cracovia,CRA,-,Polska,1%,,4,LGD,0,0,0,0,0,0,0,0,0,0.0,0,0,0
5,Adam Wilk ,,,Cracovia,CRA,-,Polska,1%,,5,JAG,0,0,0,0,0,0,0,0,0,0.0,0,0,0
5,Adam Wilk ,,,Cracovia,CRA,-,Polska,1%,,6,BBT,0,0,0,0,0,0,0,0,0,0.0,0,0,0
5,Adam Wilk ,,,Cracovia,CRA,-,Polska,1%,,7,GOR,0,0,0,0,0,0,0,0,0,0.0,0,0,0
5,Adam Wilk ,,,Cracovia,CRA,-,Polska,1%,,8,POG,0,0,0,0,0,0,0,0,0,0.0,0,0,0
5,Adam Wilk ,,,Cracovia,CRA,-,Polska,1%,,9,PIA,0,0,0,0,0,0,0,0,0,0.0,0,0,0
5,Adam Wilk ,,,Cracovia,CRA,-,Polska,1%,,10,STM,0,0,0,0,0,0,0,0,0,0.0,0,0,0
5,Adam Wilk ,,,Cracovia,CRA,-,Polska,1%,,11,WAR,0,0,0,0,0,0,0,0,0,0.0,0,0,0
5,Adam Wilk ,,,Cracovia,CRA,-,Polska,1%,,12,ZAG,0,0,0,0,0,0,0,0,0,0.0,0,0,0
5,Adam Wilk ,,,Cracovia,CRA,-,Polska,1%,,13,RAD,0,0,0,0,0,0,0,0,0,0.0,0,0,0
5,Adam Wilk ,,,Cracovia,CRA,-,Polska,1%,,14,WIS,0,0,0,0,0,0,0,0,0,0.0,0,0,0
