id,name,position,club,value,points
3,Grzegorz Sandomierski ,1,4,1.8,5
5,Adam Wilk ,1,2,0.8,0
10,Kamil Pestka ,2,2,1.8,22
14,Jakub Wojcicki ,2,18,1.7,0
17,Marcin Budzinski ,3,9,1.2,1
20,Damian Dabrowski ,3,11,2.0,5
22,Radoslaw Kanach ,3,2,0.9,0
23,Karol Niemczycki ,1,2,1.6,0
39,Messias Leandro ,2,3,1.7,-1
45,Szymon Drewniak ,3,3,1.6,3
53,Bartosz Spiaczka ,4,3,1.8,2
57,Damian Weglarz ,1,17,1.6,1
63,Pawel Olszewski ,2,5,1.5,2
64,Kamil Pajnowski ,2,3,1.2,0
69,Piotr Tomasik ,2,17,1.8,8
71,Fedor Cernych ,3,5,1.9,2
81,Przemyslaw Mystkowski ,3,5,1.6,1
86,Taras Romanczuk ,3,5,1.8,7
88,Dawid Szymonowicz ,2,15,1.7,9
96,Maciej Gostomski ,1,3,1.7,4
107,Bartosz Rymaniak ,2,3,1.7,0
111,Marcin Cebula ,3,13,1.8,1
128,Lukasz Sekulski ,4,17,2.2,14
130,Jasmin Buric ,1,18,1.8,0
133,Matus Putnocky ,1,14,1.7,9
140,Tomasz Kedziora ,2,6,2.5,2
145,Maciej Gajos ,3,7,1.9,12
154,Lukasz Tralka ,3,15,1.8,6
156,Dawid Kownacki ,4,6,2.6,3
159,Lukasz Budzilek ,1,1,1.5,0
163,Adam Chrzanowski ,2,17,1.7,4
166,Rafal Janicki ,2,4,1.8,7
167,Mario Maloca ,2,7,1.8,13
171,Michal Chrapek ,3,10,1.9,14
172,Flavio Paixao ,4,7,2.3,21
179,Michal Mak ,3,3,1.7,4
184,Rafal Wolski ,3,17,1.9,4
201,Michal Pazdan ,2,5,1.7,7
202,Jakub Rzezniczak ,2,17,1.6,3
210,Michal Kopczynski ,3,15,1.6,14
211,Michal Kucharczyk ,3,11,2.3,6
224,Jakub Szmatula ,1,10,1.6,0
231,Tomasz Mokwa ,2,10,1.5,0
239,Marcin Flis ,2,9,1.6,5
243,Mateusz Mak ,3,9,2.2,0
244,Radoslaw Murawski ,3,6,1.8,9
245,Igor Sapala ,3,13,1.8,2
256,Jakub Czerwinski ,2,10,2.3,18
260,Hubert Matynia ,2,11,1.8,0
269,Kamil Drygas ,3,11,2.0,4
271,Dawid Kort ,3,9,1.6,0
272,Mateusz Matras ,2,9,1.8,10
279,Lukasz Zwolinski ,4,7,2.2,18
282,Gonçalo Silva ,2,12,1.7,5
286,Martin Konczkowski ,2,10,2.1,23
289,Przemyslaw Bargiel ,3,14,0.8,0
299,Maciej Urbanczyk ,3,9,1.5,7
322,Robert Pich ,3,14,1.9,13
334,Artem Putiwcew ,2,1,1.6,2
339,Vlastimir Jovanovic ,3,1,1.3,0
340,Mateusz Kupczak ,3,15,1.8,11
344,Samuel Stefanik ,3,1,1.8,9
346,Vladislavs Gutkovskis ,4,13,2.0,11
351,Michal Buchalik ,1,7,1.6,0
361,Rafal Pietrzak ,2,7,1.8,14
362,Maciej Sadlok ,2,16,1.8,-2
378,Zdeněk Ondrasek ,4,16,1.9,10
382,Dominik Hladun ,1,18,1.7,-1
395,Jaroslaw Kubicki ,3,7,1.8,7
399,Filip Starzynski ,3,18,2.1,31
404,Pawel Zyra ,3,1,1.4,0
412,Pavels Steinbors ,1,5,1.7,0
429,Michal Nalepa ,3,5,1.8,0
431,Mateusz Szwoch ,3,17,2.0,17
432,Grzegorz Tomasiewicz ,3,9,2.0,6
450,Dominik Furman ,3,17,1.8,9
461,Piotr Wlazlo ,3,1,1.8,7
480,Bartosz Nowak ,3,4,2.2,19
491,Mateusz Wieteska ,2,8,1.9,1
503,Roman Gergel ,3,1,1.8,1
508,Cornel Rapa ,2,2,1.9,19
514,Lukasz Bejger ,2,14,1.6,2
535,Artur Jedrzejczyk ,2,8,1.8,1
553,Jakub Bartkowski ,2,11,2.1,14
558,Dusan Kuciak ,1,7,1.9,16
563,Marcin Wasielewski ,2,1,1.6,0
574,Bartosz Slisz ,3,8,1.7,16
583,Adrian Lyszczarz ,3,14,1.5,3
625,Filip Piszczek ,4,5,1.6,0
633,Mateusz Wdowiak ,3,13,2.0,7
640,Bartosz Kopacz ,2,18,1.8,8
645,Rafal Kurzawa ,3,11,1.8,2
653,Dariusz Pawlowski ,2,4,1.4,19
664,Maciej Ambrosiewicz ,3,1,1.6,10
670,Meik Karwot ,2,12,1.6,0
672,Tomasz Loska ,1,1,1.6,15
692,Zoran Arsenic ,2,13,1.9,-1
698,Alan Czerwinski ,2,6,1.9,0
701,Patryk Kun ,3,13,1.8,6
713,Martin Pospisil ,3,5,1.8,8
714,Damian Kadzior ,3,10,2.5,17
720,Michal Siplak ,2,2,1.6,14
722,Karol Angielski ,4,12,2.2,22
723,Igor Lasicki ,2,11,1.6,2
724,Zlatan Alomerovic ,1,5,1.8,10
733,Daniel Lukasik ,3,12,2.0,11
743,Sebastian Bonecki ,3,1,1.5,3
745,Sasa Balic ,2,18,1.7,8
755,Patryk Tuszynski ,4,17,1.7,2
757,Sylwester Lusiusz ,3,2,1.4,6
763,Marko Kolar ,4,17,1.8,12
765,Jesus Imaz ,3,5,2.3,8
774,Sebastian Bergier ,4,14,1.0,0
784,Gerson Gerson ,2,3,1.8,2
786,Filip Mladenovic ,2,8,2.4,0
790,Frantisek Plach ,1,10,2.1,12
795,Oskar Zawada ,4,9,1.7,11
802,Thomas Hateley ,3,10,1.8,15
806,Daniel Pik ,3,2,0.8,0
810,Bartosz Bida ,4,5,1.8,6
813,Mateusz Zyro ,2,9,1.6,8
816,Milosz Szczepanski ,3,15,1.7,14
820,Aron Stasiak ,4,11,0.5,0
827,Mateusz Grzybek ,2,1,1.7,26
829,Damian Oko ,2,18,1.6,0
830,Serafin Szota ,2,16,1.4,0
831,Dawid Pakulski ,3,18,1.5,0
846,Tymoteusz Klups ,3,6,1.5,0
851,Mateusz Cholewiak ,3,4,1.7,16
860,Wiktor Dlugosz ,3,13,1.1,2
942,Fabian Piasecki ,4,14,1.9,4
950,Mateusz Cichocki ,2,12,1.8,5
959,Konrad Wrzesinski ,3,9,1.7,2
985,Robert Ozog ,3,2,0.5,0
986,Michal Wisniewski ,3,2,0.9,0
988,Krzysztof Kubica ,3,4,1.8,24
991,Tomasz Neugebauer ,3,7,0.5,0
992,Przemyslaw Wisniewski ,2,4,1.8,6
998,Pawel Sokol ,1,4,1.4,0
1000,Pedro Tiba ,3,6,1.9,5
1001,Karol Szymanski ,1,10,1.3,0
1004,Jakub Arak ,4,13,1.6,3
1008,Mateusz Holownia ,2,8,1.8,1
1011,Piotr Parzyszek ,4,11,1.8,2
1012,Patryk Sokolowski ,3,8,1.9,17
1015,Mariusz Malec ,2,11,1.6,8
1016,David Stec ,2,7,1.8,5
1018,Damian Gaska ,3,3,1.8,5
1019,Wojciech Golla ,2,14,1.7,0
1021,Mateusz Radecki ,3,12,1.6,8
1024,Marcin Grabowski ,2,1,1.5,6
1039,Wiktor Biedrzycki ,2,1,1.5,12
1049,Mateusz Sopocko ,3,15,0.9,0
1055,Tomasz Makowski ,3,7,1.7,0
1060,João Amaral ,3,6,3.3,19
1083,Vinicius Ferreira ,4,2,1.2,0
1085,Michal Zyro ,4,5,1.8,0
1088,Lukasz Poreba ,3,18,1.7,9
1091,Marko Poletanovic ,3,16,1.7,12
1094,Filip Marchwinski ,3,6,1.9,2
1103,Sergiu Hanca ,3,2,2.0,12
1106,Walerian Gwilia ,3,13,1.8,3
1108,Maciej Twarowski ,4,5,0.5,0
1112,Wiktor Plesnierowicz ,2,15,0.7,0
1113,Luis Rocha ,2,2,1.7,0
1115,Jan Szpaderski ,1,12,1.0,0
1121,Maciej Zurawski ,3,11,1.7,9
1128,Patryk Szysz ,3,18,2.5,29
1138,Lukas Hrosso ,1,2,1.7,19
1152,Dawid Szot ,2,16,1.4,6
1169,Mateusz Skrzypczak ,3,6,0.8,0
1172,Kacper Radkowski ,2,14,0.5,0
1176,Jakub Wawszczyk ,2,9,1.5,1
1183,David Jablonsky ,2,2,1.8,11
