id,name,position,club,value,points,season
15,Hubert Adamczyk,3,15,1.6,33,2019/20 - wiosna
724,Zlatan Alomerovic,1,5,1.9,3,2019/20 - wiosna
1309,Tiago Alves,3,7,1.7,16,2019/20 - wiosna
664,Maciej Ambrosiewicz,3,15,1.6,22,2019/20 - wiosna
722,Karol Angielski,4,15,1.5,11,2019/20 - wiosna
785,Domagoj Antolic,3,4,2.5,68,2019/20 - wiosna
1004,Jakub Arak,4,5,1.3,1,2019/20 - wiosna
692,Zoran Arsenic,2,3,1.8,28,2019/20 - wiosna
753,Inaki Astiz,2,4,1.8,8,2019/20 - wiosna
749,Blazej Augustyn,2,3,1.8,0,2019/20 - wiosna
236,Gerard Badia,3,7,1.9,19,2019/20 - wiosna
1191,Filip Bainovic,3,2,1.5,8,2019/20 - wiosna
745,Sasa Balic,2,16,1.9,41,2019/20 - wiosna
289,Przemyslaw Bargiel,3,11,0.8,0,2019/20 - wiosna
553,Jakub Bartkowski,2,9,1.7,23,2019/20 - wiosna
1262,Daniel Bartl,3,10,1.7,40,2019/20 - wiosna
752,Vullnet Basha,3,14,1.8,39,2019/20 - wiosna
1375,Jewgienij Baszkirow,3,16,1.9,41,2019/20 - wiosna
1395,Jakub Bator,3,10,0.5,2,2019/20 - wiosna
1405,Tomasz Bala,4,1,0.5,1,2019/20 - wiosna
1389,Filip Bednarek,1,6,2.1,0,2019/20 - wiosna
774,Sebastian Bergier,4,11,0.9,13,2019/20 - wiosna
1324,Bartosz Bialek,4,16,2.1,59,2019/20 - wiosna
810,Bartosz Bida,3,3,1.7,28,2019/20 - wiosna
799,Pawel Bochniewicz,2,2,1.9,52,2019/20 - wiosna
365,Rafal Boguski,3,14,1.7,24,2019/20 - wiosna
1044,Damjan Bohar,3,16,3.0,78,2019/20 - wiosna
1242,Remigiusz Borkala,3,7,0.5,0,2019/20 - wiosna
1274,Bartosz Borun,3,11,0.6,0,2019/20 - wiosna
548,Ariel Borysiuk,3,3,1.8,28,2019/20 - wiosna
1277,Kamil Broda,1,14,0.5,0,2019/20 - wiosna
1061,Felicio Brown Forbes,4,14,1.9,49,2019/20 - wiosna
351,Michal Buchalik,1,14,1.7,36,2019/20 - wiosna
1334,Conrado Buchanelli Holz,3,5,1.9,49,2019/20 - wiosna
1146,Aleksander Buksa,4,14,1.7,32,2019/20 - wiosna
58,Lukasz Burliga,2,14,1.6,21,2019/20 - wiosna
712,Jakub Bursztyn,1,9,1.5,0,2019/20 - wiosna
1370,Bohdan Butko,2,6,2.0,31,2019/20 - wiosna
833,Bodvar Bodvarsson,2,3,1.3,0,2019/20 - wiosna
1142,Jakub Blaszczykowski,3,14,2.5,71,2019/20 - wiosna
1328,Wojciech Blyszko,2,12,0.5,2,2019/20 - wiosna
111,Marcin Cebula,3,10,2.0,28,2019/20 - wiosna
1215,Mateusz Cegielka,3,5,0.7,0,2019/20 - wiosna
307,Piotr Celeban,2,11,1.4,6,2019/20 - wiosna
1360,Kacper Chodyna,3,16,1.0,1,2019/20 - wiosna
851,Mateusz Cholewiak,3,4,2.0,39,2019/20 - wiosna
171,Michal Chrapek,3,7,1.8,51,2019/20 - wiosna
1307,Victor Chuca,3,14,1.7,21,2019/20 - wiosna
1105,Martin Chudy,1,2,2.0,59,2019/20 - wiosna
1339,Pawel Cibicki,4,9,1.8,40,2019/20 - wiosna
