id,name,position,club,value,points
4,Filip Majchrowicz,1,1,0.5,0
5,Adam Wilk,1,1,0.8,0
14,Jakub Wojcicki,2,16,1.7,14
15,Hubert Adamczyk,3,15,1.6,5
20,Damian Dabrowski,3,9,1.6,33
21,Milan Dimun,3,1,1.8,29
23,Karol Niemczycki,1,1,0.8,46
28,Mateusz Szczepaniak,4,13,1.6,0
31,Tomas Vestenicky,3,1,1.7,28
57,Damian Weglarz,1,3,1.8,7
58,Lukasz Burliga,2,14,1.6,9
63,Pawel Olszewski,2,3,0.7,26
65,Ivan Runje,2,3,1.9,11
69,Piotr Tomasik,2,15,1.8,18
71,Fedor Cernych,3,3,2.5,13
81,Przemyslaw Mystkowski,3,3,1.7,25
86,Taras Romanczuk,3,3,1.9,30
88,Dawid Szymonowicz,2,1,1.0,34
100,Michal Peskovic,1,8,1.9,5
107,Bartosz Rymaniak,2,7,1.9,10
111,Marcin Cebula,3,10,2.0,59
137,Tomasz Dejewski,2,6,1.4,2
142,Maciej Wilusz,2,10,1.7,26
145,Maciej Gajos,3,5,1.8,25
150,Maciej Makuszewski,3,3,1.7,39
154,Lukasz Tralka,3,13,1.5,41
166,Rafal Janicki,2,14,1.8,3
167,Mario Maloca,2,5,1.9,-1
168,Pawel Stolarski,2,4,1.8,5
171,Michal Chrapek,3,7,1.8,18
172,Flavio Paixao,4,5,2.7,59
179,Michal Mak,3,14,1.7,5
181,Bartlomiej Pawlowski,3,11,2.0,29
200,Igor Lewczuk,2,4,2.2,32
202,Jakub Rzezniczak,2,15,1.6,23
208,Konrad Handzlik,3,13,0.5,4
209,Tomasz Jodlowiec,3,7,1.8,23
211,Michal Kucharczyk,3,9,2.0,45
224,Jakub Szmatula,1,7,1.8,0
231,Tomasz Mokwa,2,7,1.5,2
236,Gerard Badia,3,7,1.9,26
239,Marcin Flis,3,12,1.6,26
243,Mateusz Mak,3,12,1.8,36
245,Igor Sapala,3,10,1.8,35
248,Sasa Zivec,3,16,2.5,39
258,Adam Fraczczak,4,9,1.7,11
269,Kamil Drygas,3,9,1.8,35
272,Mateusz Matras,3,12,1.5,21
277,Kacper Kozlowski,3,9,0.8,18
279,Lukasz Zwolinski,4,5,2.1,35
285,Michal Koj,2,2,1.6,24
286,Martin Konczkowski,3,7,1.8,31
289,Przemyslaw Bargiel,3,11,0.8,5
293,Patryk Lipski,3,7,1.7,14
299,Maciej Urbanczyk,3,12,1.5,17
311,Mariusz Pawelec,2,11,1.5,13
321,Maciej Palaszewski,3,11,1.5,21
322,Robert Pich,3,11,2.4,65
325,Kamil Bilinski,4,8,1.8,38
346,Vladislavs Gutkovskis,4,10,1.9,49
351,Michal Buchalik,1,14,1.7,8
361,Rafal Pietrzak,2,5,1.8,39
365,Rafal Boguski,3,14,1.7,3
371,Krzysztof Maczynski,3,11,1.9,24
374,Alan Uryga,2,15,1.9,35
381,Konrad Forenc,1,16,1.8,0
382,Dominik Hladun,1,16,2.0,42
387,Lubomir Guldan,2,16,1.9,50
391,Damian Zbozien,2,15,1.6,17
395,Jaroslaw Kubicki,3,5,1.7,30
399,Filip Starzynski,3,16,3.0,44
412,Pavels Steinbors,1,3,2.0,23
431,Mateusz Szwoch,3,15,1.9,43
432,Grzegorz Tomasiewicz,3,12,1.5,31
445,Bartlomiej Sielewski,2,15,1.4,0
479,Diego Ferraresso,2,1,1.7,8
480,Bartosz Nowak,3,2,1.9,66
486,Jakub Wrobel,4,12,1.4,10
491,Mateusz Wieteska,2,4,2.0,5
501,Piotr Malarczyk,2,7,1.2,29
508,Cornel Rapa,2,1,2.0,40
521,Pawel Tomczyk,4,12,1.6,17
531,Jakub Zubrowski,3,16,1.5,23
532,Jaroslav Mihalik,3,5,1.8,14
535,Artur Jedrzejczyk,2,4,2.5,48
548,Ariel Borysiuk,3,3,1.8,10
553,Jakub Bartkowski,2,9,1.7,23
556,Tymoteusz Puchacz,2,6,2.0,20
558,Dusan Kuciak,1,5,2.1,31
574,Bartosz Slisz,3,4,1.8,31
576,Cillian Sheridan,4,15,1.7,22
580,Sebastian Kowalczyk,3,9,1.9,37
581,Dominik Jonczy,2,16,1.1,17
583,Adrian Lyszczarz,3,11,1.4,0
625,Filip Piszczek,4,1,1.6,21
630,Michal Gliwa,1,12,1.8,4
636,Nika Kaczarawa,4,6,1.8,15
640,Bartosz Kopacz,2,5,1.9,26
653,Dariusz Pawlowski,4,2,0.5,9
658,Lukasz Wolsztynski,4,2,1.6,3
664,Maciej Ambrosiewicz,3,15,1.6,3
681,Michal Nalepa,2,5,1.8,32
683,Aleksander Jagiello,3,7,1.2,0
691,Jakub Wrabel,1,15,1.3,0
