id,name,position,club,value,points
5,Adam Wilk,1,1,0.8,0
10,Kamil Pestka,2,1,1.7,3
14,Jakub Wojcicki,2,16,1.7,24
22,Radoslaw Kanach,3,1,0.9,0
23,Karol Niemczycki,1,1,2.0,53
31,Tomas Vestenicky,3,1,1.7,28
57,Damian Weglarz,1,3,1.8,7
58,Lukasz Burliga,2,14,1.7,32
63,Pawel Olszewski,2,3,1.7,41
65,Ivan Runje,2,3,2.0,17
71,Fedor Cernych,3,3,2.2,23
81,Przemyslaw Mystkowski,3,3,1.7,26
86,Taras Romanczuk,3,3,1.8,43
88,Dawid Szymonowicz,2,1,1.8,39
100,Michal Peskovic,1,8,1.7,18
107,Bartosz Rymaniak,2,7,1.8,15
115,Bartosz Kwiecien,2,3,1.8,1
121,Mariusz Rybicki,3,13,1.4,25
133,Matus Putnocky,1,11,2.1,56
137,Tomasz Dejewski,2,6,1.4,6
142,Maciej Wilusz,2,10,1.9,26
142,Maciej Wilusz,2,11,1.9,0
145,Maciej Gajos,3,5,1.9,42
150,Maciej Makuszewski,3,3,1.8,53
154,Lukasz Tralka,3,13,1.8,59
166,Rafal Janicki,2,8,1.7,18
166,Rafal Janicki,2,14,1.7,3
167,Mario Maloca,2,5,1.7,-1
168,Pawel Stolarski,2,4,1.8,5
168,Pawel Stolarski,2,9,1.8,3
171,Michal Chrapek,3,7,1.8,30
172,Flavio Paixao,4,5,2.4,67
181,Bartlomiej Pawlowski,3,11,2.0,45
191,Radoslaw Cierzniak,1,4,1.7,-1
200,Igor Lewczuk,2,4,2.4,34
202,Jakub Rzezniczak,2,15,1.6,37
208,Konrad Handzlik,3,13,0.5,4
209,Tomasz Jodlowiec,3,7,1.8,33
210,Michal Kopczynski,3,13,1.6,10
211,Michal Kucharczyk,3,9,2.3,65
224,Jakub Szmatula,1,7,1.8,0
231,Tomasz Mokwa,2,7,1.5,2
236,Gerard Badia,3,7,1.9,31
240,Maciej Jankowski,3,12,1.7,5
243,Mateusz Mak,3,12,1.8,38
245,Igor Sapala,3,10,1.8,40
256,Jakub Czerwinski,2,7,2.2,42
259,Mateusz Lewandowski,2,15,1.4,0
259,Mateusz Lewandowski,2,15,1.6,0
262,David Niepsuj,2,8,1.7,0
262,David Niepsuj,2,14,1.7,6
269,Kamil Drygas,3,9,1.9,57
272,Mateusz Matras,3,12,1.5,28
285,Michal Koj,2,2,1.6,34
286,Martin Konczkowski,2,7,1.9,16
286,Martin Konczkowski,3,7,1.9,31
289,Przemyslaw Bargiel,3,11,0.8,5
293,Patryk Lipski,3,7,1.7,24
299,Maciej Urbanczyk,3,12,1.5,19
307,Piotr Celeban,2,11,1.9,45
311,Mariusz Pawelec,2,11,1.5,18
321,Maciej Palaszewski,3,11,1.5,28
322,Robert Pich,3,11,2.5,74
325,Kamil Bilinski,4,8,1.8,52
340,Mateusz Kupczak,3,13,1.7,31
346,Vladislavs Gutkovskis,4,10,2.1,56
351,Michal Buchalik,1,14,1.7,8
361,Rafal Pietrzak,2,5,2.2,68
362,Maciej Sadlok,2,14,2.1,45
365,Rafal Boguski,3,14,1.7,4
374,Alan Uryga,2,15,1.9,55
381,Konrad Forenc,1,16,1.6,0
382,Dominik Hladun,1,16,2.0,54
388,Jaroslaw Jach,2,10,1.8,2
391,Damian Zbozien,2,15,1.6,29
395,Jaroslaw Kubicki,3,5,1.8,46
412,Pavels Steinbors,1,3,2.0,23
431,Mateusz Szwoch,3,15,2.0,71
432,Grzegorz Tomasiewicz,3,12,1.7,43
445,Bartlomiej Sielewski,2,15,1.4,0
479,Diego Ferraresso,2,1,1.7,8
480,Bartosz Nowak,3,2,2.4,79
487,Giorgi Merebaszwili,3,15,2.0,16
491,Mateusz Wieteska,2,4,1.9,10
501,Piotr Malarczyk,2,7,1.6,38
508,Cornel Rapa,2,1,2.0,46
514,Lukasz Bejger,2,11,0.9,0
531,Jakub Zubrowski,3,16,1.5,27
535,Artur Jedrzejczyk,2,4,2.4,50
548,Ariel Borysiuk,3,3,1.8,15
553,Jakub Bartkowski,2,9,2.0,56
556,Tymoteusz Puchacz,2,6,2.2,29
558,Dusan Kuciak,1,5,2.1,49
574,Bartosz Slisz,3,4,2.1,46
581,Dominik Jonczy,2,16,1.7,16
583,Adrian Lyszczarz,3,11,1.4,0
625,Filip Piszczek,4,1,1.6,25
630,Michal Gliwa,1,12,1.5,12
640,Bartosz Kopacz,2,5,1.9,36
653,Dariusz Pawlowski,2,2,0.9,0
653,Dariusz Pawlowski,4,2,0.9,9
681,Michal Nalepa,2,5,1.9,51
687,Aleksandyr Kolew,4,12,1.7,7
698,Alan Czerwinski,2,6,2.3,49
701,Patryk Kun,3,10,1.9,52
705,Damian Rasak,3,15,1.7,47
706,Kamil Wojtkowski,3,3,1.7,10
712,Jakub Bursztyn,1,9,1.5,-1
713,Martin Pospisil,3,3,2.3,57
723,Igor Lasicki,2,9,1.7,2
729,Michael Gardawski,3,1,1.7,7
740,Oleksij Dytiatjew,2,1,1.6,0
742,Joel Valencia,3,4,2.1,19
745,Sasa Balic,2,16,1.9,40
749,Blazej Augustyn,2,3,1.8,25
753,Inaki Astiz,2,4,1.5,0
755,Patryk Tuszynski,4,15,1.8,35
757,Sylwester Lusiusz,3,1,1.4,0
765,Jesus Imaz,3,3,3.2,21
765,Jesus Imaz,4,3,3.2,77
769,Konrad Poprawa,2,11,0.5,0
773,Mathieu Scalet,3,11,1.2,23
774,Sebastian Bergier,4,11,0.9,1
776,Sebastian Strozik,4,1,1.3,0
777,Mateusz Zukowski,4,5,1.0,10
783,Thomas Rogne,2,6,2.1,39
786,Filip Mladenovic,2,4,2.8,80
790,Frantisek Plach,1,7,2.0,57
806,Daniel Pik,3,1,0.8,6
810,Bartosz Bida,3,3,1.7,9
810,Bartosz Bida,4,3,1.7,0
813,Mateusz Zyro,2,12,1.6,15
819,Damian Pawlowski,3,12,1.0,10
829,Damian Oko,2,16,1.6,7
830,Serafin Szota,2,14,0.5,0
831,Dawid Pakulski,3,16,1.5,1
833,Bodvar Bodvarsson,2,3,1.3,14
844,Adrian Gryszkiewicz,2,2,1.9,47
846,Tymoteusz Klups,4,6,1.5,0
851,Mateusz Cholewiak,3,4,2.0,5
858,Adrian Benedyczak,4,9,1.7,30
926,Jonathan de Amo,2,12,1.8,1
934,Petteri Forsell,3,12,1.9,27
942,Fabian Piasecki,4,11,1.7,28
948,Dawid Kudla,1,2,1.4,0
958,Zarko Udovicic,3,5,1.6,6
964,Sebastian Milewski,3,7,1.9,40
976,Karol Danielak,3,8,1.7,40
985,Robert Ozog,3,1,0.5,0
986,Michal Wisniewski,3,1,0.9,0
987,Jesus Jimenez,3,2,3.8,78
987,Jesus Jimenez,4,2,3.8,10
988,Krzysztof Kubica,3,2,0.5,18
991,Bartosz Neugebauer,1,2,0.5,0
992,Przemyslaw Wisniewski,2,2,2.1,61
996,Mikolaj Nawrocki,3,3,0.7,0
1000,Pedro Tiba,3,6,2.6,60
1001,Karol Szymanski,1,7,1.3,0
1004,Jakub Arak,4,5,1.3,3
1005,Karol Fila,2,5,1.8,37
1006,Daniel Mikolajewski,2,10,1.5,3
1008,Mateusz Holownia,2,4,1.7,9
1012,Patryk Sokolowski,3,7,1.7,44
1015,Mariusz Malec,2,9,1.7,43
1016,David Stec,2,9,2.0,38
1023,Dariusz Szczerbal,1,11,0.6,0
1026,Mateusz Lis,1,14,1.8,47
1037,Kacper Michalski,2,2,1.4,3
1043,Patryk Plewka,3,14,1.5,44
1047,Egy Maulana Vikri,3,5,0.8,7
1049,Mateusz Sopocko,3,5,0.9,4
1049,Mateusz Sopocko,3,13,0.9,0
1055,Tomasz Makowski,3,5,1.8,19
1061,Felicio Brown Forbes,4,14,2.0,47
