id,name,position,club,value,points
5,Adam Wilk,1,1,0.8,0
14,Jakub Wojcicki,2,16,1.7,12
15,Hubert Adamczyk,3,15,1.6,10
20,Damian Dabrowski,3,9,1.8,41
21,Milan Dimun,3,1,1.8,18
23,Karol Niemczycki,1,1,2.0,31
31,Tomas Vestenicky,3,1,1.7,0
57,Damian Weglarz,1,3,1.8,0
58,Lukasz Burliga,2,14,1.6,43
69,Piotr Tomasik,2,15,1.8,18
81,Przemyslaw Mystkowski,3,3,1.7,15
86,Taras Romanczuk,3,3,1.8,36
88,Dawid Szymonowicz,2,1,1.8,21
100,Michal Peskovic,1,8,1.7,45
111,Marcin Cebula,3,10,2.5,49
115,Bartosz Kwiecien,2,3,1.8,17
121,Mariusz Rybicki,3,13,1.4,17
133,Matus Putnocky,1,11,2.0,33
137,Tomasz Dejewski,2,6,1.4,2
145,Maciej Gajos,3,5,1.9,50
150,Maciej Makuszewski,3,3,1.8,30
154,Lukasz Tralka,3,13,1.7,63
166,Rafal Janicki,2,8,1.7,51
167,Mario Maloca,2,5,1.7,33
168,Pawel Stolarski,2,9,1.8,9
171,Michal Chrapek,3,7,1.8,61
172,Flavio Paixao,4,5,2.5,69
181,Bartlomiej Pawlowski,3,11,2.0,24
184,Rafal Wolski,3,15,1.6,14
191,Radoslaw Cierzniak,1,4,1.7,7
200,Igor Lewczuk,2,4,2.4,5
202,Jakub Rzezniczak,2,15,1.6,30
208,Konrad Handzlik,3,13,0.5,0
209,Tomasz Jodlowiec,3,7,1.8,29
211,Michal Kucharczyk,3,9,2.3,80
224,Jakub Szmatula,1,7,1.8,0
231,Tomasz Mokwa,2,7,1.5,8
236,Gerard Badia,3,7,1.9,37
239,Marcin Flis,3,12,1.6,45
240,Maciej Jankowski,3,12,1.7,34
243,Mateusz Mak,3,12,1.8,26
256,Jakub Czerwinski,2,7,2.2,57
258,Adam Fraczczak,4,9,1.7,17
260,Hubert Matynia,2,9,2.2,3
262,David Niepsuj,2,8,1.7,23
269,Kamil Drygas,3,9,1.9,31
272,Mateusz Matras,3,12,1.5,47
277,Kacper Kozlowski,3,9,1.6,35
285,Michal Koj,2,2,1.6,16
286,Martin Konczkowski,2,7,1.8,45
289,Przemyslaw Bargiel,3,11,0.8,0
293,Patryk Lipski,3,7,1.7,43
299,Maciej Urbanczyk,3,12,1.5,9
311,Mariusz Pawelec,2,11,1.5,7
321,Maciej Palaszewski,3,11,1.5,4
322,Robert Pich,3,11,2.5,49
325,Kamil Bilinski,4,8,1.8,57
340,Mateusz Kupczak,3,13,1.7,50
346,Vladislavs Gutkovskis,4,10,2.2,45
361,Rafal Pietrzak,2,5,2.2,37
362,Maciej Sadlok,2,14,2.0,48
365,Rafal Boguski,3,14,1.7,24
371,Krzysztof Maczynski,3,11,1.9,40
374,Alan Uryga,2,15,1.9,41
381,Konrad Forenc,1,16,1.6,0
382,Dominik Hladun,1,16,2.0,53
383,Martin Polacek,1,8,1.7,0
388,Jaroslaw Jach,2,10,1.8,30
395,Jaroslaw Kubicki,3,5,1.8,44
431,Mateusz Szwoch,3,15,2.0,73
432,Grzegorz Tomasiewicz,3,12,1.7,37
445,Bartlomiej Sielewski,2,15,1.4,2
479,Diego Ferraresso,2,1,1.7,4
480,Bartosz Nowak,3,2,2.4,36
487,Giorgi Merebaszwili,3,15,2.0,6
491,Mateusz Wieteska,2,4,1.9,71
501,Piotr Malarczyk,2,7,1.6,19
508,Cornel Rapa,2,1,2.0,53
531,Jakub Zubrowski,3,16,1.5,41
535,Artur Jedrzejczyk,2,4,2.4,55
548,Ariel Borysiuk,3,3,1.8,10
553,Jakub Bartkowski,2,9,1.8,68
556,Tymoteusz Puchacz,2,6,2.2,43
558,Dusan Kuciak,1,5,2.1,63
580,Sebastian Kowalczyk,3,9,2.0,45
581,Dominik Jonczy,2,16,1.8,-2
583,Adrian Lyszczarz,3,11,1.4,2
625,Filip Piszczek,4,1,1.6,16
630,Michal Gliwa,1,12,1.5,6
640,Bartosz Kopacz,2,5,1.9,50
653,Dariusz Pawlowski,2,2,0.9,16
681,Michal Nalepa,2,5,1.9,20
687,Aleksandyr Kolew,4,12,1.7,33
700,Jakub Swierczok,4,7,2.7,80
701,Patryk Kun,3,10,2.0,47
705,Damian Rasak,3,15,1.7,36
712,Jakub Bursztyn,1,9,1.5,-1
713,Martin Pospisil,3,3,2.3,36
720,Michal Siplak,2,1,1.8,22
723,Igor Lasicki,2,9,1.7,2
724,Zlatan Alomerovic,1,5,1.8,-1
740,Oleksij Dytiatjew,2,1,1.6,0
745,Sasa Balic,2,16,1.9,30
749,Blazej Augustyn,2,3,1.8,14
753,Inaki Astiz,2,4,1.5,0
755,Patryk Tuszynski,4,15,1.8,52
757,Sylwester Lusiusz,3,1,1.4,18
765,Jesus Imaz,3,3,3.1,50
769,Konrad Poprawa,2,11,0.5,15
773,Mathieu Scalet,3,11,1.2,25
774,Sebastian Bergier,4,11,0.9,2
776,Sebastian Strozik,4,1,1.3,8
777,Mateusz Zukowski,4,5,1.0,14
783,Thomas Rogne,2,6,2.1,41
786,Filip Mladenovic,2,4,2.8,101
790,Frantisek Plach,1,7,2.0,70
806,Daniel Pik,3,1,0.8,5
810,Bartosz Bida,4,3,1.7,26
813,Mateusz Zyro,2,12,1.6,13
819,Damian Pawlowski,3,12,1.0,2
829,Damian Oko,2,16,1.6,26
830,Serafin Szota,2,14,0.5,6
844,Adrian Gryszkiewicz,2,2,1.9,28
851,Mateusz Cholewiak,3,4,2.0,1
858,Adrian Benedyczak,4,9,1.7,34
926,Jonathan de Amo,2,12,1.8,46
927,Kornel Osyra,2,8,1.6,0
934,Petteri Forsell,3,12,1.9,29
942,Fabian Piasecki,4,11,1.7,26
948,Dawid Kudla,1,2,1.4,0
958,Zarko Udovicic,3,5,1.6,27
963,Rafal Makowski,3,11,1.6,12
964,Sebastian Milewski,3,7,1.9,10
976,Karol Danielak,3,8,1.7,34
985,Robert Ozog,3,1,0.5,0
986,Michal Wisniewski,3,1,0.9,0
987,Jesus Jimenez,4,2,3.8,62
988,Krzysztof Kubica,3,2,0.5,29
991,Bartosz Neugebauer,1,2,0.5,0
992,Przemyslaw Wisniewski,2,2,2.1,38
996,Mikolaj Nawrocki,3,3,0.7,0
1000,Pedro Tiba,3,6,2.6,53
1001,Karol Szymanski,1,7,1.3,0
1004,Jakub Arak,4,10,1.3,26
1005,Karol Fila,2,5,1.8,24
1006,Daniel Mikolajewski,2,10,1.5,5
1008,Mateusz Holownia,2,4,1.7,35
1012,Patryk Sokolowski,3,7,1.7,54
1015,Mariusz Malec,2,9,1.7,33
1016,David Stec,2,9,2.0,0
1023,Dariusz Szczerbal,1,11,0.6,0
1026,Mateusz Lis,1,14,1.8,56
1037,Kacper Michalski,2,2,1.4,2
1047,Egy Maulana Vikri,3,5,0.8,2
1049,Mateusz Sopocko,3,13,0.9,3
1055,Tomasz Makowski,3,5,1.8,26
1061,Felicio Brown Forbes,4,14,1.9,45
1072,Ivan Marquez,2,1,1.7,33
1076,Tomas Podstawski,3,9,1.8,20
1081,Karol Stanek,4,7,0.5,0
1082,Airam Cabrera,4,15,1.8,3
1083,Vinicius Ferreira,4,1,1.2,0
1084,Matheus Santos,3,1,1.0,0
1087,Andre Martins,3,4,2.1,48
1088,Lukasz Poreba,3,16,1.8,21
1091,Marko Poletanovic,3,10,1.5,33
1094,Filip Marchwinski,3,6,1.8,12
1095,Santeri Hostikka,3,9,1.6,2
1096,Hubert Sobol,4,6,0.5,0
1103,Sergiu Hanca,3,1,2.2,37
1105,Martin Chudy,1,2,2.1,58
1106,Walerian Gwilia,3,4,2.5,22
1107,Andrej Kadlec,2,3,1.5,0
1113,Luis Rocha,2,1,1.9,28
1121,Maciej Zurawski,3,13,1.6,53
1124,Angel Garcia,2,15,1.7,20
1126,Kamil Piatkowski,2,10,2.2,74
1128,Patryk Szysz,4,16,1.7,68
1136,Mateusz Praszelik,3,11,2.2,34
1137,Lubambo Musonda,3,11,1.7,12
1138,Lukas Hrosso,1,1,1.7,20
1142,Jakub Blaszczykowski,3,14,2.1,16
1146,Aleksander Buksa,4,14,1.7,3
1152,Dawid Szot,2,14,1.5,17
1170,Daniel Hoyo-Kowalski,2,14,1.0,0
1184,Mateusz Pienczak,2,1,0.5,0
1185,Bartlomiej Kafel,3,1,0.5,0
1187,Pelle van Amersfoort,3,1,2.3,44
1188,Patryk Zaucha,3,1,0.7,4
1189,Rafael Lopes,4,4,2.0,37
1192,Erik Janza,2,2,2.1,31
1193,Piotr Krawczyk,4,2,1.5,26
1194,Aleksander Paluszek,2,2,0.5,26
1196,Michal Rostkowski,3,2,1.0,16
1199,Mateusz Spychala,2,13,1.5,8
1203,Daniel Szelagowski,3,10,1.5,23
1207,Mickey van der Hart,1,6,1.8,52
1208,Dorde Crnomarkovic,2,16,1.8,17
1209,Lubomir Satka,2,6,2.1,16
1210,Jakub Kaminski,3,6,2.2,42
1213,Michal Skoras,3,6,1.9,39
1214,Filip Szymczak,4,6,0.7,16
1217,Cezary Miszta,1,4,0.5,12
1218,Kacper Kostorz,3,4,1.5,19
1219,Kacper Skibicki,3,4,1.0,7
1225,Jan Grzesik,2,13,1.8,77
1232,Piotr Pyrdol,3,15,1.0,11
1233,Dani Ramirez,3,6,3.2,53
1234,Adam Ratajczyk,3,16,1.5,16
1241,Tomas Huk,2,7,1.7,46
1242,Remigiusz Borkala,3,7,0.5,0
1243,Jakub Holubek,2,7,1.7,45
1247,Dante Stipica,1,9,2.3,60
1248,Dariusz Krzysztofek,1,9,0.7,0
1249,Kostas Triantafyllopoulos,2,9,2.3,36
1250,Benedikt Zech,2,9,2.3,45
1251,Kacper Smolinski,3,9,1.5,31
1258,Andrzej Niewulis,2,10,2.0,59
1263,Maciej Domanski,3,12,2.1,50
1265,Piotr Malinowski,3,10,1.5,8
1268,Petr Schwarz,3,10,2.3,29
1272,Israel Puerto,2,11,1.9,16
1273,Dino Stiglec,2,11,2.1,45
1274,Bartosz Borun,3,11,0.6,0
1276,Erik Exposito,4,11,2.0,60
1277,Kamil Broda,1,14,0.5,0
1278,Patryk Moskiewicz,3,14,0.5,0
1280,Damian Michalski,2,15,1.5,17
1283,Daniel Dudzinski,3,16,0.5,0
1287,Tomas Prikryl,3,3,1.8,30
1292,Dominik Steczyk,4,7,1.6,43
1295,Adrian Petk,3,5,0.5,0
1299,Jean Carlos Silva,3,14,1.9,19
1300,Alasana Manneh,3,2,1.8,36
1305,Daniel Scislak,3,2,1.6,10
1307,Victor Chuca,3,14,1.7,6
1309,Tiago Alves,3,7,1.7,34
1311,Przemyslaw Zdybowicz,4,14,1.1,0
1319,Pawel Wszolek,3,4,3.2,45
1323,Mateusz Supryn,3,1,0.5,0
1325,Gieorgij Zukow,3,14,1.8,35
1326,Krzysztof Toporkiewicz,4,3,0.5,0
1327,Kacper Urbanski,3,5,0.5,0
1328,Wojciech Blyszko,2,12,0.5,0
1330,Florian Loshaj,3,1,1.8,17
1331,Thiago Rodrigues de Souza,3,1,1.7,21
1335,Kristers Tobers,2,5,1.6,31
1340,David Tijanic,3,10,2.5,45
1341,Fran Tudor,3,10,2.0,46
1342,Nikola Kuveljic,3,14,1.4,7
1344,Torgil Gjertsen,3,15,1.6,11
1345,Dawid Kocyla,4,15,1.6,44
1346,Dominik Kalinowski,1,16,0.5,0
1348,Roman Prochazka,3,2,1.9,24
1351,Jakov Puljic,4,3,2.7,35
1355,Bogdan Tiru,2,3,1.8,34
1356,Ivan Fiolic,3,1,1.7,21
1358,Krzysztof Kaminski,1,15,1.7,37
1359,Aleksander Stawiarz,4,3,0.5,0
1360,Kacper Chodyna,2,16,1.9,29
1363,Bartlomiej Wdowik,2,3,1.6,39
1366,Egzon Kryeziu,3,5,1.5,0
1368,Mark Tamas,2,11,1.7,34
1369,Aleksander Pawlak,3,15,0.5,0
1370,Bohdan Butko,2,6,1.9,0
1372,Mateusz Mackowiak,2,11,1.0,0
1373,Ben Lederman,3,10,1.0,16
1374,Kristopher Vida,3,7,1.8,36
1375,Jewgienij Baszkirow,3,16,1.7,33
1376,Dejan Drazic,4,16,1.7,32
1377,Hubert Gostomski,1,3,1.0,0
1378,Iwo Kaczmarski,3,10,0.9,5
1382,Jakub Kaluzinski,3,5,1.0,3
1385,Grzegorz Kotowicz,3,11,0.5,0
1386,Ariel Mosor,2,4,0.7,0
1388,Hubert Turski,4,9,0.9,0
1389,Filip Bednarek,1,6,2.1,1
1394,Przemyslaw Kapek,4,1,0.5,0
1400,Xavier Dziekonski,1,3,0.5,39
1402,Radoslaw Cielemecki,3,4,0.8,0
1405,Tomasz Bala,4,1,0.5,0
1406,Szymon Wlodarczyk,4,4,0.5,5
1409,Mateusz Grudzinski,3,4,0.5,0
1412,Dmytro Baszlaj,2,8,1.6,3
1413,Michal Batelt,2,8,0.5,0
1417,Filip Modelski,2,8,1.2,33
1419,Jakub Bieronski,3,8,1.2,22
1424,Mateusz Marzec,3,8,1.3,12
1425,Michal Rzuchowski,3,8,1.8,29
1427,Lukasz Sierpina,3,8,1.8,18
1428,Michal Studnicki,3,8,0.5,0
1429,Desley Ubbink,3,8,1.5,28
1432,Marko Roginic,4,8,1.6,39
1433,Mateusz Dudek,1,12,0.5,0
1434,Damian Primel,1,12,1.2,0
1435,Rafal Straczek,1,12,1.7,42
1438,Krystian Getinger,2,12,1.8,48
1439,Jan Kozlowski,2,12,1.2,0
1440,Wojciech Lisowski,2,12,1.6,2
1441,Lukasz Seweryn,2,12,1.0,0
1442,Adrian Skrzyniak,2,12,0.5,0
1443,Mateusz Chmielowiec,3,12,0.5,0
1444,Robert Dadok,3,12,1.4,21
1445,Adam Kramarz,3,12,0.5,0
1446,Andreja Prokic,3,12,1.6,23
1447,Szymon Stasik,3,12,1.5,0
1448,Bartosz Bajorek,4,12,0.5,0
1449,Kacper Sadlocha,4,12,1.0,1
1450,Adrian Lis,1,13,1.7,70
1453,Jakub Kielb,2,13,1.7,67
1455,Aleks Lawniczak,2,13,1.5,48
1457,Mateusz Czyzycki,3,13,1.5,26
1460,Michal Jakobowski,3,13,1.7,34
1461,Robert Janicki,3,13,1.8,14
1462,Jakub Kuzdra,2,13,1.5,39
1463,Dominik Smykowski,3,13,1.2,0
1465,Mateusz Wojciechowski,3,13,0.5,0
1466,Gracjan Jaroch,4,13,1.7,10
1468,Dorian Pitula,2,1,0.5,0
1469,Jakub Myszor,3,1,0.5,1
1470,Marcos Alvarez,4,1,1.8,30
1471,Kamil Lukoszek,4,2,0.5,0
1472,Alex Sobczyk,4,2,1.9,28
1475,Mikael Ishak,4,6,4.0,41
1476,Krzysztof Bakowski,1,6,0.7,0
1478,Artur Boruc,1,4,2.2,55
1479,Josip Juranovic,2,4,2.6,83
1480,Arkadiusz Pyrka,3,7,1.0,27
1481,Javier Ajenjo Hyjek,3,7,1.7,0
1482,Filip Balcewicz,2,9,0.5,0
1484,Bartlomiej Mruk,2,9,0.7,0
1486,Alexander Gorgon,3,9,2.2,35
1489,Branislav Pindroch,1,10,1.8,0
1491,Patryk Janasik,3,11,1.4,41
1492,Waldemar Sobota,3,11,2.3,27
1493,Michal Szromnik,1,11,1.5,28
1494,Kacper Duda,3,14,0.5,0
1495,Stefan Savic,3,14,1.9,55
1498,Fryderyk Gerbowski,3,15,0.5,0
1500,Filip Lesniak,3,15,1.7,33
1501,Mateusz Lewandowski,4,15,1.4,16
1502,Wojciech Szumilas,2,15,1.5,0
1503,Adrian Tokarski,1,15,0.5,0
1505,Mateusz Bartolewski,2,16,1.0,16
1506,Milan Rundic,2,8,1.6,39
1507,Lukasz Zjawinski,4,12,1.6,17
1508,Adrian Szczutowski,4,15,0.5,0
1509,Bartlomiej Gradecki,1,15,0.7,6
1512,Dusan Lagator,3,15,1.7,34
1513,Yaw Yeboah,3,14,1.9,45
1514,Ioannis Papanikolaou,3,10,1.7,4
1515,Maciej Bortniczuk,3,3,0.5,13
1517,Daniel Bielica,1,13,1.3,0
1518,Rivaldo Ferreira Junior,4,1,1.9,26
1520,Mateusz Kuzimski,4,13,2.0,47
1521,Bartosz Kapustka,3,4,2.7,71
1522,Samuel Mraz,4,16,1.9,26
1523,Lorenco Simic,2,16,2.1,13
1525,Maksymilian Sitek,3,8,1.4,16
1528,Konrad Gruszkowski,2,14,0.6,19
1529,Mariusz Fornalczyk,3,9,0.5,4
1530,Dominik Frelek,3,8,0.5,12
1532,Jan Sykora,3,6,2.0,40
1533,Marcel Zurek,3,10,0.5,0
1534,Giannis Massouras,2,2,1.6,33
1535,Robert Ivanov,2,13,1.7,62
1536,Jakub Gut,3,1,0.5,0
1537,Jakub Bednarczyk,3,16,1.5,3
1538,Kamil Bielikow,1,16,0.7,0
1539,Ivan Lopez,4,10,2.4,51
1540,Norbert Wojtuszek,3,2,0.5,16
1541,Piotr Owczarek,3,10,0.5,0
1544,Marcel Zylla,3,11,1.7,17
1545,Matej Rodin,2,1,1.9,45
1546,Petar Mamic,2,8,1.8,36
1547,Wasyl Krawec,2,6,2.0,6
1548,Mario Rodriguez,3,13,1.8,17
1549,Michal Frydrych,2,14,1.8,52
1550,Szymon Lewkot,3,11,0.5,12
1551,Fernan Ferreiroa,3,3,1.9,8
1553,Luka Zahovic,4,9,2.1,28
1554,Milan Obradovic,2,15,1.7,-1
1555,Damir Sadikovic,3,1,1.8,30
1556,Konrad Gutowski,3,8,0.9,0
1557,Kris Twardek,3,3,1.6,16
1558,Stefanos Evangelou,2,2,1.8,0
1560,Bozidar Czorbadzijski,2,12,1.8,33
1561,Szymon Pankiewicz,2,3,0.5,0
1562,Jakub Jesionek,1,3,0.5,0
1563,Mykola Musolitin,2,5,1.7,1
1564,Przemyslaw Maj,3,12,0.5,0
1566,Slawomir Chmiel,3,14,0.5,0
1567,Wiktor Szywacz,3,14,0.5,0
1568,Jakub Goralczyk,2,1,0.5,0
1569,Oskar Wojcik,2,1,0.5,0
1571,Jan Majsterek,2,3,0.5,0
1574,Bartosz Salamon,2,6,2.1,48
1575,Jakub Karbownik,3,6,0.6,0
1576,Jesper Karlstrom,3,6,2.2,40
1577,Eryk Mirus,1,5,0.5,0
1578,Jan Bieganski,3,5,0.5,39
1579,Joseph Ceesay,3,5,1.8,31
1580,Patryk Konik,2,4,0.5,0
1581,Bartlomiej Ciepiela,3,4,0.7,0
1582,Jehor Macenko,3,4,0.8,0
1583,Mateusz Winciersz,3,7,1.0,4
1584,Jakub Hora,3,8,1.6,44
1585,Albin Granlund,2,12,1.8,27
1586,Makana Baku,3,13,1.7,71
1587,Bartlomiej Burman,3,13,0.5,7
1589,Lukasz Lakomy,3,16,0.7,10
1590,Dominik Holec,1,10,1.9,74
1591,Karol Smajdor,2,6,0.5,0
1592,Lukasz Szramowski,3,6,0.5,0
1593,Kacper Rogozinski,4,15,0.5,3
