id,name,position,club,value,points
4,Filip Majchrowicz,1,1,0.5,0
5,Adam Wilk,1,1,0.8,0
10,Kamil Pestka,2,1,1.9,3
14,Jakub Wojcicki,2,16,1.7,8
15,Hubert Adamczyk,3,15,1.6,3
20,Damian Dabrowski,3,9,1.6,30
21,Milan Dimun,3,1,1.8,25
22,Radoslaw Kanach,3,1,0.9,0
23,Karol Niemczycki,1,1,0.8,39
28,Mateusz Szczepaniak,4,13,1.6,0
31,Tomas Vestenicky,3,1,1.7,26
57,Damian Weglarz,1,3,1.8,7
58,Lukasz Burliga,2,14,1.6,9
63,Pawel Olszewski,2,3,0.7,26
65,Ivan Runje,2,3,1.9,13
69,Piotr Tomasik,2,15,1.8,9
71,Fedor Cernych,3,3,2.5,11
81,Przemyslaw Mystkowski,3,3,1.7,25
86,Taras Romanczuk,3,3,1.9,29
88,Dawid Szymonowicz,2,1,1.0,28
100,Michal Peskovic,1,8,1.9,7
107,Bartosz Rymaniak,2,7,1.9,10
111,Marcin Cebula,3,10,2.0,56
121,Mariusz Rybicki,3,13,1.3,17
133,Matus Putnocky,1,11,2.0,40
137,Tomasz Dejewski,2,6,1.4,2
138,Robert Gumny,2,6,2.2,1
142,Maciej Wilusz,2,10,1.7,34
145,Maciej Gajos,3,5,1.8,23
147,Kamil Jozwiak,3,6,2.8,4
150,Maciej Makuszewski,3,3,1.7,35
154,Lukasz Tralka,3,13,1.5,38
166,Rafal Janicki,2,14,1.8,3
167,Mario Maloca,2,5,1.9,1
168,Pawel Stolarski,2,4,1.8,5
171,Michal Chrapek,3,7,1.8,11
172,Flavio Paixao,4,5,2.7,58
179,Michal Mak,3,14,1.7,4
181,Bartlomiej Pawlowski,3,11,2.0,27
184,Rafal Wolski,3,15,1.7,0
191,Radoslaw Cierzniak,1,4,1.9,1
200,Igor Lewczuk,2,4,2.2,32
202,Jakub Rzezniczak,2,15,1.6,23
208,Konrad Handzlik,3,13,0.5,4
209,Tomasz Jodlowiec,3,7,1.8,19
210,Michal Kopczynski,3,13,1.6,0
211,Michal Kucharczyk,3,9,2.0,43
224,Jakub Szmatula,1,7,1.8,0
231,Tomasz Mokwa,2,7,1.5,2
236,Gerard Badia,3,7,1.9,19
239,Marcin Flis,3,12,1.6,24
243,Mateusz Mak,3,12,1.8,35
245,Igor Sapala,3,10,1.8,32
248,Sasa Zivec,3,16,2.5,37
256,Jakub Czerwinski,2,7,2.4,29
258,Adam Fraczczak,4,9,1.7,11
260,Hubert Matynia,2,9,1.8,34
262,David Niepsuj,2,14,1.7,6
269,Kamil Drygas,3,9,1.8,32
272,Mateusz Matras,3,12,1.5,21
277,Kacper Kozlowski,3,9,0.8,15
278,Marcin Listkowski,3,9,1.8,0
279,Lukasz Zwolinski,4,5,2.1,33
284,Michal Helik,2,1,1.9,3
285,Michal Koj,2,2,1.6,24
286,Martin Konczkowski,3,7,1.8,24
289,Przemyslaw Bargiel,3,11,0.8,5
293,Patryk Lipski,3,7,1.7,12
299,Maciej Urbanczyk,3,12,1.5,17
311,Mariusz Pawelec,2,11,1.5,13
321,Maciej Palaszewski,3,11,1.5,20
322,Robert Pich,3,11,2.4,63
325,Kamil Bilinski,4,8,1.8,36
340,Mateusz Kupczak,3,13,1.7,26
346,Vladislavs Gutkovskis,4,10,1.9,46
351,Michal Buchalik,1,14,1.7,8
361,Rafal Pietrzak,2,5,1.8,38
362,Maciej Sadlok,2,14,2.0,33
365,Rafal Boguski,3,14,1.7,3
371,Krzysztof Maczynski,3,11,1.9,23
374,Alan Uryga,2,15,1.9,33
381,Konrad Forenc,1,16,1.8,0
382,Dominik Hladun,1,16,2.0,38
383,Martin Polacek,1,8,1.8,4
387,Lubomir Guldan,2,16,1.9,51
391,Damian Zbozien,2,15,1.6,23
395,Jaroslaw Kubicki,3,5,1.7,30
398,Adrian Rakowski,3,8,1.6,0
399,Filip Starzynski,3,16,3.0,44
412,Pavels Steinbors,1,3,2.0,23
431,Mateusz Szwoch,3,15,1.9,39
432,Grzegorz Tomasiewicz,3,12,1.5,29
445,Bartlomiej Sielewski,2,15,1.4,0
469,Jose Kante,4,4,2.5,9
479,Diego Ferraresso,2,1,1.7,8
480,Bartosz Nowak,3,2,1.9,64
486,Jakub Wrobel,4,12,1.4,10
487,Giorgi Merebaszwili,3,15,2.0,9
491,Mateusz Wieteska,2,4,2.0,2
501,Piotr Malarczyk,2,7,1.2,22
508,Cornel Rapa,2,1,2.0,34
521,Pawel Tomczyk,4,12,1.6,16
524,Wolodymyr Kostewycz,2,6,2.1,0
528,Arvydas Novikovas,3,4,2.3,0
531,Jakub Zubrowski,3,16,1.5,20
