id,name,position,club,value,points
5,Adam Wilk,1,1,0.8,0
14,Jakub Wojcicki,2,16,1.7,9
15,Hubert Adamczyk,3,15,1.6,0
17,Marcin Budzinski,3,1,1.5,1
20,Damian Dabrowski,3,9,1.8,12
21,Milan Dimun,3,1,1.8,0
22,Radoslaw Kanach,3,1,0.9,0
23,Karol Niemczycki,1,1,2.0,11
31,Tomas Vestenicky,3,1,1.7,0
57,Damian Weglarz,1,3,1.8,0
58,Lukasz Burliga,2,14,1.7,19
65,Ivan Runje,2,3,2.0,3
71,Fedor Cernych,3,3,2.1,11
88,Dawid Szymonowicz,2,1,1.8,10
100,Michal Peskovic,1,8,1.7,19
107,Bartosz Rymaniak,2,7,1.8,5
111,Marcin Cebula,3,10,2.4,2
115,Bartosz Kwiecien,2,3,1.8,2
121,Mariusz Rybicki,3,13,1.4,12
133,Matus Putnocky,1,11,2.1,22
137,Tomasz Dejewski,2,6,1.4,2
145,Maciej Gajos,3,5,1.9,21
150,Maciej Makuszewski,3,3,1.8,14
154,Lukasz Tralka,3,13,1.8,25
166,Rafal Janicki,2,8,1.8,29
167,Mario Maloca,2,5,1.7,8
168,Pawel Stolarski,2,9,1.8,3
171,Michal Chrapek,3,7,1.8,15
172,Flavio Paixao,4,5,2.4,20
181,Bartlomiej Pawlowski,3,11,2.0,12
191,Radoslaw Cierzniak,1,4,1.7,0
202,Jakub Rzezniczak,2,15,1.6,10
208,Konrad Handzlik,3,13,0.5,0
209,Tomasz Jodlowiec,3,7,1.8,10
211,Michal Kucharczyk,3,9,2.3,19
224,Jakub Szmatula,1,7,1.8,0
231,Tomasz Mokwa,2,7,1.5,0
236,Gerard Badia,3,7,1.9,7
239,Marcin Flis,3,12,1.6,11
240,Maciej Jankowski,3,12,1.7,17
243,Mateusz Mak,3,12,1.8,3
245,Igor Sapala,3,10,1.8,8
256,Jakub Czerwinski,2,7,2.2,20
258,Adam Fraczczak,4,9,1.7,1
259,Mateusz Lewandowski,2,15,1.6,0
260,Hubert Matynia,2,9,2.2,0
269,Kamil Drygas,3,9,1.9,13
272,Mateusz Matras,3,12,1.5,19
277,Kacper Kozlowski,3,9,1.6,3
279,Lukasz Zwolinski,4,5,2.1,7
285,Michal Koj,2,2,1.6,9
286,Martin Konczkowski,2,7,1.9,20
289,Przemyslaw Bargiel,3,11,0.8,0
293,Patryk Lipski,3,7,1.7,12
299,Maciej Urbanczyk,3,12,1.5,0
307,Piotr Celeban,2,11,1.9,1
321,Maciej Palaszewski,3,11,1.5,4
322,Robert Pich,3,11,2.4,10
325,Kamil Bilinski,4,8,1.8,16
340,Mateusz Kupczak,3,13,1.7,9
346,Vladislavs Gutkovskis,4,10,2.1,11
351,Michal Buchalik,1,14,1.7,0
361,Rafal Pietrzak,2,5,2.3,25
362,Maciej Sadlok,2,14,2.1,29
365,Rafal Boguski,3,14,1.7,14
374,Alan Uryga,2,15,1.9,15
381,Konrad Forenc,1,16,1.6,0
382,Dominik Hladun,1,16,2.0,15
388,Jaroslaw Jach,2,10,1.8,10
391,Damian Zbozien,2,15,1.6,11
395,Jaroslaw Kubicki,3,5,1.8,21
412,Pavels Steinbors,1,3,2.0,0
431,Mateusz Szwoch,3,15,2.0,28
432,Grzegorz Tomasiewicz,3,12,1.7,9
445,Bartlomiej Sielewski,2,15,1.4,0
479,Diego Ferraresso,2,1,1.7,0
480,Bartosz Nowak,3,2,2.4,14
491,Mateusz Wieteska,2,4,1.9,13
501,Piotr Malarczyk,2,7,1.6,7
508,Cornel Rapa,2,1,2.0,10
514,Lukasz Bejger,2,11,0.9,3
531,Jakub Zubrowski,3,16,1.5,12
535,Artur Jedrzejczyk,2,4,2.3,8
548,Ariel Borysiuk,3,3,1.8,4
553,Jakub Bartkowski,2,9,2.0,28
556,Tymoteusz Puchacz,2,6,2.2,16
558,Dusan Kuciak,1,5,2.2,28
574,Bartosz Slisz,3,4,2.1,14
576,Cillian Sheridan,4,15,1.6,1
580,Sebastian Kowalczyk,3,9,2.0,10
581,Dominik Jonczy,2,16,1.7,-2
583,Adrian Lyszczarz,3,11,1.4,1
630,Michal Gliwa,1,12,1.5,5
633,Mateusz Wdowiak,3,10,2.0,4
640,Bartosz Kopacz,2,5,1.9,13
653,Dariusz Pawlowski,2,2,0.9,0
681,Michal Nalepa,2,5,1.9,19
687,Aleksandyr Kolew,4,12,1.7,12
688,Jakub Kosecki,3,1,1.7,1
692,Zoran Arsenic,2,10,1.8,0
698,Alan Czerwinski,2,6,2.3,23
700,Jakub Swierczok,4,7,2.7,16
701,Patryk Kun,3,10,1.9,11
705,Damian Rasak,3,15,1.7,18
706,Kamil Wojtkowski,3,3,1.7,3
712,Jakub Bursztyn,1,9,1.5,-1
713,Martin Pospisil,3,3,2.2,11
723,Igor Lasicki,2,9,1.7,2
740,Oleksij Dytiatjew,2,1,1.6,0
745,Sasa Balic,2,16,1.9,5
753,Inaki Astiz,2,4,1.5,0
755,Patryk Tuszynski,4,15,1.8,18
757,Sylwester Lusiusz,3,1,1.4,0
769,Konrad Poprawa,2,11,0.5,0
773,Mathieu Scalet,3,11,1.2,12
774,Sebastian Bergier,4,11,0.9,0
776,Sebastian Strozik,4,1,1.3,1
777,Mateusz Zukowski,4,5,1.0,4
783,Thomas Rogne,2,6,2.1,21
786,Filip Mladenovic,2,4,2.8,33
790,Frantisek Plach,1,7,2.1,23
806,Daniel Pik,3,1,0.8,2
810,Bartosz Bida,4,3,1.7,1
813,Mateusz Zyro,2,12,1.6,1
819,Damian Pawlowski,3,12,1.0,2
829,Damian Oko,2,16,1.6,8
830,Serafin Szota,2,14,0.5,4
844,Adrian Gryszkiewicz,2,2,1.8,7
851,Mateusz Cholewiak,3,4,2.0,0
858,Adrian Benedyczak,4,9,1.7,12
860,Wiktor Dlugosz,3,10,0.5,1
926,Jonathan de Amo,2,12,1.8,10
934,Petteri Forsell,3,12,1.9,6
942,Fabian Piasecki,4,11,1.7,3
948,Dawid Kudla,1,2,1.4,0
958,Zarko Udovicic,3,5,1.6,0
964,Sebastian Milewski,3,7,1.9,4
976,Karol Danielak,3,8,1.7,12
985,Robert Ozog,3,1,0.5,0
986,Michal Wisniewski,3,1,0.9,0
987,Jesus Jimenez,4,2,3.8,20
988,Krzysztof Kubica,3,2,0.5,10
991,Bartosz Neugebauer,1,2,0.5,0
992,Przemyslaw Wisniewski,2,2,2.1,12
996,Mikolaj Nawrocki,3,3,0.7,0
1000,Pedro Tiba,3,6,2.6,22
1001,Karol Szymanski,1,7,1.3,0
1004,Jakub Arak,4,10,1.3,6
1006,Daniel Mikolajewski,2,10,1.5,3
1008,Mateusz Holownia,2,4,1.7,8
1012,Patryk Sokolowski,3,7,1.7,17
1015,Mariusz Malec,2,9,1.7,14
1016,David Stec,2,9,2.0,0
1023,Dariusz Szczerbal,1,11,0.6,0
1026,Mateusz Lis,1,14,1.8,17
1037,Kacper Michalski,2,2,1.4,0
1043,Patryk Plewka,3,14,1.5,14
1047,Egy Maulana Vikri,3,5,0.8,0
1049,Mateusz Sopocko,3,13,0.9,0
1055,Tomasz Makowski,3,5,1.8,4
