id,name,position,club,value,points,status
1524,Dawid Abramowicz,2,14,1.8,0,active
15,Hubert Adamczyk,3,15,1.6,0,active
724,Zlatan Alomerovic,1,5,1.8,0,active
1309,Tiago Alves,3,7,1.7,0,active
1572,Kacper Andrzejewski,2,6,0.5,0,active
1004,Jakub Arak,4,5,1.3,0,active
753,Inaki Astiz,2,4,1.5,0,active
749,Blazej Augustyn,2,3,1.8,0,active
1543,Mohammad Awwad,4,6,1.9,0,active
236,Gerard Badia,3,7,1.9,0,active
1191,Filip Bainovic,3,2,1.5,0,active
1448,Bartosz Bajorek,4,12,0.5,0,active
1586,Makana Baku,3,13,1.7,0,active
1482,Filip Balcewicz,2,9,0.5,0,active
745,Sasa Balic,2,16,1.9,0,active
289,Przemyslaw Bargiel,3,11,0.8,0,active
553,Jakub Bartkowski,2,9,1.8,0,active
1262,Daniel Bartl,3,10,1.5,0,active
1505,Mateusz Bartolewski,2,16,1.0,0,active
752,Vullnet Basha,3,14,1.8,0,active
1375,Jewgienij Baszkirow,3,16,1.7,0,active
1412,Dmytro Baszlaj,2,8,1.6,0,active
1413,Michal Batelt,2,8,0.5,0,active
1405,Tomasz Bala,4,1,0.5,0,active
1537,Jakub Bednarczyk,3,16,1.5,0,active
1389,Filip Bednarek,1,6,2.1,0,active
858,Adrian Benedyczak,4,9,1.7,0,active
774,Sebastian Bergier,4,11,0.9,0,active
1496,Fatos Beciraj,4,14,1.8,0,active
810,Bartosz Bida,4,3,1.7,0,active
1578,Jan Bieganski,3,5,0.5,0,active
1517,Daniel Bielica,1,13,1.3,0,active
1538,Kamil Bielikow,1,16,0.7,0,active
1419,Jakub Bieronski,3,8,1.2,0,active
325,Kamil Bilinski,4,8,1.8,0,active
365,Rafal Boguski,3,14,1.7,0,active
1242,Remigiusz Borkala,3,7,0.5,0,active
1515,Maciej Bortniczuk,3,3,0.5,0,active
1478,Artur Boruc,1,4,2.2,0,active
1274,Bartosz Borun,3,11,0.6,0,active
548,Ariel Borysiuk,3,3,1.8,0,active
1277,Kamil Broda,1,14,0.5,0,active
1061,Felicio Brown Forbes,4,14,1.9,0,active
351,Michal Buchalik,1,14,1.7,0,active
1334,Conrado Buchanelli Holz,3,5,2.2,0,active
1146,Aleksander Buksa,4,14,1.7,0,active
58,Lukasz Burliga,2,14,1.6,0,active
1587,Bartlomiej Burman,3,13,0.5,0,active
712,Jakub Bursztyn,1,9,1.5,0,active
1370,Bohdan Butko,2,6,1.9,0,active
833,Bodvar Bodvarsson,2,3,1.3,0,active
1476,Krzysztof Bakowski,1,6,0.7,0,active
1142,Jakub Blaszczykowski,3,14,2.1,0,active
1328,Wojciech Blyszko,2,12,0.5,0,active
1082,Airam Cabrera,4,15,1.8,0,active
111,Marcin Cebula,3,10,2.5,0,uncertain
1579,Joseph Ceesay,3,5,1.8,0,active
307,Piotr Celeban,2,11,1.9,0,active
1566,Slawomir Chmiel,3,14,0.5,0,active
1443,Mateusz Chmielowiec,3,12,0.5,0,active
