id,name,position,club,value,points,status
1688, Leandro,3,Radomiak Radom,1.7,0,active
39, Leandro,2,Gornik Leczna,1.7,0,active
1524,Dawid Abramowicz,2,Radomiak Radom,1.8,0,active
1716,Joel Abu Hanna,2,4,2.3,0,active
724,Zlatan Alomerovic,1,5,1.8,0,active
1309,Tiago Alves,3,7,1.7,0,active
1060,João Amaral,3,6,2.0,0,active
1719,Michael Ameyaw,3,7,1.8,0,active
722,Karol Angielski,4,Radomiak Radom,1.8,0,active
1004,Jakub Arak,4,10,1.6,0,active
692,Zoran Arsenic,2,10,1.8,0,active
749,Blazej Augustyn,2,3,1.7,0,active
1149,Ishmael Baidoo,3,2,1.6,0,active
1191,Filip Bainovic,3,2,1.5,0,active
1448,Bartosz Bajorek,4,12,0.5,0,active
1694,Filip Balaj,4,1,2.0,0,active
745,Sasa Balic,2,16,1.8,0,active
1679,Dominik Banach,3,Radomiak Radom,0.5,0,active
960,Adam Banasiak,3,Radomiak Radom,1.6,0,out of club
1673,Przemyslaw Banaszak,4,Gornik Leczna,1.5,0,active
1663,Pawel Baranowski,2,Gornik Leczna,1.5,0,active
289,Przemyslaw Bargiel,3,11,0.8,0,active
553,Jakub Bartkowski,2,9,2.3,0,active
1262,Daniel Bartl,3,10,1.5,0,uncertain
1505,Mateusz Bartolewski,2,16,1.0,0,active
1640,Krystian Bartoszek,1,Bruk-Bet Termalica Nieciecza,0.5,0,active
1375,Jewgienij Baszkirow,3,16,1.7,0,active
1405,Tomasz Bala,4,1,0.5,0,active
1389,Filip Bednarek,1,6,1.8,0,active
514,Lukasz Bejger,2,11,1.3,0,active
774,Sebastian Bergier,4,11,0.9,0,active
1642,Michal Bezpalec,2,Bruk-Bet Termalica Nieciecza,1.5,0,active
810,Bartosz Bida,3,3,1.8,0,injury
1039,Wiktor Biedrzycki,2,Bruk-Bet Termalica Nieciecza,1.5,0,active
1578,Jan Bieganski,3,5,1.5,0,uncertain
1739,Mikolaj Bieganski,1,14,0.6,0,active
1517,Daniel Bielica,1,2,1.5,0,active
1397,Kacper Bieszczad,1,16,0.8,0,active
1437,Mateusz Bodzioch,2,Radomiak Radom,1.5,0,active
1223,Artur Bogusz,2,Radomiak Radom,1.6,0,active
743,Sebastian Bonecki,3,Bruk-Bet Termalica Nieciecza,1.5,0,active
1623,Filip Borowski,2,6,0.5,0,active
1478,Artur Boruc,1,4,2.3,0,active
1729,Maksymilian Boruc,1,11,0.6,0,active
1274,Bartosz Borun,3,11,0.6,0,active
1761,Krystian Bracik,2,1,0.5,0,active
1061,Felicio Brown Forbes,4,14,1.9,0,active
351,Michal Buchalik,1,14,1.7,0,active
1334,Conrado Buchanelli Holz,3,5,1.9,0,active
159,Lukasz Budzilek,1,Bruk-Bet Termalica Nieciecza,1.5,0,active
17,Marcin Budzinski,3,12,1.5,0,active
1637,Adrian Bukowski,2,11,0.5,0,active
1587,Bartlomiej Burman,3,13,0.5,0,active
712,Jakub Bursztyn,1,9,1.5,0,active
1731,Jozef Burta,1,11,0.9,0,active
1142,Jakub Blaszczykowski,3,14,2.0,0,active
111,Marcin Cebula,3,10,2.2,0,active
1579,Joseph Ceesay,3,5,1.7,0,active
1566,Slawomir Chmiel,3,14,0.5,0,out of club
1360,Kacper Chodyna,2,16,1.7,0,active
851,Mateusz Cholewiak,3,2,1.8,0,active
171,Michal Chrapek,3,7,1.9,0,active
1307,Victor Chuca,3,14,1.7,0,active
1339,Pawel Cibicki,4,9,1.7,0,out of club
950,Mateusz Cichocki,2,Radomiak Radom,1.6,0,active
1402,Radoslaw Cielemecki,3,15,0.8,0,active
1581,Bartlomiej Ciepiela,3,4,0.7,0,active
1667,Adrian Cierpka,3,Gornik Leczna,1.4,0,active
1736,Milan Corryn,3,13,1.9,0,active
1208,Dorde Crnomarkovic,2,6,1.7,0,active
1657,Patryk Czarnowski,4,Bruk-Bet Termalica Nieciecza,1.5,0,active
698,Alan Czerwinski,2,6,2.2,0,active
256,Jakub Czerwinski,2,7,2.3,0,active
1560,Bozidar Czorbadzijski,2,12,1.7,0,active
1737,Szymon Czyz,3,13,1.4,0,active
1457,Mateusz Czyzycki,3,13,1.5,0,active
1444,Robert Dadok,3,2,1.6,0,active
926,Jonathan de Amo,2,12,1.7,0,active
1759,Bassekou Diabate,4,5,1.9,0,uncertain
1687,Morimakan Diane,4,Radomiak Radom,1.6,0,active
21,Milan Dimun,3,1,1.7,0,active
1263,Maciej Domanski,3,12,1.9,0,injury
1711,Barry Douglas,2,6,2.3,0,active
1747,Igor Drapinski,2,15,0.7,0,active
269,Kamil Drygas,3,9,1.8,0,active
1494,Kacper Duda,3,14,0.5,0,active
1664,Kamil Duda,2,Gornik Leczna,0.5,0,active
1433,Mateusz Dudek,1,12,0.5,0,active
1283,Daniel Dudzinski,3,16,0.5,0,active
1718,İlkay Durmuş,3,5,2.0,0,active
1760,Kamil Duszkiewicz,3,12,0.7,0,active
740,Oleksij Dytiatjew,2,1,1.6,0,uncertain
1774,Adrian Dziedzic,3,2,0.5,0,active
1400,Xavier Dziekonski,1,3,1.8,0,active
386,Daniel Dziwniel,2,Gornik Leczna,1.6,0,active
20,Damian Dabrowski,3,9,1.8,0,active
860,Wiktor Dlugosz,3,10,1.0,0,active
1740,Aschraf El Mahdioui,3,14,1.7,0,active
1725,Mehir Emreli,4,4,3.3,0,active
1558,Stefanos Evangelou,2,2,1.8,0,active
1276,Erik Exposito,4,11,2.0,0,active
1518,Rivaldo Ferreira Junior,4,1,1.7,0,active
1083,Vinicius Ferreira,4,1,1.2,0,active
1458,Nikodem Fiedosewicz,3,13,1.2,0,active
239,Marcin Flis,3,12,1.6,0,active
