id,name,position,club,value,points
3,Grzegorz Sandomierski ,1,4,1.9,42
5,Adam Wilk ,1,2,0.8,0
10,Kamil Pestka ,2,2,1.7,48
14,Jakub Wojcicki ,2,18,1.7,17
20,Damian Dabrowski ,3,11,1.8,40
22,Radoslaw Kanach ,3,2,0.9,3
23,Karol Niemczycki ,1,2,1.8,19
37,Damian Jakubik ,2,12,1.7,53
39,Messias Leandro ,2,3,1.7,29
45,Szymon Drewniak ,3,3,1.6,23
53,Bartosz Spiaczka ,4,3,1.9,60
57,Damian Weglarz ,1,17,1.6,0
63,Pawel Olszewski ,2,5,1.5,2
64,Kamil Pajnowski ,2,3,1.2,10
69,Piotr Tomasik ,2,17,1.7,40
71,Fedor Cernych ,3,5,2.0,56
79,Pawel Koncewicz-Zylka ,2,16,0.5,0
81,Przemyslaw Mystkowski ,3,5,1.6,14
86,Taras Romanczuk ,3,5,1.8,57
88,Dawid Szymonowicz ,2,15,1.6,14
96,Maciej Gostomski ,1,3,1.6,39
107,Bartosz Rymaniak ,2,3,1.7,24
128,Lukasz Sekulski ,4,17,1.9,57
133,Matus Putnocky ,1,14,1.8,11
145,Maciej Gajos ,3,7,2.0,58
154,Lukasz Tralka ,3,15,1.8,30
159,Lukasz Budzilek ,1,1,1.5,8
166,Rafal Janicki ,2,4,1.8,44
167,Mario Maloca ,2,7,1.7,49
168,Pawel Stolarski ,2,11,1.7,39
171,Michal Chrapek ,3,10,1.9,56
172,Flavio Paixao ,4,7,2.4,83
179,Michal Mak ,3,3,1.7,29
181,Bartlomiej Pawlowski ,3,14,1.8,33
184,Rafal Wolski ,3,17,1.7,64
198,Adam Hlousek ,2,1,1.8,16
201,Michal Pazdan ,2,5,1.9,38
202,Jakub Rzezniczak ,2,17,1.6,36
210,Michal Kopczynski ,3,15,1.6,23
211,Michal Kucharczyk ,3,11,2.7,55
224,Jakub Szmatula ,1,10,1.7,0
231,Tomasz Mokwa ,2,10,1.5,4
239,Marcin Flis ,3,9,1.6,35
240,Maciej Jankowski ,3,9,1.7,16
