id,name,position,club,value,points,season
82,Mateusz Abramowicz,1,4,1.5,0,2019/20 - wiosna
1007,Rafal Adamski,4,11,0.6,0,2019/20 - wiosna
674,Farid Ali,3,6,2.1,43,2019/20 - wiosna
1071,Hubert Antkowiak,4,1,1.0,0,2019/20 - wiosna
1059,Adam Antochow,3,4,0.5,0,2019/20 - wiosna
890,Jakub Apolinarski,3,6,1.4,37,2019/20 - wiosna
441,Adam Banasiak,3,14,1.8,19,2019/20 - wiosna
258,Maksymilian Banaszewski,3,4,1.6,38,2019/20 - wiosna
457,Pawel Baranowski,2,8,1.6,0,2019/20 - wiosna
231,Bartosz Bartkowiak,3,11,0.9,0,2019/20 - wiosna
329,Mateusz Bartkow,2,13,1.6,19,2019/20 - wiosna
589,Jakub Bartosz,2,13,1.6,17,2019/20 - wiosna
614,Adrian Basta,2,15,1.5,21,2019/20 - wiosna
1163,Markas Beneta,2,18,1.4,16,2019/20 - wiosna
982,Michal Bezpalec,2,3,1.8,18,2019/20 - wiosna
465,Wiktor Biedrzycki,2,16,1.7,38,2019/20 - wiosna
1072,Aleksander Bieganski,3,7,0.5,0,2019/20 - wiosna
537,Jan Bieganski,3,7,1.4,27,2019/20 - wiosna
36,Bartosz Biel,3,7,2.3,54,2019/20 - wiosna
706,Lukas Bielak,2,6,1.8,21,2019/20 - wiosna
111,Marcin Biernat,2,11,1.7,6,2019/20 - wiosna
5,Tomasz Boczek,2,15,1.8,27,2019/20 - wiosna
201,Mateusz Bodzioch,2,14,1.7,30,2019/20 - wiosna
1053,Michal Bojdys,2,6,1.6,6,2019/20 - wiosna
1154,Mateusz Bondarenko,2,6,1.4,12,2019/20 - wiosna
521,Sebastian Bonecki,3,12,1.7,32,2019/20 - wiosna
713,Patryk Bryla,3,4,1.9,0,2019/20 - wiosna
730,Sebastian Brylka,3,12,0.8,0,2019/20 - wiosna
458,Janusz Bucholc,2,16,2.0,51,2019/20 - wiosna
857,Lukasz Budzilek,1,3,1.7,17,2019/20 - wiosna
1117,Damian Byrtek,2,16,1.5,2,2019/20 - wiosna
879,Dawid Blanik,3,5,1.5,17,2019/20 - wiosna
1192,Jurich Carolina,2,16,1.5,38,2019/20 - wiosna
585,Mateusz Cetnarski,3,9,2.1,0,2019/20 - wiosna
174,Damian Chmiel,3,15,2.2,46,2019/20 - wiosna
828,Kacper Chorazka,1,18,1.4,8,2019/20 - wiosna
431,Mateusz Cichocki,2,14,2.1,25,2019/20 - wiosna
760,Adrian Cierpka,3,8,1.7,0,2019/20 - wiosna
980,Aboubacar Conde,3,11,0.7,0,2019/20 - wiosna
330,Michal Czarny,2,13,1.7,23,2019/20 - wiosna
1201,Jaroslaw Czernysz,3,1,1.5,29,2019/20 - wiosna
594,Adrian Danek,3,15,1.7,36,2019/20 - wiosna
17,Krzysztof Danielewicz,3,11,2.1,18,2019/20 - wiosna
227,Jonathan de Amo,2,3,1.8,43,2019/20 - wiosna
665,Grzegorz Drazik,1,6,1.6,0,2019/20 - wiosna
854,Szymon Drewniak,3,2,2.4,52,2019/20 - wiosna
492,Krzysztof Drzazga,4,11,1.8,0,2019/20 - wiosna
675,Tomasz Dzida,3,6,1.2,0,2019/20 - wiosna
1088,Wiktor Dlugosz,3,9,0.7,0,2019/20 - wiosna
1203,Bartlomiej Eizenchart,3,5,1.3,24,2019/20 - wiosna
400,Daniel Feruga,3,6,1.5,0,2019/20 - wiosna
1057,Paul Filipowicz,3,4,0.5,0,2019/20 - wiosna
791,Dawid Flaszka,3,5,1.3,12,2019/20 - wiosna
1153,Merveille Fundambu,3,17,1.5,15,2019/20 - wiosna
792,Mariusz Gabrych,4,15,1.8,34,2019/20 - wiosna
261,Mateusz Gancarczyk,3,12,1.7,16,2019/20 - wiosna
262,Waldemar Gancarczyk,3,5,1.3,0,2019/20 - wiosna
1209,Marcin Garuch,3,11,1.4,7,2019/20 - wiosna
569,Roman Gergel,3,3,2.4,67,2019/20 - wiosna
