id,name,position,club,value,points
5,Tomasz Boczek,2,15,1.8,35
6,Maciej Dampc,2,10,1.5,0
12,Jacek Podgorski,2,9,1.4,66
17,Krzysztof Danielewicz,3,11,2.1,3
21,Oskar Paprzycki,3,7,1.5,53
30,Andrzej Witan,1,2,1.7,0
36,Bartosz Biel,3,7,2.3,66
40,Maksymilian Hebel,3,1,1.5,19
44,Bartlomiej Poczobut,3,17,1.5,22
55,Adam Makuchowski,1,4,0.5,1
57,Michal Ilkow-Golab,2,4,2.3,47
58,Michal Michalec,2,4,1.5,24
59,Seweryn Michalski,2,5,1.7,33
60,Kacper Pietrzczyk,2,4,0.5,0
61,Przemyslaw Stolc,2,4,1.6,21
67,Marcel Gasior,3,9,1.5,24
71,Mateusz Machaj,3,4,2.0,29
72,Robert Mandrysz,3,4,1.7,33
74,Michal Pawlik,3,5,1.4,29
79,Damian Kowalczyk,4,4,1.6,17
82,Mateusz Abramowicz,1,4,1.5,0
85,Mateusz Kaminski,2,12,1.5,47
86,Tomasz Midzierski,2,8,1.7,76
94,Bartlomiej Kalinkowski,3,8,1.5,47
97,Pawel Mandrysz,3,15,1.5,18
102,Wojciech Slomka,3,18,1.3,0
104,Lukasz Zejdler,3,6,1.5,27
111,Marcin Biernat,2,11,1.7,26
113,Mateusz Grzybek,2,3,1.9,46
114,Maciej Manka,2,7,2.2,0
116,Remigiusz Szywacz,2,9,1.7,22
117,Daniel Tanzyna,2,17,1.8,38
120,Lukasz Grzeszczyk,3,7,3.0,52
124,Jakub Piatek,3,7,1.4,12
125,Kacper Piatek,3,7,1.5,19
129,Dawid Rogalski,4,1,1.6,20
131,Kamil Zapolnik,4,11,2.1,88
144,Michal Rutkowski,2,6,1.4,13
146,Milosz Trojak,3,12,1.6,37
150,Milosz Przybecki,3,1,1.5,0
154,Michal Walski,3,15,1.4,41
161,Pawel Wojciechowski,4,8,1.8,64
167,Mariusz Magiera,2,5,1.6,51
171,Pawel Oleksy,2,4,2.0,37
172,Marcin Sierczynski,2,5,1.4,42
174,Damian Chmiel,3,15,2.2,46
175,Konrad Gutowski,3,17,1.2,0
181,Milosz Kozak,3,14,2.1,57
198,Mateusz Kuchta,1,12,2.0,4
199,Tobiasz Weinzettel,1,12,1.5,-1
201,Mateusz Bodzioch,2,14,1.7,55
