id,name,position,club,value,points,status
1488, Caique,3,17,1.6,0.0,active
1471, Ricardinho,4,10,2.1,0.0,active
110,Dawid Abramowicz,2,14,2.0,0.0,active
1246,Radoslaw Adamski,3,1,1.5,45.0,active
1454,Christian Aleman,3,2,2.0,0.0,active
674,Farid Ali,3,6,2.0,55.0,active
1490,Maciej Ambrosiewicz,3,18,1.8,0.0,active
1267,Michael Ameyaw,3,17,1.4,20.0,active
1500,Kacper Andrzejewski,2,11,0.9,0.0,active
1414,Karol Angielski,4,14,2.3,63.0,active
1303,Kamil Antonik,3,1,1.0,3.0,active
890,Jakub Apolinarski,3,6,1.4,15.0,active
703,Dawid Arndt,1,10,1.0,9.0,active
1473,Piotr Azikiewicz,3,11,1.6,0.0,active
1482,Dominik Banach,4,14,0.7,0.0,active
441,Adam Banasiak,3,14,1.9,50.0,active
1356,Przemyslaw Banaszak,4,8,1.4,30.0,active
258,Maksymilian Banaszewski,3,4,2.3,75.0,active
457,Pawel Baranowski,2,8,2.0,62.0,active
329,Mateusz Bartkow,2,5,1.5,12.0,active
589,Jakub Bartosz,2,13,1.6,33.0,active
614,Adrian Basta,2,15,1.5,10.0,active
1430,Jakub Bator,3,5,0.8,6.0,active
1263,Filip Becht,2,17,1.4,26.0,active
1405,Michal Bednarski,4,11,1.6,2.0,active
1369,Jakub Belski,3,13,0.5,0.0,active
982,Michal Bezpalec,2,3,1.8,15.0,active
465,Wiktor Biedrzycki,2,3,2.0,54.0,active
1072,Aleksander Bieganski,3,7,0.5,0.0,active
36,Bartosz Biel,3,7,2.2,66.0,active
1470,Adrian Bielka,3,9,0.5,0.0,active
701,Szymon Bielusiak,2,7,0.5,0.0,active
706,Lukas Bielak,3,6,1.6,22.0,active
111,Marcin Biernat,2,11,1.8,26.0,active
1341,Kacper Bieszczad,1,4,1.5,38.0,active
5,Tomasz Boczek,2,15,1.8,35.0,active
201,Mateusz Bodzioch,2,14,1.9,55.0,active
408,Artur Bogusz,2,14,2.0,44.0,active
1154,Mateusz Bondarenko,2,6,1.4,34.0,active
521,Sebastian Bonecki,3,3,1.7,47.0,active
490,Mavroudis Bougaḯdis,2,4,1.8,0.0,active
1427,Jakub Brdak,4,16,0.5,2.0,active
713,Patryk Bryla,3,4,1.9,48.0,active
730,Sebastian Brylka,3,12,0.8,0.0,active
458,Janusz Bucholc,2,16,1.9,34.0,active
857,Lukasz Budzilek,1,3,1.5,0.0,active
799,Dominik Budzynski,1,15,1.4,2.0,active
1278,Lukasz Bujak,2,9,1.0,0.0,active
1497,Byron Burgering,3,11,1.6,0.0,active
1117,Damian Byrtek,2,16,1.5,31.0,active
1319,Mateusz Bakowicz,2,10,1.0,0.0,active
879,Dawid Blanik,3,15,1.3,15.0,active
1192,Jurich Carolina,2,16,1.5,23.0,active
174,Damian Chmiel,3,15,1.9,46.0,active
1296,Daniel Chmielnicki,2,2,1.2,0.0,active
431,Mateusz Cichocki,2,14,2.1,61.0,active
1499,Kacper Cichon,3,13,0.8,0.0,active
760,Adrian Cierpka,3,8,1.8,59.0,active
1345,Michal Ciolkowski,2,5,0.6,0.0,active
1422,Tomasz Cywka,3,4,1.8,44.0,active
1365,Dawid Czaplinski,4,12,1.4,17.0,active
1401,Patryk Czarnowski,4,3,1.4,13.0,active
330,Michal Czarny,2,13,1.7,42.0,active
1201,Jaroslaw Czernysz,3,1,1.5,25.0,active
1273,Karol Czubak,4,17,1.6,24.0,active
1445,Kacper Dana,1,7,0.5,0.0,active
1297,Adam Danch,2,2,1.9,51.0,active
594,Adrian Danek,2,15,1.7,42.0,active
1239,Wojciech Daniel,1,1,1.5,15.0,active
1423,Kamil Dankowski,2,10,1.6,32.0,active
1304,Adam Deja,3,2,2.1,45.0,active
1443,Morimakan Diane,4,14,1.5,6.0,active
1446,Hugo Diaz,3,9,1.5,4.0,active
1242,Konrad Domon,3,1,1.5,26.0,active
1333,Antonio Dominguez,3,10,2.7,72.0,active
665,Grzegorz Drazik,1,6,1.6,9.0,active
854,Szymon Drewniak,3,12,2.0,50.0,active
1448,Jakub Drozd,2,1,0.5,0.0,active
492,Krzysztof Drzazga,4,11,1.8,43.0,active
981,Karol Dybowski,1,1,1.5,0.0,active
675,Tomasz Dzida,3,6,1.2,0.0,active
1247,Adrian Dziubinski,3,1,1.5,23.0,active
1279,Daniel Dziwniel,2,15,1.6,31.0,active
1459,Dominik Dziabek,3,4,0.8,0.0,active
1485,Maksymilian Dziegiel,2,15,0.8,0.0,active
1320,Maciej Dabrowski,2,10,2.1,36.0,active
1375,Alain Ebwelle,3,14,1.3,11.0,active
1258,Szymon Feret,3,1,1.2,26.0,active
400,Daniel Feruga,3,6,1.8,52.0,active
1057,Paul Filipowicz,3,4,0.5,0.0,active
791,Dawid Flaszka,3,5,1.3,15.0,active
1493,Amancio Fortes,3,14,1.8,0.0,active
825,Szymon Frankowski,1,18,1.2,0.0,active
1153,Merveille Fundambu,3,17,1.6,37.0,active
191,Kacper Gach,2,17,1.7,0.0,active
1343,Lukasz Gajda,3,6,1.4,0.0,active
261,Mateusz Gancarczyk,3,12,1.7,23.0,active
262,Waldemar Gancarczyk,3,5,1.4,41.0,active
1475,Bruno Garcia,3,11,1.9,0.0,active
1209,Marcin Garuch,3,11,1.4,17.0,active
1248,Mateusz Geniec,2,1,1.5,23.0,active
569,Roman Gergel,3,3,4.0,131.0,active
