id,name,position,club,value,points
5,Adam Wilk ,1,1,0.8,0
8,Pawel Jaroszynski ,2,1,1.7,9
20,Damian Dabrowski ,3,4,2.0,35
37,Damian Jakubik ,2,13,1.9,2
39,Messias Leandro ,2,9,1.5,8
63,Pawel Olszewski ,2,3,1.5,2
64,Kamil Pajnowski ,2,9,1.2,0
66,Lukasz Solowiej ,2,12,1.6,30
86,Taras Romanczuk ,3,3,1.8,25
111,Marcin Cebula ,3,14,1.9,16
115,Bartosz Kwiecien ,2,5,1.7,3
118,Michal Mokrzycki ,3,8,1.6,14
130,Jasmin Buric ,1,4,1.6,0
166,Rafal Janicki ,2,2,1.8,30
168,Pawel Stolarski ,2,11,1.7,2
171,Michal Chrapek ,3,10,2.0,26
181,Bartlomiej Pawlowski ,3,18,2.7,32
184,Rafal Wolski ,3,13,2.0,22
231,Tomasz Mokwa ,2,10,1.5,2
239,Marcin Flis ,2,8,1.7,-4
244,Radoslaw Murawski ,3,6,1.8,23
246,Bartosz Szeliga ,3,8,1.6,16
256,Jakub Czerwinski ,2,10,2.1,22
272,Mateusz Matras ,2,9,1.8,27
285,Michal Koj ,2,12,1.6,5
286,Martin Konczkowski ,2,16,1.8,20
295,Lukasz Moneta ,3,15,1.6,8
298,Milosz Trojak ,2,5,1.8,26
308,Kamil Dankowski ,2,8,1.5,8
311,Mariusz Pawelec ,2,16,1.5,0
322,Robert Pich ,3,7,1.9,0
340,Mateusz Kupczak ,3,17,1.8,25
354,Jakub Bartosz ,2,12,1.6,8
362,Maciej Sadlok ,2,15,1.8,5
381,Konrad Forenc ,1,5,1.8,0
382,Dominik Hladun ,1,7,1.9,0
388,Jaroslaw Jach ,2,4,1.7,0
399,Filip Starzynski ,3,15,1.8,6
402,Arkadiusz Wozniak ,3,4,1.7,11
408,Artur Siemaszko ,4,12,1.6,24
409,Konrad Jalocha ,1,9,1.5,0
414,Adam Marciniak ,2,8,1.6,-4
421,Tomasz Wojcinowicz ,2,12,1.1,0
432,Grzegorz Tomasiewicz ,3,10,1.9,27
447,Patryk Stepinski ,2,18,2.0,7
453,Dominik Kun ,3,18,1.7,27
456,Piotr Mrozinski ,3,12,1.4,21
461,Piotr Wlazlo ,3,9,1.9,13
480,Bartosz Nowak ,3,14,2.6,51
501,Piotr Malarczyk ,2,5,1.7,19
508,Cornel Rapa ,2,1,1.7,21
