id,name,position,club,value,points
3,Grzegorz Sandomierski ,1,4,1.8,42
5,Adam Wilk ,1,2,0.8,0
10,Kamil Pestka ,2,2,1.8,68
14,Jakub Wojcicki ,2,18,1.7,20
20,Damian Dabrowski ,3,11,2.1,75
22,Radoslaw Kanach ,3,2,0.9,3
23,Karol Niemczycki ,1,2,1.6,42
39,Messias Leandro ,2,3,1.7,49
45,Szymon Drewniak ,3,3,1.6,39
53,Bartosz Spiaczka ,4,3,1.8,87
57,Damian Weglarz ,1,17,1.6,0
63,Pawel Olszewski ,2,5,1.5,10
64,Kamil Pajnowski ,2,3,1.2,12
69,Piotr Tomasik ,2,17,1.8,68
71,Fedor Cernych ,3,5,1.9,76
81,Przemyslaw Mystkowski ,3,5,1.6,35
88,Dawid Szymonowicz ,2,15,1.7,54
96,Maciej Gostomski ,1,3,1.7,62
107,Bartosz Rymaniak ,2,3,1.7,43
111,Marcin Cebula ,3,13,1.8,28
128,Lukasz Sekulski ,4,17,2.2,100
130,Jasmin Buric ,1,18,1.8,0
133,Matus Putnocky ,1,14,1.7,11
140,Tomasz Kedziora ,2,6,2.5,10
145,Maciej Gajos ,3,7,1.9,84
154,Lukasz Tralka ,3,15,1.8,62
156,Dawid Kownacki ,4,6,2.6,33
159,Lukasz Budzilek ,1,1,1.5,8
163,Adam Chrzanowski ,2,17,1.7,11
166,Rafal Janicki ,2,4,1.8,64
167,Mario Maloca ,2,7,1.8,78
168,Pawel Stolarski ,2,11,1.7,46
171,Michal Chrapek ,3,10,1.9,88
172,Flavio Paixao ,4,7,2.2,105
179,Michal Mak ,3,3,1.7,36
184,Rafal Wolski ,3,17,1.9,91
202,Jakub Rzezniczak ,2,17,1.6,48
210,Michal Kopczynski ,3,15,1.6,42
211,Michal Kucharczyk ,3,11,2.4,82
224,Jakub Szmatula ,1,10,1.6,0
231,Tomasz Mokwa ,2,10,1.5,4
239,Marcin Flis ,2,9,1.6,53
244,Radoslaw Murawski ,3,6,1.8,44
245,Igor Sapala ,3,13,1.8,6
256,Jakub Czerwinski ,2,10,2.2,80
260,Hubert Matynia ,2,11,1.8,2
269,Kamil Drygas ,3,11,2.0,63
271,Dawid Kort ,3,9,1.6,21
272,Mateusz Matras ,2,9,1.8,69
279,Lukasz Zwolinski ,4,7,2.2,97
282,Gonçalo Silva ,2,12,1.7,20
286,Martin Konczkowski ,2,10,1.9,77
289,Przemyslaw Bargiel ,3,14,0.8,0
299,Maciej Urbanczyk ,3,9,1.5,56
322,Robert Pich ,3,14,1.9,82
339,Vlastimir Jovanovic ,3,1,1.3,1
340,Mateusz Kupczak ,3,15,1.8,58
344,Samuel Stefanik ,3,1,1.8,62
346,Vladislavs Gutkovskis ,4,13,1.9,85
351,Michal Buchalik ,1,7,1.6,0
351,Michal Buchalik ,1,16,1.6,0
361,Rafal Pietrzak ,2,7,1.8,48
362,Maciej Sadlok ,2,16,1.8,41
371,Krzysztof Maczynski ,3,14,1.9,58
374,Alan Uryga ,2,16,1.8,3
378,Zdeněk Ondrasek ,4,16,1.9,18
382,Dominik Hladun ,1,18,1.7,56
386,Daniel Dziwniel ,2,3,1.6,21
391,Damian Zbozien ,2,17,1.6,38
395,Jaroslaw Kubicki ,3,7,1.8,75
399,Filip Starzynski ,3,18,2.0,56
404,Pawel Zyra ,3,1,1.4,7
412,Pavels Steinbors ,1,5,1.7,23
429,Michal Nalepa ,3,5,1.8,24
431,Mateusz Szwoch ,3,17,2.0,94
432,Grzegorz Tomasiewicz ,3,9,2.1,108
450,Dominik Furman ,3,17,1.8,39
461,Piotr Wlazlo ,3,1,1.8,92
480,Bartosz Nowak ,3,4,2.1,112
491,Mateusz Wieteska ,2,8,2.0,72
503,Roman Gergel ,3,1,1.8,37
508,Cornel Rapa ,2,2,1.9,85
514,Lukasz Bejger ,2,14,1.6,32
531,Jakub Zubrowski ,3,18,1.7,27
535,Artur Jedrzejczyk ,2,8,1.9,21
553,Jakub Bartkowski ,2,11,2.1,95
558,Dusan Kuciak ,1,7,1.9,74
563,Marcin Wasielewski ,2,1,1.6,18
574,Bartosz Slisz ,3,8,1.8,58
580,Sebastian Kowalczyk ,3,11,2.3,114
583,Adrian Lyszczarz ,3,14,1.5,43
625,Filip Piszczek ,4,2,1.6,23
625,Filip Piszczek ,4,5,1.6,7
