player,link
Abramowicz Dawid,https://fantasy.ekstraklasa.org/player/1524
Abramowicz Sławomir,https://fantasy.ekstraklasa.org/player/1795
Adamski Rafał,https://fantasy.ekstraklasa.org/player/1909
Alomerović Zlatan,https://fantasy.ekstraklasa.org/player/724
Alves Roberto,https://fantasy.ekstraklasa.org/player/1926
Amaral João,https://fantasy.ekstraklasa.org/player/1060
Ameyaw Michael,https://fantasy.ekstraklasa.org/player/1719
Andersson Elias,https://fantasy.ekstraklasa.org/player/2209
Arndt Dawid,https://fantasy.ekstraklasa.org/player/1221
Arsenić Zoran,https://fantasy.ekstraklasa.org/player/692
Atanasov Jani,https://fantasy.ekstraklasa.org/player/2088
Augustyniak Rafał,https://fantasy.ekstraklasa.org/player/923
Ba Loua Adriel,https://fantasy.ekstraklasa.org/player/1791
Baku Makana,https://fantasy.ekstraklasa.org/player/1586
Balaj Filip,https://fantasy.ekstraklasa.org/player/1694
Balongo Nelson,https://fantasy.ekstraklasa.org/player/2184
Baranowski Paweł,https://fantasy.ekstraklasa.org/player/1663
Barański Bartłomiej,https://fantasy.ekstraklasa.org/player/2292
Barczak Norbert,https://fantasy.ekstraklasa.org/player/2299
Barnowski Dawid,https://fantasy.ekstraklasa.org/player/2217
Bartkowski Jakub,https://fantasy.ekstraklasa.org/player/553
Bartolewski Mateusz,https://fantasy.ekstraklasa.org/player/1505
Bartosz Jakub,https://fantasy.ekstraklasa.org/player/354
Bednarek Filip,https://fantasy.ekstraklasa.org/player/1389
Bejger Łukasz,https://fantasy.ekstraklasa.org/player/514
Berggren Gustav,https://fantasy.ekstraklasa.org/player/2030
Bernatowicz Bartosz,https://fantasy.ekstraklasa.org/player/2017
Biczachczjan Wahan,https://fantasy.ekstraklasa.org/player/1835
Biel Bartosz,https://fantasy.ekstraklasa.org/player/2174
Bielecki Jakub,https://fantasy.ekstraklasa.org/player/2136
Bielica Daniel,https://fantasy.ekstraklasa.org/player/1517
Bieszczad Kacper,https://fantasy.ekstraklasa.org/player/1397
Blanco Juan,https://fantasy.ekstraklasa.org/player/2289
Blažič Miha,https://fantasy.ekstraklasa.org/player/2210
Bobek Aleksander,https://fantasy.ekstraklasa.org/player/2169
Bochnak Mateusz,https://fantasy.ekstraklasa.org/player/2089
Bohar Damjan,https://fantasy.ekstraklasa.org/player/1044
Borges Léo,https://fantasy.ekstraklasa.org/player/2002
Borowski Filip,https://fantasy.ekstraklasa.org/player/1623
Borthwick-Jackson Cameron,https://fantasy.ekstraklasa.org/player/2271
Borys Karol,https://fantasy.ekstraklasa.org/player/1914
Briceag Marius,https://fantasy.ekstraklasa.org/player/2097
Buchalik Michał,https://fantasy.ekstraklasa.org/player/351
