player,link
Abramowicz Dawid,https://fantasy.ekstraklasa.org/player/1524
Abramowicz Sławomir,https://fantasy.ekstraklasa.org/player/1795
Abu Hanna Joel,https://fantasy.ekstraklasa.org/player/1716
Al-Ani Kais,https://fantasy.ekstraklasa.org/player/1863
Alomerović Zlatan,https://fantasy.ekstraklasa.org/player/724
Amaral João,https://fantasy.ekstraklasa.org/player/1060
Ambrosiewicz Maciej,https://fantasy.ekstraklasa.org/player/664
Ameyaw Michael,https://fantasy.ekstraklasa.org/player/1719
Angielski Karol,https://fantasy.ekstraklasa.org/player/722
Antczak Jakub,https://fantasy.ekstraklasa.org/player/1858
Arak Jakub,https://fantasy.ekstraklasa.org/player/1004
Arsenić Zoran,https://fantasy.ekstraklasa.org/player/692
Augustyn Błażej,https://fantasy.ekstraklasa.org/player/749
Ba Loua Adriel,https://fantasy.ekstraklasa.org/player/1791
Bainović Filip,https://fantasy.ekstraklasa.org/player/1191
Bajorek Bartosz,https://fantasy.ekstraklasa.org/player/1448
Balaj Filip,https://fantasy.ekstraklasa.org/player/1694
Balić Saša,https://fantasy.ekstraklasa.org/player/745
Banaszak Przemysław,https://fantasy.ekstraklasa.org/player/1673
Baranowski Paweł,https://fantasy.ekstraklasa.org/player/1663
Bargiel Przemysław,https://fantasy.ekstraklasa.org/player/289
Bartkowski Jakub,https://fantasy.ekstraklasa.org/player/553
Bartolewski Mateusz,https://fantasy.ekstraklasa.org/player/1505
Bartoszek Krystian,https://fantasy.ekstraklasa.org/player/1640
Baszkirow Jewgienij,https://fantasy.ekstraklasa.org/player/1375
Bayer Bartosz,https://fantasy.ekstraklasa.org/player/1777
Bednarek Filip,https://fantasy.ekstraklasa.org/player/1389
Bejger Łukasz,https://fantasy.ekstraklasa.org/player/514
Bergier Sebastian,https://fantasy.ekstraklasa.org/player/774
Bezpalec Michal,https://fantasy.ekstraklasa.org/player/1642
Biczachczjan Wahan,https://fantasy.ekstraklasa.org/player/1835
Bida Bartosz,https://fantasy.ekstraklasa.org/player/810
Biedrzycki Wiktor,https://fantasy.ekstraklasa.org/player/1039
Biegański Jan,https://fantasy.ekstraklasa.org/player/1578
Biegański Mikołaj,https://fantasy.ekstraklasa.org/player/1739
Bielica Daniel,https://fantasy.ekstraklasa.org/player/1517
Bieszczad Kacper,https://fantasy.ekstraklasa.org/player/1397
Bodzioch Mateusz,https://fantasy.ekstraklasa.org/player/1437
Bogusz Artur,https://fantasy.ekstraklasa.org/player/1223
Bonecki Sebastian,https://fantasy.ekstraklasa.org/player/743
Borowski Filip,https://fantasy.ekstraklasa.org/player/1623
Boruc Artur,https://fantasy.ekstraklasa.org/player/1478
