Player,Link
Abramowicz Dawid,fantasy.ekstraklasa.org/player/1524
Adamczyk Hubert,fantasy.ekstraklasa.org/player/15
Alomerović Zlatan,fantasy.ekstraklasa.org/player/724
Alves Tiago,fantasy.ekstraklasa.org/player/1309
Ambrosiewicz Maciej,fantasy.ekstraklasa.org/player/664
Angielski Karol,fantasy.ekstraklasa.org/player/722
Antolić Domagoj,fantasy.ekstraklasa.org/player/785
Arak Jakub,fantasy.ekstraklasa.org/player/1004
Arsenić Zoran,fantasy.ekstraklasa.org/player/692
Astiz Iñaki,fantasy.ekstraklasa.org/player/753
Augustyn Błażej,fantasy.ekstraklasa.org/player/749
Awaed Mohammed,fantasy.ekstraklasa.org/player/1543
Badía Gerard,fantasy.ekstraklasa.org/player/236
Bainović Filip,fantasy.ekstraklasa.org/player/1191
Bajorek Bartosz,fantasy.ekstraklasa.org/player/1448
Balcewicz Filip,fantasy.ekstraklasa.org/player/1482
Balić Saša,fantasy.ekstraklasa.org/player/745
Bargiel Przemysław,fantasy.ekstraklasa.org/player/289
Bartkowski Jakub,fantasy.ekstraklasa.org/player/553
Bartl Daniel,fantasy.ekstraklasa.org/player/1262
Bartolewski Mateusz,fantasy.ekstraklasa.org/player/1505
Basha Vullnet,fantasy.ekstraklasa.org/player/752
Baszkirow Jewgienij,fantasy.ekstraklasa.org/player/1375
Baszłaj Dmytro,fantasy.ekstraklasa.org/player/1412
Batelt Michał,fantasy.ekstraklasa.org/player/1413
Bator Jakub,fantasy.ekstraklasa.org/player/1395
Bała Tomasz,fantasy.ekstraklasa.org/player/1405
Bednarczyk Jakub,fantasy.ekstraklasa.org/player/1537
Bednarek Filip,fantasy.ekstraklasa.org/player/1389
Benedyczak Adrian,fantasy.ekstraklasa.org/player/858
Bergier Sebastian,fantasy.ekstraklasa.org/player/774
Bećiraj Fatos,fantasy.ekstraklasa.org/player/1496
Białek Bartosz,fantasy.ekstraklasa.org/player/1324
Bida Bartosz,fantasy.ekstraklasa.org/player/810
Bielica Daniel,fantasy.ekstraklasa.org/player/1517
Bielikow Kamil,fantasy.ekstraklasa.org/player/1538
Bielák Lukáš,fantasy.ekstraklasa.org/player/1436
Bieroński Jakub,fantasy.ekstraklasa.org/player/1419
Biliński Kamil,fantasy.ekstraklasa.org/player/325
Bochniewicz Paweł,fantasy.ekstraklasa.org/player/799
Boczek Tomasz,fantasy.ekstraklasa.org/player/1451
Bodzioch Mateusz,fantasy.ekstraklasa.org/player/1437
Boguski Rafał,fantasy.ekstraklasa.org/player/365
Bohar Damjan,fantasy.ekstraklasa.org/player/1044
Borkała Remigiusz,fantasy.ekstraklasa.org/player/1242
Bortniczuk Maciej,fantasy.ekstraklasa.org/player/1515
Boruc Artur,fantasy.ekstraklasa.org/player/1478
Boruń Bartosz,fantasy.ekstraklasa.org/player/1274
Borysiuk Ariel,fantasy.ekstraklasa.org/player/548
Broda Kamil,fantasy.ekstraklasa.org/player/1277
Brown Forbes Felicio,fantasy.ekstraklasa.org/player/1061
Buchalik Michał,fantasy.ekstraklasa.org/player/351
Buchanelli Holz Conrado,fantasy.ekstraklasa.org/player/1334
Buksa Aleksander,fantasy.ekstraklasa.org/player/1146
Burliga Łukasz,fantasy.ekstraklasa.org/player/58
Bursztyn Jakub,fantasy.ekstraklasa.org/player/712
Butko Bohdan,fantasy.ekstraklasa.org/player/1370
Bödvarsson Bödvar,fantasy.ekstraklasa.org/player/833
Bąkowski Krzysztof,fantasy.ekstraklasa.org/player/1476
Błaszczykowski Jakub,fantasy.ekstraklasa.org/player/1142
Błyszko Wojciech,fantasy.ekstraklasa.org/player/1328
Cabrera Airam,fantasy.ekstraklasa.org/player/1082
Cebula Marcin,fantasy.ekstraklasa.org/player/111
Cegiełka Mateusz,fantasy.ekstraklasa.org/player/1215
Celeban Piotr,fantasy.ekstraklasa.org/player/307
Chmielowiec Mateusz,fantasy.ekstraklasa.org/player/1443
Chodyna Kacper,fantasy.ekstraklasa.org/player/1360
Cholewiak Mateusz,fantasy.ekstraklasa.org/player/851
Chrapek Michał,fantasy.ekstraklasa.org/player/171
Chuca Victor,fantasy.ekstraklasa.org/player/1307
Chudý Martin,fantasy.ekstraklasa.org/player/1105
Cibicki Paweł,fantasy.ekstraklasa.org/player/1339
Cichoń Kacper,fantasy.ekstraklasa.org/player/1485
Cielemęcki Radosław,fantasy.ekstraklasa.org/player/1402
Cierzniak Radosław,fantasy.ekstraklasa.org/player/191
Cotugno Guillermo,fantasy.ekstraklasa.org/player/1349
Crnomarković Đorđe,fantasy.ekstraklasa.org/player/1208
Czerwiński Alan,fantasy.ekstraklasa.org/player/698
Czerwiński Jakub,fantasy.ekstraklasa.org/player/256
Czorbadżijski Bożidar,fantasy.ekstraklasa.org/player/1560
Czyżycki Mateusz,fantasy.ekstraklasa.org/player/1457
Cámara Juan,fantasy.ekstraklasa.org/player/1070
Dadok Robert,fantasy.ekstraklasa.org/player/1444
Danielak Karol,fantasy.ekstraklasa.org/player/976
Dejewski Tomasz,fantasy.ekstraklasa.org/player/137
Dimun Milan,fantasy.ekstraklasa.org/player/21
Domański Maciej,fantasy.ekstraklasa.org/player/1263
Drabik Patryk,fantasy.ekstraklasa.org/player/1420
Dražić Dejan,fantasy.ekstraklasa.org/player/1376
Drygas Kamil,fantasy.ekstraklasa.org/player/269
Duda Kacper,fantasy.ekstraklasa.org/player/1494
Duda Mateusz,fantasy.ekstraklasa.org/player/1497
Dudek Mateusz,fantasy.ekstraklasa.org/player/1433
Dudziński Daniel,fantasy.ekstraklasa.org/player/1283
Dybowski Karol,fantasy.ekstraklasa.org/player/789
Dymerski Filip,fantasy.ekstraklasa.org/player/1174
Dytiatjew Ołeksij,fantasy.ekstraklasa.org/player/740
Dziekoński Xavier,fantasy.ekstraklasa.org/player/1400
Dąbrowski Damian,fantasy.ekstraklasa.org/player/20
Evangélou Stéfanos,fantasy.ekstraklasa.org/player/1558
Expósito Erik,fantasy.ekstraklasa.org/player/1276
Ferraresso Diego,fantasy.ekstraklasa.org/player/479
Ferreira Júnior Rivaldo,fantasy.ekstraklasa.org/player/1518
Ferreira Vinícius,fantasy.ekstraklasa.org/player/1083
Ferreiroa Fernán,fantasy.ekstraklasa.org/player/1551
Fiedosewicz Nikodem,fantasy.ekstraklasa.org/player/1458
Figiel Rafał,fantasy.ekstraklasa.org/player/1421
Fila Karol,fantasy.ekstraklasa.org/player/1005
Fiolić Ivan,fantasy.ekstraklasa.org/player/1356
Flis Marcin,fantasy.ekstraklasa.org/player/239
Forenc Konrad,fantasy.ekstraklasa.org/player/381
Fornalczyk Mariusz,fantasy.ekstraklasa.org/player/1529
Forsell Petteri,fantasy.ekstraklasa.org/player/934
Frelek Dominik,fantasy.ekstraklasa.org/player/1530
Frydrych Michal,fantasy.ekstraklasa.org/player/1549
Frączczak Adam,fantasy.ekstraklasa.org/player/258
Gach Kacper,fantasy.ekstraklasa.org/player/1414
Gajos Maciej,fantasy.ekstraklasa.org/player/145
García Ángel,fantasy.ekstraklasa.org/player/1124
Gardawski Michael,fantasy.ekstraklasa.org/player/729
Gerbowski Fryderyk,fantasy.ekstraklasa.org/player/1498
Getinger Krystian,fantasy.ekstraklasa.org/player/1438
Gjertsen Torgil,fantasy.ekstraklasa.org/player/1344
Gliwa Michał,fantasy.ekstraklasa.org/player/630
Golla Wojciech,fantasy.ekstraklasa.org/player/1019
Gorgon Alexander,fantasy.ekstraklasa.org/player/1486
Gostomski Hubert,fantasy.ekstraklasa.org/player/1377
Grabowski Marcin,fantasy.ekstraklasa.org/player/1024
Gradecki Bartłomiej,fantasy.ekstraklasa.org/player/1509
Grudziński Mateusz,fantasy.ekstraklasa.org/player/1409
Gruszkowski Konrad,fantasy.ekstraklasa.org/player/1528
Gryszkiewicz Adrian,fantasy.ekstraklasa.org/player/844
Grzesik Jan,fantasy.ekstraklasa.org/player/1225
Guldan Ľubomír,fantasy.ekstraklasa.org/player/387
Gumny Robert,fantasy.ekstraklasa.org/player/138
Gut Jakub,fantasy.ekstraklasa.org/player/1536
