Player;Link;;
Abramowicz Dawid;https://fantasy.ekstraklasa.org/player/1524;33;1524
Adamczyk Hubert;https://fantasy.ekstraklasa.org/player/15;33;15
Alomerović Zlatan;https://fantasy.ekstraklasa.org/player/724;33;724
Alves Tiago;https://fantasy.ekstraklasa.org/player/1309;33;1309
Ambrosiewicz Maciej;https://fantasy.ekstraklasa.org/player/664;33;664
Angielski Karol;https://fantasy.ekstraklasa.org/player/722;33;722
Antolić Domagoj;https://fantasy.ekstraklasa.org/player/785;33;785
Arak Jakub;https://fantasy.ekstraklasa.org/player/1004;33;1004
Arsenić Zoran;https://fantasy.ekstraklasa.org/player/692;33;692
Astiz Iñaki;https://fantasy.ekstraklasa.org/player/753;33;753
Augustyn Błażej;https://fantasy.ekstraklasa.org/player/749;33;749
Awaed Mohammed;https://fantasy.ekstraklasa.org/player/1543;33;1543
Badía Gerard;https://fantasy.ekstraklasa.org/player/236;33;236
Bainović Filip;https://fantasy.ekstraklasa.org/player/1191;33;1191
Bajorek Bartosz;https://fantasy.ekstraklasa.org/player/1448;33;1448
Balcewicz Filip;https://fantasy.ekstraklasa.org/player/1482;33;1482
Balić Saša;https://fantasy.ekstraklasa.org/player/745;33;745
Bargiel Przemysław;https://fantasy.ekstraklasa.org/player/289;33;289
Bartkowski Jakub;https://fantasy.ekstraklasa.org/player/553;33;553
Bartl Daniel;https://fantasy.ekstraklasa.org/player/1262;33;1262
Bartolewski Mateusz;https://fantasy.ekstraklasa.org/player/1505;33;1505
Basha Vullnet;https://fantasy.ekstraklasa.org/player/752;33;752
Baszkirow Jewgienij;https://fantasy.ekstraklasa.org/player/1375;33;1375
Baszłaj Dmytro;https://fantasy.ekstraklasa.org/player/1412;33;1412
Batelt Michał;https://fantasy.ekstraklasa.org/player/1413;33;1413
Bator Jakub;https://fantasy.ekstraklasa.org/player/1395;33;1395
Bała Tomasz;https://fantasy.ekstraklasa.org/player/1405;33;1405
Bednarczyk Jakub;https://fantasy.ekstraklasa.org/player/1537;33;1537
Bednarek Filip;https://fantasy.ekstraklasa.org/player/1389;33;1389
Benedyczak Adrian;https://fantasy.ekstraklasa.org/player/858;33;858
Bergier Sebastian;https://fantasy.ekstraklasa.org/player/774;33;774
Bećiraj Fatos;https://fantasy.ekstraklasa.org/player/1496;33;1496
Białek Bartosz;https://fantasy.ekstraklasa.org/player/1324;33;1324
Bida Bartosz;https://fantasy.ekstraklasa.org/player/810;33;810
Bielica Daniel;https://fantasy.ekstraklasa.org/player/1517;33;1517
Bielikow Kamil;https://fantasy.ekstraklasa.org/player/1538;33;1538
Bielák Lukáš;https://fantasy.ekstraklasa.org/player/1436;33;1436
Bieroński Jakub;https://fantasy.ekstraklasa.org/player/1419;33;1419
Biliński Kamil;https://fantasy.ekstraklasa.org/player/325;33;325
Bochniewicz Paweł;https://fantasy.ekstraklasa.org/player/799;33;799
Boczek Tomasz;https://fantasy.ekstraklasa.org/player/1451;33;1451
Bodzioch Mateusz;https://fantasy.ekstraklasa.org/player/1437;33;1437
Boguski Rafał;https://fantasy.ekstraklasa.org/player/365;33;365
Bohar Damjan;https://fantasy.ekstraklasa.org/player/1044;33;1044
Borkała Remigiusz;https://fantasy.ekstraklasa.org/player/1242;33;1242
Bortniczuk Maciej;https://fantasy.ekstraklasa.org/player/1515;33;1515
Boruc Artur;https://fantasy.ekstraklasa.org/player/1478;33;1478
Boruń Bartosz;https://fantasy.ekstraklasa.org/player/1274;33;1274
Borysiuk Ariel;https://fantasy.ekstraklasa.org/player/548;33;548
Broda Kamil;https://fantasy.ekstraklasa.org/player/1277;33;1277
Brown Forbes Felicio;https://fantasy.ekstraklasa.org/player/1061;33;1061
Buchalik Michał;https://fantasy.ekstraklasa.org/player/351;33;351
Buchanelli Holz Conrado;https://fantasy.ekstraklasa.org/player/1334;33;1334
Buksa Aleksander;https://fantasy.ekstraklasa.org/player/1146;33;1146
Burliga Łukasz;https://fantasy.ekstraklasa.org/player/58;33;58
Bursztyn Jakub;https://fantasy.ekstraklasa.org/player/712;33;712
Butko Bohdan;https://fantasy.ekstraklasa.org/player/1370;33;1370
Bödvarsson Bödvar;https://fantasy.ekstraklasa.org/player/833;33;833
Bąkowski Krzysztof;https://fantasy.ekstraklasa.org/player/1476;33;1476
Błaszczykowski Jakub;https://fantasy.ekstraklasa.org/player/1142;33;1142
Błyszko Wojciech;https://fantasy.ekstraklasa.org/player/1328;33;1328
Cabrera Airam;https://fantasy.ekstraklasa.org/player/1082;33;1082
Cebula Marcin;https://fantasy.ekstraklasa.org/player/111;33;111
Cegiełka Mateusz;https://fantasy.ekstraklasa.org/player/1215;33;1215
Celeban Piotr;https://fantasy.ekstraklasa.org/player/307;33;307
Chmielowiec Mateusz;https://fantasy.ekstraklasa.org/player/1443;33;1443
