id,name,position,value,club,club_abr,club_prev,country,season,time,goals,assists,own_goal,penalty,penalty_won,penalty_given,penalty_lost,penalty_defended,in_stat,yellow_card,red_card,points
724,Zlatan Alomerovic, Bramkarz,"1,90",Lechia Gdansk,LGD,Korona Kielce,Niemcy,2019/20 - wiosna,94,0,0,0,0,0,0,0,0,0,0,0,3
724,Zlatan Alomerovic, Bramkarz,"1,90",Lechia Gdansk,LGD,Korona Kielce,Niemcy,2019/20 - jesień,540,0,0,0,0,0,0,0,0,0,1,0,23
724,Zlatan Alomerovic, Bramkarz,"1,90",Lechia Gdansk,LGD,Korona Kielce,Niemcy,2018/19 - wiosna,180,0,0,0,0,0,0,0,0,0,0,0,2
724,Zlatan Alomerovic, Bramkarz,"1,90",Lechia Gdansk,LGD,Korona Kielce,Niemcy,2018/19 - jesień,630,0,0,0,0,0,0,0,0,1,0,0,31
724,Zlatan Alomerovic, Bramkarz,"1,90",Lechia Gdansk,LGD,Korona Kielce,Niemcy,2017/18 - wiosna,1080,0,0,0,0,0,0,0,3,2,2,0,55
724,Zlatan Alomerovic, Bramkarz,"1,90",Lechia Gdansk,LGD,Korona Kielce,Niemcy,2017/18 - jesień,810,0,0,0,0,0,0,0,0,0,0,0,28
1309,Tiago Alves, Pomocnik,"1,70",Piast Gliwice,PIA,Olimpia Grudziadz,Portugalia,2019/20 - wiosna,232,0,1,0,0,0,0,0,0,0,1,0,16
1309,Tiago Alves, Pomocnik,"1,70",Piast Gliwice,PIA,Olimpia Grudziadz,Portugalia,2019/20 - jesień,25,0,0,0,0,0,0,0,0,0,0,0,3
664,Maciej Ambrosiewicz, Pomocnik,"1,60",Wisla Plock,WPL,Gornik Zabrze,Polska,2019/20 - wiosna,732,0,0,0,0,0,0,0,0,1,4,0,22
664,Maciej Ambrosiewicz, Pomocnik,"1,60",Wisla Plock,WPL,Gornik Zabrze,Polska,2019/20 - jesień,305,0,0,0,0,0,0,0,0,0,0,0,30
664,Maciej Ambrosiewicz, Pomocnik,"1,60",Wisla Plock,WPL,Gornik Zabrze,Polska,2018/19 - wiosna,93,0,0,0,0,0,0,0,0,0,0,0,9
664,Maciej Ambrosiewicz, Pomocnik,"1,60",Wisla Plock,WPL,Gornik Zabrze,Polska,2018/19 - jesień,1091,0,0,0,0,0,0,0,0,0,2,0,40
664,Maciej Ambrosiewicz, Pomocnik,"1,60",Wisla Plock,WPL,Gornik Zabrze,Polska,2017/18 - wiosna,353,0,0,0,0,0,0,0,0,0,0,0,16
664,Maciej Ambrosiewicz, Pomocnik,"1,60",Wisla Plock,WPL,Gornik Zabrze,Polska,2017/18 - jesień,1275,0,0,0,0,0,0,0,0,0,3,0,50
