Round,Team_home,Team_home_abr,Score_home,Result_home,Team_away,Team_away_abr,Score_away,Result_away
1,KGHM Zaglebie Lubin,ZAG,2,W,Lech Poznan,LPO,1,L
1,Cracovia,CRA,2,W,Pogon Szczecin,POG,1,L
1,Slask Wroclaw,SLA,2,W,Piast Gliwice,PIA,0,L
1,Rakow Czestochowa,RCZ,1,L,Legia Warszawa,LEG,2,W
1,Wisla Plock,WPL,1,D,PGE FKS Stal Mielec,STM,1,D
1,Warta Poznan,WAR,0,L,Lechia Gdansk,LGD,1,W
1,Gornik Zabrze,GOR,4,W,Podbeskidzie Bielsko-Biala,POD,2,L
1,Jagiellonia Bialystok,JAG,1,D,Wisla Krakow,WIS,1,D
2,KGHM Zaglebie Lubin,ZAG,1,W,Warta Poznan,WAR,0,L
2,PGE FKS Stal Mielec,STM,0,L,Gornik Zabrze,GOR,2,W
2,Lechia Gdansk,LGD,1,L,Rakow Czestochowa,RCZ,3,W
2,Wisla Krakow,WIS,1,L,Slask Wroclaw,SLA,3,W
2,Legia Warszawa,LEG,1,L,Jagiellonia Bialystok,JAG,2,W
2,Piast Gliwice,PIA,0,L,Pogon Szczecin,POG,1,W
2,Podbeskidzie Bielsko-Biala,POD,2,D,Cracovia,CRA,2,D
2,Lech Poznan,LPO,2,D,Wisla Plock,WPL,2,D
3,Jagiellonia Bialystok,JAG,2,D,Podbeskidzie Bielsko-Biala,POD,2,D
3,Wisla Plock,WPL,0,L,Legia Warszawa,LEG,1,W
3,Cracovia,CRA,1,D,PGE FKS Stal Mielec,STM,1,D
3,Warta Poznan,WAR,0,D,Piast Gliwice,PIA,0,D
3,Slask Wroclaw,SLA,3,D,Lech Poznan,LPO,3,D
3,Pogon Szczecin,POG,2,D,Wisla Krakow,WIS,2,D
3,Gornik Zabrze,GOR,3,W,Lechia Gdansk,LGD,0,L
3,Rakow Czestochowa,RCZ,2,W,KGHM Zaglebie Lubin,ZAG,1,L
4,Podbeskidzie Bielsko-Biala,POD,1,L,Rakow Czestochowa,RCZ,4,W
4,Wisla Krakow,WIS,0,L,Wisla Plock,WPL,3,W
4,Lechia Gdansk,LGD,4,W,PGE FKS Stal Mielec,STM,2,L
4,Pogon Szczecin,POG,1,W,Slask Wroclaw,SLA,0,L
4,Legia Warszawa,LEG,1,L,Gornik Zabrze,GOR,3,W
4,KGHM Zaglebie Lubin,ZAG,1,D,Cracovia,CRA,1,D
4,Lech Poznan,LPO,1,W,Warta Poznan,WAR,0,L
4,Piast Gliwice,PIA,0,L,Jagiellonia Bialystok,JAG,1,W
5,Wisla Plock,WPL,1,L,Warta Poznan,WAR,3,W
