round;team;team_abr;home_away;score;result
1;KGHM Zaglebie Lubin;ZAG;H;02:01;W
1;Lech Poznan;LPO;A;01:02;L
1;Cracovia;CRA;H;02:01;W
1;Pogon Szczecin;POG;A;01:02;L
1;Slask Wroclaw;SLA;H;02:00;W
1;Piast Gliwice;PIA;A;00:02;L
1;Rakow Czestochowa;RCZ;H;01:02;L
1;Legia Warszawa;LEG;A;02:01;W
1;Wisla Plock;WPL;H;01:01;D
1;PGE FKS Stal Mielec;STM;A;01:01;D
1;Warta Poznan;WAR;H;00:01;L
1;Lechia Gdansk;LGD;A;01:00;W
1;Gornik Zabrze;GOR;H;04:02;W
1;Podbeskidzie Bielsko-Biala;POD;A;02:04;L
1;Jagiellonia Bialystok;JAG;H;01:01;D
1;Wisla Krakow;WIS;A;01:01;D
2;KGHM Zaglebie Lubin;ZAG;H;01:00;W
2;Warta Poznan;WAR;A;00:01;L
2;PGE FKS Stal Mielec;STM;H;00:02;L
2;Gornik Zabrze;GOR;A;02:00;W
2;Lechia Gdansk;LGD;H;01:03;L
2;Rakow Czestochowa;RCZ;A;03:01;W
2;Wisla Krakow;WIS;H;01:03;L
2;Slask Wroclaw;SLA;A;03:01;W
2;Legia Warszawa;LEG;H;01:02;L
2;Jagiellonia Bialystok;JAG;A;02:01;W
2;Piast Gliwice;PIA;H;00:01;L
2;Pogon Szczecin;POG;A;01:00;W
2;Podbeskidzie Bielsko-Biala;POD;H;02:02;D
2;Cracovia;CRA;A;02:02;D
2;Lech Poznan;LPO;H;02:02;D
2;Wisla Plock;WPL;A;02:02;D
3;Jagiellonia Bialystok;JAG;H;02:02;D
3;Podbeskidzie Bielsko-Biala;POD;A;02:02;D
3;Wisla Plock;WPL;H;00:01;L
3;Legia Warszawa;LEG;A;01:00;W
3;Cracovia;CRA;H;01:01;D
3;PGE FKS Stal Mielec;STM;A;01:01;D
3;Warta Poznan;WAR;H;00:00;D
3;Piast Gliwice;PIA;A;00:00;D
3;Slask Wroclaw;SLA;H;03:03;D
3;Lech Poznan;LPO;A;03:03;D
3;Pogon Szczecin;POG;H;02:02;D
3;Wisla Krakow;WIS;A;02:02;D
3;Gornik Zabrze;GOR;H;03:00;W
3;Lechia Gdansk;LGD;A;00:03;L
3;Rakow Czestochowa;RCZ;H;02:01;W
3;KGHM Zaglebie Lubin;ZAG;A;01:02;L
4;Podbeskidzie Bielsko-Biala;POD;H;01:04;L
4;Rakow Czestochowa;RCZ;A;04:01;W
4;Wisla Krakow;WIS;H;00:03;L
4;Wisla Plock;WPL;A;03:00;W
4;Lechia Gdansk;LGD;H;04:02;W
4;PGE FKS Stal Mielec;STM;A;02:04;L
4;Pogon Szczecin;POG;H;01:00;W
4;Slask Wroclaw;SLA;A;00:01;L
