id,name,position,value,club,club_abr,club_prev,country,popularity,points_prev,status,round,opponent,time,goals,assists,own_goal,penalty,penalty_won,penalty_given,penalty_lost,penalty_defended,in_stat,yellow_card,red_card,points
1524,Dawid Abramowicz, Obronca,"1,70",Wisla Krakow,WIS,Radomiak Radom,Polska,1, 0,active,1,JAG,12,0,0,0,0,0,0,0,0,0,0,0,1
1524,Dawid Abramowicz, Obronca,"1,70",Wisla Krakow,WIS,Radomiak Radom,Polska,1, 0,active,2,SLA,0,0,0,0,0,0,0,0,0,0,0,0,0
1524,Dawid Abramowicz, Obronca,"1,70",Wisla Krakow,WIS,Radomiak Radom,Polska,1, 0,active,3,POG,96,0,0,0,0,0,0,0,0,0,0,0,1
1524,Dawid Abramowicz, Obronca,"1,70",Wisla Krakow,WIS,Radomiak Radom,Polska,1, 0,active,4,WPL,97,0,0,0,0,0,0,0,0,0,0,0,0
1524,Dawid Abramowicz, Obronca,"1,70",Wisla Krakow,WIS,Radomiak Radom,Polska,1, 0,active,5,GOR,96,0,0,0,0,0,0,0,0,0,0,0,5
1524,Dawid Abramowicz, Obronca,"1,70",Wisla Krakow,WIS,Radomiak Radom,Polska,1, 0,active,6,LGD,93,0,0,0,0,0,0,0,0,0,0,0,0
1524,Dawid Abramowicz, Obronca,"1,70",Wisla Krakow,WIS,Radomiak Radom,Polska,1, 0,active,7,STM,91,0,1,0,0,0,0,0,0,0,0,0,10
1524,Dawid Abramowicz, Obronca,"1,70",Wisla Krakow,WIS,Radomiak Radom,Polska,1, 0,active,8,POD,98,0,0,0,0,0,0,0,0,0,0,0,6
1524,Dawid Abramowicz, Obronca,"1,70",Wisla Krakow,WIS,Radomiak Radom,Polska,1, 0,active,9,RCZ,97,0,0,0,0,0,0,0,0,0,1,0,4
1524,Dawid Abramowicz, Obronca,"1,70",Wisla Krakow,WIS,Radomiak Radom,Polska,1, 0,active,10,WAR,94,0,1,0,0,0,1,0,0,0,0,0,3
1524,Dawid Abramowicz, Obronca,"1,70",Wisla Krakow,WIS,Radomiak Radom,Polska,1, 0,active,11,ZAG,0,0,0,0,0,0,0,0,0,0,0,0,0
1524,Dawid Abramowicz, Obronca,"1,70",Wisla Krakow,WIS,Radomiak Radom,Polska,1, 0,active,12,CRA,6,0,0,0,0,0,0,0,0,0,0,0,1
1524,Dawid Abramowicz, Obronca,"1,70",Wisla Krakow,WIS,Radomiak Radom,Polska,1, 0,active,13,LEG,12,0,0,0,0,0,0,0,0,0,0,0,1
1524,Dawid Abramowicz, Obronca,"1,70",Wisla Krakow,WIS,Radomiak Radom,Polska,1, 0,active,14,LPO,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Hubert Adamczyk, Pomocnik,"1,60",Wisla Plock,WPL,GKS Tychy,Polska,1, 33,active,1,STM,59,0,0,0,0,0,0,0,0,0,0,0,2
15,Hubert Adamczyk, Pomocnik,"1,60",Wisla Plock,WPL,GKS Tychy,Polska,1, 33,active,2,LPO,19,0,0,0,0,0,0,0,0,0,0,0,1
15,Hubert Adamczyk, Pomocnik,"1,60",Wisla Plock,WPL,GKS Tychy,Polska,1, 33,active,3,LEG,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Hubert Adamczyk, Pomocnik,"1,60",Wisla Plock,WPL,GKS Tychy,Polska,1, 33,active,4,WIS,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Hubert Adamczyk, Pomocnik,"1,60",Wisla Plock,WPL,GKS Tychy,Polska,1, 33,active,5,WAR,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Hubert Adamczyk, Pomocnik,"1,60",Wisla Plock,WPL,GKS Tychy,Polska,1, 33,active,6,RCZ,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Hubert Adamczyk, Pomocnik,"1,60",Wisla Plock,WPL,GKS Tychy,Polska,1, 33,active,7,SLA,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Hubert Adamczyk, Pomocnik,"1,60",Wisla Plock,WPL,GKS Tychy,Polska,1, 33,active,8,PIA,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Hubert Adamczyk, Pomocnik,"1,60",Wisla Plock,WPL,GKS Tychy,Polska,1, 33,active,9,POG,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Hubert Adamczyk, Pomocnik,"1,60",Wisla Plock,WPL,GKS Tychy,Polska,1, 33,active,10,JAG,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Hubert Adamczyk, Pomocnik,"1,60",Wisla Plock,WPL,GKS Tychy,Polska,1, 33,active,11,CRA,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Hubert Adamczyk, Pomocnik,"1,60",Wisla Plock,WPL,GKS Tychy,Polska,1, 33,active,12,GOR,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Hubert Adamczyk, Pomocnik,"1,60",Wisla Plock,WPL,GKS Tychy,Polska,1, 33,active,13,LGD,32,0,0,0,0,0,0,0,0,0,0,0,2
15,Hubert Adamczyk, Pomocnik,"1,60",Wisla Plock,WPL,GKS Tychy,Polska,1, 33,active,14,POD,0,0,0,0,0,0,0,0,0,0,0,0,0
724,Zlatan Alomerovic, Bramkarz,"1,90",Lechia Gdansk,LGD,Korona Kielce,Niemcy,0, 3,active,1,WAR,0,0,0,0,0,0,0,0,0,0,0,0,0
724,Zlatan Alomerovic, Bramkarz,"1,90",Lechia Gdansk,LGD,Korona Kielce,Niemcy,0, 3,active,2,RCZ,0,0,0,0,0,0,0,0,0,0,0,0,0
724,Zlatan Alomerovic, Bramkarz,"1,90",Lechia Gdansk,LGD,Korona Kielce,Niemcy,0, 3,active,3,GOR,0,0,0,0,0,0,0,0,0,0,0,0,0
724,Zlatan Alomerovic, Bramkarz,"1,90",Lechia Gdansk,LGD,Korona Kielce,Niemcy,0, 3,active,4,STM,0,0,0,0,0,0,0,0,0,0,0,0,0
724,Zlatan Alomerovic, Bramkarz,"1,90",Lechia Gdansk,LGD,Korona Kielce,Niemcy,0, 3,active,5,POD,0,0,0,0,0,0,0,0,0,0,0,0,0
724,Zlatan Alomerovic, Bramkarz,"1,90",Lechia Gdansk,LGD,Korona Kielce,Niemcy,0, 3,active,6,WIS,0,0,0,0,0,0,0,0,0,0,0,0,0
724,Zlatan Alomerovic, Bramkarz,"1,90",Lechia Gdansk,LGD,Korona Kielce,Niemcy,0, 3,active,7,POG,0,0,0,0,0,0,0,0,0,0,0,0,0
724,Zlatan Alomerovic, Bramkarz,"1,90",Lechia Gdansk,LGD,Korona Kielce,Niemcy,0, 3,active,8,ZAG,0,0,0,0,0,0,0,0,0,0,0,0,0
724,Zlatan Alomerovic, Bramkarz,"1,90",Lechia Gdansk,LGD,Korona Kielce,Niemcy,0, 3,active,9,SLA,93,0,0,0,0,0,0,0,0,0,0,0,2
724,Zlatan Alomerovic, Bramkarz,"1,90",Lechia Gdansk,LGD,Korona Kielce,Niemcy,0, 3,active,10,PIA,97,0,0,0,0,0,0,0,0,0,1,0,0
724,Zlatan Alomerovic, Bramkarz,"1,90",Lechia Gdansk,LGD,Korona Kielce,Niemcy,0, 3,active,11,LPO,0,0,0,0,0,0,0,0,0,0,0,0,0
724,Zlatan Alomerovic, Bramkarz,"1,90",Lechia Gdansk,LGD,Korona Kielce,Niemcy,0, 3,active,12,LEG,0,0,0,0,0,0,0,0,0,0,0,0,0
