id,name,position,value,club,club_abr,club_prev,country,popularity,status,round,opponent,time,goals,assists,own_goal,penalty,penalty_won,penalty_given,penalty_lost,penalty_defended,in_stat,yellow_card,red_card,points
1524,Dawid Abramowicz ,Obronca,"1,90",Radomiak Radom,RAD,Wisla Krakow,Polska,11%,active,1,LPO,99,0,0,0,0,0,0,0,0,                                                    0                                                ,0,0,5
1524,Dawid Abramowicz ,Obronca,"1,90",Radomiak Radom,RAD,Wisla Krakow,Polska,11%,active,2,LEG,104,0,0,0,0,0,0,0,0,                                                    0                                                ,0,0,3
1524,Dawid Abramowicz ,Obronca,"1,90",Radomiak Radom,RAD,Wisla Krakow,Polska,11%,active,3,WPL,95,0,0,0,0,0,0,0,0,                                                    0                                                ,1,0,1
1524,Dawid Abramowicz ,Obronca,"1,90",Radomiak Radom,RAD,Wisla Krakow,Polska,11%,active,4,RCZ,98,0,0,0,0,0,0,0,0,                                                    0                                                ,0,0,1
1524,Dawid Abramowicz ,Obronca,"1,90",Radomiak Radom,RAD,Wisla Krakow,Polska,11%,active,5,WAR,96,0,0,0,0,0,0,0,0,                                                    0                                                ,0,0,6
1524,Dawid Abramowicz ,Obronca,"1,90",Radomiak Radom,RAD,Wisla Krakow,Polska,11%,active,6,LGD,94,0,0,0,0,0,0,0,0,                                                    0                                                ,0,0,1
1524,Dawid Abramowicz ,Obronca,"1,90",Radomiak Radom,RAD,Wisla Krakow,Polska,11%,active,7,POG,94,0,0,0,0,0,0,0,0,                                                    0                                                ,0,0,2
1524,Dawid Abramowicz ,Obronca,"1,90",Radomiak Radom,RAD,Wisla Krakow,Polska,11%,active,8,SLA,97,0,0,0,0,0,0,0,0,                                                    0                                                ,0,0,2
1524,Dawid Abramowicz ,Obronca,"1,90",Radomiak Radom,RAD,Wisla Krakow,Polska,11%,active,9,STM,97,0,0,0,0,0,0,0,0,                                                    0                                                ,0,0,2
1524,Dawid Abramowicz ,Obronca,"1,90",Radomiak Radom,RAD,Wisla Krakow,Polska,11%,active,10,BBT,103,0,0,0,0,0,0,0,0,                                                    1                                                ,0,0,3
1524,Dawid Abramowicz ,Obronca,"1,90",Radomiak Radom,RAD,Wisla Krakow,Polska,11%,active,11,JAG,95,0,0,0,0,0,0,0,0,                                                    0                                                ,0,0,2
1524,Dawid Abramowicz ,Obronca,"1,90",Radomiak Radom,RAD,Wisla Krakow,Polska,11%,active,12,GKL,95,0,0,0,0,0,0,0,0,                                                    0                                                ,0,0,3
1524,Dawid Abramowicz ,Obronca,"1,90",Radomiak Radom,RAD,Wisla Krakow,Polska,11%,active,13,CRA,100,0,0,0,0,0,0,0,0,                                                    0                                                ,0,0,3
1524,Dawid Abramowicz ,Obronca,"1,90",Radomiak Radom,RAD,Wisla Krakow,Polska,11%,active,14,GOR,96,1,0,0,0,0,0,0,0,                                                    0                                                ,0,0,12
