id,name,position,value,club,club_abr,club_prev,country,popularity,points_prev,status,round,opponent,time,goals,assists,own_goal,penalty,penalty_won,penalty_given,penalty_lost,penalty_defended,in_stat,yellow_card,red_card,points
"1524,Dawid Abramowicz, Obronca,""1,80"",Wisla Krakow,WIS,Radomiak Radom,Polska,0, 34,active,15,PIA,0,0,0,0,0,0,0,0,0,,0,0,0"
"1524,Dawid Abramowicz, Obronca,""1,80"",Wisla Krakow,WIS,Radomiak Radom,Polska,0, 34,active,16,JAG,0,0,0,0,0,0,0,0,0,,0,0,0"
"1524,Dawid Abramowicz, Obronca,""1,80"",Wisla Krakow,WIS,Radomiak Radom,Polska,0, 34,active,17,SLA,0,0,0,0,0,0,0,0,0,,0,0,0"
"1524,Dawid Abramowicz, Obronca,""1,80"",Wisla Krakow,WIS,Radomiak Radom,Polska,0, 34,active,18,POG,0,0,0,0,0,0,0,0,0,,0,0,0"
"1524,Dawid Abramowicz, Obronca,""1,80"",Wisla Krakow,WIS,Radomiak Radom,Polska,0, 34,active,19,WPL,0,0,0,0,0,0,0,0,0,,0,0,0"
"1524,Dawid Abramowicz, Obronca,""1,80"",Wisla Krakow,WIS,Radomiak Radom,Polska,0, 34,active,20,GOR,0,0,0,0,0,0,0,0,0,,0,0,0"
"1524,Dawid Abramowicz, Obronca,""1,80"",Wisla Krakow,WIS,Radomiak Radom,Polska,0, 34,active,21,LGD,0,0,0,0,0,0,0,0,0,,0,0,0"
"1524,Dawid Abramowicz, Obronca,""1,80"",Wisla Krakow,WIS,Radomiak Radom,Polska,0, 34,active,22,STM,0,0,0,0,0,0,0,0,0,,0,0,0"
"1524,Dawid Abramowicz, Obronca,""1,80"",Wisla Krakow,WIS,Radomiak Radom,Polska,0, 34,active,23,POD,0,0,0,0,0,0,0,0,0,,0,0,0"
"1524,Dawid Abramowicz, Obronca,""1,80"",Wisla Krakow,WIS,Radomiak Radom,Polska,0, 34,active,24,RCZ,0,0,0,0,0,0,0,0,0,,0,0,0"
"1524,Dawid Abramowicz, Obronca,""1,80"",Wisla Krakow,WIS,Radomiak Radom,Polska,0, 34,active,25,WAR,0,0,0,0,0,0,0,0,0,,0,0,0"
"1524,Dawid Abramowicz, Obronca,""1,80"",Wisla Krakow,WIS,Radomiak Radom,Polska,0, 34,active,26,ZAG,0,0,0,0,0,0,0,0,0,,0,0,0"
