id,name,position,value,club,club_abr,club_prev,country,season,time,goals,assists,own_goal,penalty,penalty_won,penalty_given,penalty_lost,penalty_defended,in_stat,yellow_card,red_card,points
15,Hubert Adamczyk, Pomocnik,"1,60",Wisla Plock,WPL,GKS Tychy,Polska,2019/20 - wiosna,553,1,2,0,0,0,0,0,0,0,0,0,33
15,Hubert Adamczyk, Pomocnik,"1,60",Wisla Plock,WPL,GKS Tychy,Polska,2019/20 - jesień,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Hubert Adamczyk, Pomocnik,"1,60",Wisla Plock,WPL,GKS Tychy,Polska,2018/19 - wiosna,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Hubert Adamczyk, Pomocnik,"1,60",Wisla Plock,WPL,GKS Tychy,Polska,2017/18 - wiosna,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Hubert Adamczyk, Pomocnik,"1,60",Wisla Plock,WPL,GKS Tychy,Polska,2017/18 - jesień,50,0,0,0,0,0,0,0,0,0,0,0,2
15,Hubert Adamczyk, Pomocnik,"1,60",Wisla Plock,WPL,GKS Tychy,Polska,2016/17 - wiosna,87,0,0,0,0,0,0,0,0,0,0,0,3
15,Hubert Adamczyk, Pomocnik,"1,60",Wisla Plock,WPL,GKS Tychy,Polska,2016/17 - jesień,77,0,0,0,0,0,0,0,0,0,0,0,4
724,Zlatan Alomerovic, Bramkarz,"1,90",Lechia Gdansk,LGD,Korona Kielce,Niemcy,2019/20 - wiosna,94,0,0,0,0,0,0,0,0,0,0,0,3
724,Zlatan Alomerovic, Bramkarz,"1,90",Lechia Gdansk,LGD,Korona Kielce,Niemcy,2019/20 - jesień,540,0,0,0,0,0,0,0,0,0,1,0,23
724,Zlatan Alomerovic, Bramkarz,"1,90",Lechia Gdansk,LGD,Korona Kielce,Niemcy,2018/19 - wiosna,180,0,0,0,0,0,0,0,0,0,0,0,2
724,Zlatan Alomerovic, Bramkarz,"1,90",Lechia Gdansk,LGD,Korona Kielce,Niemcy,2018/19 - jesień,630,0,0,0,0,0,0,0,0,1,0,0,31
724,Zlatan Alomerovic, Bramkarz,"1,90",Lechia Gdansk,LGD,Korona Kielce,Niemcy,2017/18 - wiosna,1080,0,0,0,0,0,0,0,3,2,2,0,55
724,Zlatan Alomerovic, Bramkarz,"1,90",Lechia Gdansk,LGD,Korona Kielce,Niemcy,2017/18 - jesień,810,0,0,0,0,0,0,0,0,0,0,0,28
1309,Tiago Alves, Pomocnik,"1,70",Piast Gliwice,PIA,Olimpia Grudziadz,Portugalia,2019/20 - wiosna,232,0,1,0,0,0,0,0,0,0,1,0,16
1309,Tiago Alves, Pomocnik,"1,70",Piast Gliwice,PIA,Olimpia Grudziadz,Portugalia,2019/20 - jesień,25,0,0,0,0,0,0,0,0,0,0,0,3
664,Maciej Ambrosiewicz, Pomocnik,"1,60",Wisla Plock,WPL,Gornik Zabrze,Polska,2019/20 - wiosna,732,0,0,0,0,0,0,0,0,1,4,0,22
664,Maciej Ambrosiewicz, Pomocnik,"1,60",Wisla Plock,WPL,Gornik Zabrze,Polska,2019/20 - jesień,305,0,0,0,0,0,0,0,0,0,0,0,30
664,Maciej Ambrosiewicz, Pomocnik,"1,60",Wisla Plock,WPL,Gornik Zabrze,Polska,2018/19 - wiosna,93,0,0,0,0,0,0,0,0,0,0,0,9
664,Maciej Ambrosiewicz, Pomocnik,"1,60",Wisla Plock,WPL,Gornik Zabrze,Polska,2018/19 - jesień,1091,0,0,0,0,0,0,0,0,0,2,0,40
664,Maciej Ambrosiewicz, Pomocnik,"1,60",Wisla Plock,WPL,Gornik Zabrze,Polska,2017/18 - wiosna,353,0,0,0,0,0,0,0,0,0,0,0,16
664,Maciej Ambrosiewicz, Pomocnik,"1,60",Wisla Plock,WPL,Gornik Zabrze,Polska,2017/18 - jesień,1275,0,0,0,0,0,0,0,0,0,3,0,50
722,Karol Angielski, Napastnik,"1,50",Wisla Plock,WPL,Piast Gliwice,Polska,2019/20 - wiosna,298,0,0,0,0,0,0,0,0,0,0,0,11
722,Karol Angielski, Napastnik,"1,50",Wisla Plock,WPL,Piast Gliwice,Polska,2019/20 - jesień,4,0,0,0,0,0,0,0,0,0,0,0,1
722,Karol Angielski, Napastnik,"1,50",Wisla Plock,WPL,Piast Gliwice,Polska,2018/19 - wiosna,155,0,0,0,0,0,0,0,0,0,1,0,10
722,Karol Angielski, Napastnik,"1,50",Wisla Plock,WPL,Piast Gliwice,Polska,2018/19 - jesień,376,2,0,0,0,0,0,0,0,0,2,0,32
722,Karol Angielski, Napastnik,"1,50",Wisla Plock,WPL,Piast Gliwice,Polska,2017/18 - wiosna,722,1,1,0,0,0,0,0,0,0,2,0,43
722,Karol Angielski, Napastnik,"1,50",Wisla Plock,WPL,Piast Gliwice,Polska,2017/18 - jesień,165,1,1,0,0,0,0,0,0,0,0,0,24
785,Domagoj Antolic, Pomocnik,"2,50",Legia Warszawa,LEG,GNK Dinamo Zagrzeb,Chorwacja,2019/20 - wiosna,1409,3,2,0,1,0,0,0,0,2,0,0,68
785,Domagoj Antolic, Pomocnik,"2,50",Legia Warszawa,LEG,GNK Dinamo Zagrzeb,Chorwacja,2019/20 - jesień,1376,0,3,0,0,0,0,0,0,0,1,0,69
785,Domagoj Antolic, Pomocnik,"2,50",Legia Warszawa,LEG,GNK Dinamo Zagrzeb,Chorwacja,2018/19 - wiosna,921,0,0,0,0,0,1,0,0,0,1,0,36
785,Domagoj Antolic, Pomocnik,"2,50",Legia Warszawa,LEG,GNK Dinamo Zagrzeb,Chorwacja,2018/19 - jesień,871,0,2,0,0,0,0,0,0,0,2,0,45
