player,link
Abramowicz Mateusz,https://fantasy.1liga.org/pl/pl/player/82
Adamski Radosław,https://fantasy.1liga.org/pl/pl/player/1246
Adamski Rafał,https://fantasy.1liga.org/pl/pl/player/1007
Ali Farid,https://fantasy.1liga.org/pl/pl/player/674
Ameyaw Michael,https://fantasy.1liga.org/pl/pl/player/1267
Angielski Karol,https://fantasy.1liga.org/pl/pl/player/1414
Antkowiak Hubert,https://fantasy.1liga.org/pl/pl/player/1071
Antochów Adam,https://fantasy.1liga.org/pl/pl/player/1059
Antonik Kamil,https://fantasy.1liga.org/pl/pl/player/1303
Apolinarski Jakub,https://fantasy.1liga.org/pl/pl/player/890
Arndt Dawid,https://fantasy.1liga.org/pl/pl/player/703
Banasiak Adam,https://fantasy.1liga.org/pl/pl/player/441
Banaszak Przemysław,https://fantasy.1liga.org/pl/pl/player/1356
Banaszewski Maksymilian,https://fantasy.1liga.org/pl/pl/player/258
Baranowski Paweł,https://fantasy.1liga.org/pl/pl/player/457
Bartkowiak Bartosz,https://fantasy.1liga.org/pl/pl/player/231
Bartków Mateusz,https://fantasy.1liga.org/pl/pl/player/329
Bartosz Jakub,https://fantasy.1liga.org/pl/pl/player/589
Basiuk Piotr,https://fantasy.1liga.org/pl/pl/player/1421
Basta Adrian,https://fantasy.1liga.org/pl/pl/player/614
Bator Jakub,https://fantasy.1liga.org/pl/pl/player/1430
Becht Filip,https://fantasy.1liga.org/pl/pl/player/1263
Bednarski Michał,https://fantasy.1liga.org/pl/pl/player/1405
Belski Jakub,https://fantasy.1liga.org/pl/pl/player/1369
Beneta Markas,https://fantasy.1liga.org/pl/pl/player/1163
Bezpalec Michał,https://fantasy.1liga.org/pl/pl/player/982
Biedrzycki Wiktor,https://fantasy.1liga.org/pl/pl/player/465
Biegański Aleksander,https://fantasy.1liga.org/pl/pl/player/1072
Biegański Jan,https://fantasy.1liga.org/pl/pl/player/537
Biel Bartosz,https://fantasy.1liga.org/pl/pl/player/36
Bielák Lukáš,https://fantasy.1liga.org/pl/pl/player/706
Biernat Marcin,https://fantasy.1liga.org/pl/pl/player/111
Bieszczad Kacper,https://fantasy.1liga.org/pl/pl/player/1341
Boczek Tomasz,https://fantasy.1liga.org/pl/pl/player/5
Bodzioch Mateusz,https://fantasy.1liga.org/pl/pl/player/201
Bogusz Artur,https://fantasy.1liga.org/pl/pl/player/408
Bojdys Michał,https://fantasy.1liga.org/pl/pl/player/1053
Bondarenko Mateusz,https://fantasy.1liga.org/pl/pl/player/1154
Bonecki Sebastian,https://fantasy.1liga.org/pl/pl/player/521
Boniecki Bartosz,https://fantasy.1liga.org/pl/pl/player/1428
Brdak Jakub,https://fantasy.1liga.org/pl/pl/player/1427
Brychlik Przemysław,https://fantasy.1liga.org/pl/pl/player/1257
Bryja Piotr,https://fantasy.1liga.org/pl/pl/player/1381
Bryła Patryk,https://fantasy.1liga.org/pl/pl/player/713
Bryłka Sebastian,https://fantasy.1liga.org/pl/pl/player/730
Bucholc Janusz,https://fantasy.1liga.org/pl/pl/player/458
Budziłek Łukasz,https://fantasy.1liga.org/pl/pl/player/857
Budzyński Dominik,https://fantasy.1liga.org/pl/pl/player/799
Bujak Łukasz,https://fantasy.1liga.org/pl/pl/player/1278
Byrtek Damian,https://fantasy.1liga.org/pl/pl/player/1117
Bąkowicz Mateusz,https://fantasy.1liga.org/pl/pl/player/1319
Błanik Dawid,https://fantasy.1liga.org/pl/pl/player/879
Carastoian Artiom,https://fantasy.1liga.org/pl/pl/player/1359
Carolina Jurich,https://fantasy.1liga.org/pl/pl/player/1192
Celea Daniel,https://fantasy.1liga.org/pl/pl/player/1412
