player,link
,https://fantasy.1liga.org/pl/player/1488
,https://fantasy.1liga.org/pl/player/1471
Abramowicz Dawid,https://fantasy.1liga.org/pl/player/110
Adamski Radosław,https://fantasy.1liga.org/pl/player/1246
Alemán Christian,https://fantasy.1liga.org/pl/player/1454
Ali Farid,https://fantasy.1liga.org/pl/player/674
Ambrosiewicz Maciej,https://fantasy.1liga.org/pl/player/1490
Ameyaw Michael,https://fantasy.1liga.org/pl/player/1267
Angielski Karol,https://fantasy.1liga.org/pl/player/1414
Antochów Adam,https://fantasy.1liga.org/pl/player/1059
Antonik Kamil,https://fantasy.1liga.org/pl/player/1303
Apolinarski Jakub,https://fantasy.1liga.org/pl/player/890
Arndt Dawid,https://fantasy.1liga.org/pl/player/703
Azikiewicz Piotr,https://fantasy.1liga.org/pl/player/1473
Banach Dominik,https://fantasy.1liga.org/pl/player/1482
Banasiak Adam,https://fantasy.1liga.org/pl/player/441
Banaszak Przemysław,https://fantasy.1liga.org/pl/player/1356
Banaszewski Maksymilian,https://fantasy.1liga.org/pl/player/258
Baranowski Paweł,https://fantasy.1liga.org/pl/player/457
Bartkowiak Bartosz,https://fantasy.1liga.org/pl/player/231
Bartków Mateusz,https://fantasy.1liga.org/pl/player/329
Bartosz Jakub,https://fantasy.1liga.org/pl/player/589
Basta Adrian,https://fantasy.1liga.org/pl/player/614
Bator Jakub,https://fantasy.1liga.org/pl/player/1430
Becht Filip,https://fantasy.1liga.org/pl/player/1263
Bednarski Michał,https://fantasy.1liga.org/pl/player/1405
Belski Jakub,https://fantasy.1liga.org/pl/player/1369
Bezpalec Michał,https://fantasy.1liga.org/pl/player/982
Biedrzycki Wiktor,https://fantasy.1liga.org/pl/player/465
Biegański Aleksander,https://fantasy.1liga.org/pl/player/1072
Biel Bartosz,https://fantasy.1liga.org/pl/player/36
Bielka Adrian,https://fantasy.1liga.org/pl/player/1470
Bielusiak Szymon,https://fantasy.1liga.org/pl/player/701
Bielák Lukáš,https://fantasy.1liga.org/pl/player/706
Biernat Marcin,https://fantasy.1liga.org/pl/player/111
Bieszczad Kacper,https://fantasy.1liga.org/pl/player/1341
Boczek Tomasz,https://fantasy.1liga.org/pl/player/5
Bodzioch Mateusz,https://fantasy.1liga.org/pl/player/201
Bogusz Artur,https://fantasy.1liga.org/pl/player/408
Bojdys Michał,https://fantasy.1liga.org/pl/player/1053
Bondarenko Mateusz,https://fantasy.1liga.org/pl/player/1154
Bonecki Sebastian,https://fantasy.1liga.org/pl/player/521
Bougaḯdis Mavroudís,https://fantasy.1liga.org/pl/player/490
Brdak Jakub,https://fantasy.1liga.org/pl/player/1427
Bryła Patryk,https://fantasy.1liga.org/pl/player/713
Bryłka Sebastian,https://fantasy.1liga.org/pl/player/730
Bucholc Janusz,https://fantasy.1liga.org/pl/player/458
Budziłek Łukasz,https://fantasy.1liga.org/pl/player/857
