id,name,position,value,club,club_abr,club_prev,country,season,time,goals,assists,own_goal,penalty,penalty_won,penalty_given,penalty_lost,penalty_defended,yellow_card,red_card,points
82,Mateusz Abramowicz, Bramkarz,"1,50",Chrobry Glogow,,GKS Katowice,Polska,2019/20 - wiosna,0,0,0,0,0,0,0,0,0,0,0,0
82,Mateusz Abramowicz, Bramkarz,"1,50",Chrobry Glogow,,GKS Katowice,Polska,2019/20 - jesien,180,0,0,0,0,0,0,0,0,0,0,0
82,Mateusz Abramowicz, Bramkarz,"1,50",Chrobry Glogow,,GKS Katowice,Polska,2018/19 - wiosna,1170,0,0,0,0,0,0,0,1,0,0,43
82,Mateusz Abramowicz, Bramkarz,"1,50",Chrobry Glogow,,GKS Katowice,Polska,2018/19 - jesien,1800,0,0,0,0,0,0,0,0,0,0,75
82,Mateusz Abramowicz, Bramkarz,"1,50",Chrobry Glogow,,GKS Katowice,Polska,2017/18 - wiosna,675,0,0,0,0,0,0,0,0,0,0,42
1007,Rafal Adamski, Napastnik,"0,60",Miedz Legnica,,Lechia Dzierzoniow,Polska,2019/20 - wiosna,0,0,0,0,0,0,0,0,0,0,0,0
1007,Rafal Adamski, Napastnik,"0,60",Miedz Legnica,,Lechia Dzierzoniow,Polska,2019/20 - jesien,0,0,0,0,0,0,0,0,0,0,0,0
674,Farid Ali, Pomocnik,"2,10",GKS Jastrzebie ,,Metalurh Zaporoze,Ukraina,2019/20 - wiosna,1091,2,1,0,0,0,0,0,0,2,0,43
674,Farid Ali, Pomocnik,"2,10",GKS Jastrzebie ,,Metalurh Zaporoze,Ukraina,2019/20 - jesien,1485,7,2,0,0,0,0,0,0,0,0,103
674,Farid Ali, Pomocnik,"2,10",GKS Jastrzebie ,,Metalurh Zaporoze,Ukraina,2018/19 - wiosna,655,1,2,0,0,0,0,0,0,1,0,39
674,Farid Ali, Pomocnik,"2,10",GKS Jastrzebie ,,Metalurh Zaporoze,Ukraina,2018/19 - jesien,1275,1,2,0,0,0,0,0,0,4,0,62
1071,Hubert Antkowiak, Napastnik,"1,00",Apklan Resovia,,Miedz Legnica,Polska,2019/20 - wiosna,0,0,0,0,0,0,0,0,0,0,0,0
1071,Hubert Antkowiak, Napastnik,"1,00",Apklan Resovia,,Miedz Legnica,Polska,2019/20 - jesien,58,0,0,0,0,0,0,0,0,0,0,9
1059,Adam Antochow, Pomocnik,"0,50",Chrobry Glogow,,MKP Wolow,Polska,2019/20 - wiosna,0,0,0,0,0,0,0,0,0,0,0,0
1059,Adam Antochow, Pomocnik,"0,50",Chrobry Glogow,,MKP Wolow,Polska,2019/20 - jesien,88,0,0,0,0,0,0,0,0,1,0,2
890,Jakub Apolinarski, Pomocnik,"1,40",GKS Jastrzebie ,,Rakow Czestochowa,Polska,2019/20 - wiosna,864,1,1,0,0,0,0,0,0,1,0,37
890,Jakub Apolinarski, Pomocnik,"1,40",GKS Jastrzebie ,,Rakow Czestochowa,Polska,2018/19 - wiosna,0,0,0,0,0,0,0,0,0,0,0,0
703,Dawid Arndt, Bramkarz,"1,00",LKS Lodz,,Mazovia Tomaszow Mazowiecki,Polska,2018/19 - wiosna,0,0,0,0,0,0,0,0,0,0,0,0
703,Dawid Arndt, Bramkarz,"1,00",LKS Lodz,,Mazovia Tomaszow Mazowiecki,Polska,2018/19 - jesien,0,0,0,0,0,0,0,0,0,0,0,0
441,Adam Banasiak, Pomocnik,"1,80",Radomiak Radom,,Zaglebie Sosnowiec,Polska,2019/20 - wiosna,362,1,0,0,0,0,0,0,0,1,0,19
441,Adam Banasiak, Pomocnik,"1,80",Radomiak Radom,,Zaglebie Sosnowiec,Polska,2019/20 - jesien,376,0,0,0,0,0,0,0,0,5,0,32
441,Adam Banasiak, Pomocnik,"1,80",Radomiak Radom,,Zaglebie Sosnowiec,Polska,2017/18 - wiosna,696,2,1,0,0,1,0,0,0,2,0,52
258,Maksymilian Banaszewski, Pomocnik,"1,60",Chrobry Glogow,,Arka II Gdynia,Polska,2019/20 - wiosna,734,1,0,0,0,1,0,0,0,0,0,38
258,Maksymilian Banaszewski, Pomocnik,"1,60",Chrobry Glogow,,Arka II Gdynia,Polska,2019/20 - jesien,0,0,0,0,0,0,0,0,0,0,0,0
258,Maksymilian Banaszewski, Pomocnik,"1,60",Chrobry Glogow,,Arka II Gdynia,Polska,2018/19 - wiosna,0,0,0,0,0,0,0,0,0,0,0,0
258,Maksymilian Banaszewski, Pomocnik,"1,60",Chrobry Glogow,,Arka II Gdynia,Polska,2018/19 - jesien,1200,1,3,0,0,1,0,0,0,3,0,71
258,Maksymilian Banaszewski, Pomocnik,"1,60",Chrobry Glogow,,Arka II Gdynia,Polska,2017/18 - wiosna,1278,3,5,0,0,1,1,0,0,0,0,77
457,Pawel Baranowski, Obronca,"1,60",Gornik Leczna,,Odra Opole,Polska,2019/20 - wiosna,0,0,0,0,0,0,0,0,0,0,0,0
457,Pawel Baranowski, Obronca,"1,60",Gornik Leczna,,Odra Opole,Polska,2019/20 - jesien,0,0,0,0,0,0,0,0,0,0,0,0
457,Pawel Baranowski, Obronca,"1,60",Gornik Leczna,,Odra Opole,Polska,2018/19 - wiosna,900,0,1,1,0,0,1,0,0,2,0,25
457,Pawel Baranowski, Obronca,"1,60",Gornik Leczna,,Odra Opole,Polska,2018/19 - jesien,1625,0,0,0,0,0,1,0,0,6,0,42
457,Pawel Baranowski, Obronca,"1,60",Gornik Leczna,,Odra Opole,Polska,2017/18 - wiosna,1350,1,0,0,0,0,0,0,0,2,0,56
231,Bartosz Bartkowiak, Pomocnik,"0,90",Miedz Legnica,,Lech II Poznan,Polska,2019/20 - wiosna,0,0,0,0,0,0,0,0,0,0,0,0
231,Bartosz Bartkowiak, Pomocnik,"0,90",Miedz Legnica,,Lech II Poznan,Polska,2019/20 - jesien,0,0,0,0,0,0,0,0,0,0,0,0
231,Bartosz Bartkowiak, Pomocnik,"0,90",Miedz Legnica,,Lech II Poznan,Polska,2017/18 - wiosna,1,0,1,0,0,0,0,0,0,0,0,6
329,Mateusz Bartkow, Obronca,"1,60",Puszcza Niepolomice,,Sandecja Nowy Sacz,Polska,2019/20 - wiosna,444,0,0,0,0,0,0,0,0,2,0,19
329,Mateusz Bartkow, Obronca,"1,60",Puszcza Niepolomice,,Sandecja Nowy Sacz,Polska,2019/20 - jesien,1326,1,1,0,0,0,0,0,0,3,0,62
329,Mateusz Bartkow, Obronca,"1,60",Puszcza Niepolomice,,Sandecja Nowy Sacz,Polska,2018/19 - wiosna,833,0,1,0,0,0,0,0,0,3,0,31
329,Mateusz Bartkow, Obronca,"1,60",Puszcza Niepolomice,,Sandecja Nowy Sacz,Polska,2018/19 - jesien,793,0,0,0,0,0,1,0,0,2,0,30
329,Mateusz Bartkow, Obronca,"1,60",Puszcza Niepolomice,,Sandecja Nowy Sacz,Polska,2017/18 - wiosna,778,1,0,0,0,0,0,0,0,3,0,44
589,Jakub Bartosz, Obronca,"1,60",Puszcza Niepolomice,,Stal Mielec,Polska,2019/20 - wiosna,317,0,0,0,0,0,0,0,0,1,0,17
